time,open,high,low,close,volume,note
2010-01-04,21.8300,21.8700,21.1600,21.1900,66191338,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-01-05,21.4100,21.5800,20.7900,21.3500,115147943,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-01-06,21.2900,21.3000,20.8800,20.9300,96782575,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-01-07,20.8800,21.0400,20.3000,20.4600,85236072,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-01-08,20.3400,20.8000,20.3000,20.6900,65707646,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-01-11,21.6000,21.8000,20.5700,20.6900,116304812,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-01-12,20.6300,20.9700,20.2600,20.8000,82351139,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-01-13,20.2500,20.3500,19.8000,19.8300,146399684,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-01-14,19.8700,20.0200,19.6400,19.9700,77340771,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-01-15,20.0200,20.2500,19.7200,20.0400,69183668,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-01-18,19.9100,20.2900,19.8700,20.2400,69940218,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-01-19,20.2500,20.5900,20.2100,20.3500,69966139,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-01-20,20.4200,20.5300,19.6000,19.7900,80776510,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-01-21,19.8800,20.5700,19.7600,20.4700,93418186,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-01-22,20.2000,21.1000,20.0100,20.9000,154445976,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-01-25,20.5600,20.9800,20.4200,20.4600,80232725,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-01-26,20.4900,20.9000,20.1700,20.6900,91936559,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-01-27,20.6700,20.8000,19.7800,19.8600,94264363,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-01-28,19.7800,19.8500,19.3800,19.7000,58691704,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-01-29,19.6000,20.0400,19.4800,19.6200,53690104,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-02-01,19.6200,19.6200,19.0000,19.2200,51669420,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-02-02,19.3300,19.7000,19.1700,19.2400,48969591,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-02-03,19.3100,19.9300,19.0100,19.8900,76493075,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-02-04,19.6100,19.8900,19.6000,19.6600,46162099,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-02-05,19.2000,19.6800,19.1600,19.4200,43895954,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-02-08,19.4500,19.5000,19.0800,19.2200,37230982,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-02-09,19.2000,19.4900,19.1700,19.4200,26496190,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-02-10,19.5900,19.7500,19.5000,19.6800,30709495,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-02-11,19.6900,19.8000,19.5900,19.6400,27375492,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-02-12,19.7300,19.8800,19.6600,19.8100,29682512,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-02-22,19.7300,19.8600,19.5800,19.6800,33430729,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-02-23,19.6500,19.6500,19.2500,19.4900,30570947,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-02-24,19.3500,19.6800,19.2400,19.6600,38978358,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-02-25,19.7500,20.8000,19.7500,20.7400,194475975,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-03-11,21.0000,21.8000,20.9000,21.3000,230271759,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-03-12,21.3200,21.5200,21.0200,21.0400,74911752,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-03-15,21.0000,21.1500,20.5800,20.6800,58127318,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-03-16,20.6300,21.2000,20.5100,21.1900,56343015,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-03-17,21.2300,21.7500,20.9500,21.6700,90740415,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-03-18,21.6600,22.2100,21.5500,21.7000,88983821,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-03-19,21.8200,22.0400,21.5000,21.8000,44756709,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-03-22,21.8500,22.3500,21.8500,22.2100,96636042,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-03-23,22.2500,22.4300,21.8900,22.0000,62566261,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-03-24,22.0500,22.3900,22.0000,22.0300,51092919,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-03-25,21.9600,21.9600,21.4600,21.6100,52512296,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-03-26,21.5200,22.5100,21.5200,22.2600,82497766,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-03-29,22.4500,23.1200,22.3100,22.9800,139499328,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-03-31,23.0700,23.0900,22.7000,22.7800,54201365,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-04-01,22.7700,23.1200,22.6500,22.8500,58179154,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-04-02,22.8600,23.1000,22.8000,22.9100,40777535,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-04-06,23.0500,23.3800,22.9100,22.9900,53809591,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-04-07,23.0000,23.0800,22.5400,22.7800,50601633,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-04-08,22.5000,22.9700,22.5000,22.5800,46876305,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-04-09,22.6000,23.0200,22.5900,22.9400,38392741,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-04-12,23.0000,23.0500,22.2100,22.4300,57895624,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-04-13,22.4000,23.1200,22.2500,23.0300,84063856,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-04-14,23.1200,23.1200,22.7600,22.8800,38865502,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-04-15,22.9600,22.9800,22.4900,22.7700,42311790,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-04-16,22.6700,22.6800,22.0200,22.0600,54964770,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-04-19,21.6900,21.6900,20.4900,20.5600,123269959,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-04-20,20.5500,20.7000,20.0000,20.5400,63866293,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-04-21,20.4600,20.8900,20.2900,20.8600,55737608,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-04-22,20.6900,20.6900,20.0800,20.1900,69600677,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-04-23,20.2000,20.8500,19.9500,20.3900,83772876,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-04-26,20.4200,20.7900,20.2200,20.4600,46179483,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-04-27,20.2600,20.3600,19.7800,20.1100,57834285,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-04-29,20.2500,20.6000,20.1600,20.1900,54096309,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-04-30,20.3000,20.6300,20.1600,20.5900,52265741,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-05-04,20.2200,20.5700,19.9000,20.1900,46170463,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-05-05,19.9500,20.3500,19.6700,20.3100,54733838,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-05-06,20.1000,20.1000,19.0000,19.0400,74669511,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-05-07,18.6600,19.0800,18.4500,18.5500,61558279,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-05-10,18.7200,19.1500,18.5000,18.9800,45360001,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-05-11,19.4400,19.5200,18.5000,18.7500,59396296,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-05-12,18.4700,19.2400,18.4300,19.1900,81130496,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-05-13,19.1000,19.9600,19.0000,19.7100,78035578,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-05-14,19.5100,19.6400,19.2300,19.4000,38321249,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-05-17,19.1700,19.1700,18.6000,18.6600,43804793,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-05-18,18.7300,19.5000,18.7200,19.3500,62168559,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-05-19,19.1600,19.6700,19.0000,19.2600,40046627,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-05-20,19.1000,19.4500,18.7900,18.9100,38877427,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-05-21,18.4800,19.3000,18.4000,19.2300,40777827,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-05-24,19.3800,20.0000,19.3800,19.7400,61911238,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-05-25,19.6000,19.6600,18.9900,19.1400,52506336,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-05-26,19.2100,19.3800,18.9400,19.1100,25592461,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-05-27,19.0800,19.3200,18.8000,19.3100,31281232,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-05-28,19.5200,19.6000,19.0300,19.1300,32337600,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-05-31,18.9000,19.1100,18.5000,18.5400,51779891,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-06-01,18.4700,18.7300,18.3000,18.4200,41838832,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-06-02,18.3800,18.4800,18.0700,18.4000,31485389,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-06-03,18.4900,18.6000,18.1600,18.2000,41470018,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-06-04,18.1300,18.2800,18.0500,18.1700,28804637,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-06-07,17.9000,18.0500,17.5900,17.6400,47409887,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-06-08,17.6900,17.8100,17.1800,17.4000,40051743,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-06-09,17.4900,18.5400,17.1700,18.5000,93220918,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-06-10,13.7000,14.0000,13.6600,13.7000,52437769,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-06-11,13.7700,14.1700,13.7100,13.8200,63179327,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-06-17,13.9100,14.1300,13.7700,13.8500,47895735,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-06-18,13.8600,14.2000,13.7800,13.9000,65781891,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-06-21,14.0000,14.6400,13.8500,14.4800,98921549,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-06-22,14.4200,14.6700,14.3600,14.4900,43036535,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-06-23,14.4000,14.5300,14.0900,14.2500,39150500,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-06-24,14.2100,14.5000,14.0400,14.3400,34387096,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-06-25,14.2500,14.4800,14.2000,14.4000,32535651,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-06-28,14.4000,14.6500,14.2200,14.4300,48930056,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-06-29,14.4500,14.5000,13.7400,13.7600,65494721,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-06-30,13.6900,13.8600,13.5200,13.6000,34558958,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-01,13.5600,13.8000,13.4800,13.5000,32989253,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-02,13.5500,13.6800,13.1400,13.6700,44785293,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-05,13.4500,13.7500,13.2100,13.5300,35989580,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-06,13.5400,13.8500,13.4500,13.8300,50169905,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-07,13.7400,13.8300,13.6000,13.7600,33977340,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-08,13.8800,14.0600,13.7300,13.7900,45101784,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-09,13.8100,14.4900,13.6900,14.2300,76856389,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-12,14.2300,14.6600,14.1500,14.4300,58299174,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-13,14.2100,14.3700,14.0600,14.1700,44913760,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-14,14.2200,14.6400,14.2200,14.4100,60363343,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-15,14.4100,14.6200,14.0700,14.1000,47460309,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-16,14.0000,14.2300,13.9000,14.1500,40892325,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-19,14.0700,14.6300,13.9800,14.5300,65708689,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-20,14.5900,14.9600,14.5000,14.6500,79072757,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-21,14.6800,14.7300,14.5100,14.6500,44902488,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-22,14.5900,14.8500,14.4900,14.8000,56509381,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-23,14.8000,15.1500,14.7300,14.9200,76799211,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-26,14.9200,15.0000,14.7600,14.8900,40369550,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-27,14.8100,14.8100,14.5600,14.6100,52103320,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-28,14.7000,15.1400,14.5800,15.0700,85532236,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-29,15.1000,15.2200,14.9200,15.0800,69649439,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-07-30,15.0000,15.0500,14.8600,14.9800,33083139,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-02,14.9100,15.3000,14.8700,15.3000,65421012,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-03,15.3100,15.3400,14.9000,14.9100,62854668,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-04,14.9000,14.9300,14.5400,14.7900,75269997,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-05,14.7500,14.7500,14.4200,14.5300,64461099,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-06,14.5000,14.7400,14.3000,14.6900,63904291,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-09,14.6500,14.8000,14.5000,14.6000,65817780,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-10,14.6200,14.6900,14.0300,14.0700,70934886,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-11,14.0500,14.2900,14.0100,14.1200,40185978,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-12,13.9800,14.1200,13.8200,13.8900,52092833,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-13,13.9300,14.0200,13.7000,13.9900,65122982,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-16,13.9100,14.3800,13.8500,14.3000,70298086,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-17,14.3100,14.4700,14.1800,14.4100,58280094,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-18,14.4200,14.5900,14.2500,14.3000,72467574,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-19,14.3000,14.5600,14.1300,14.4500,88905564,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-20,14.3000,14.5500,14.1600,14.1900,62482199,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-23,14.2000,14.5800,14.2000,14.3400,57525198,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-24,14.3200,14.5400,14.1500,14.3800,48256463,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-25,14.2900,14.3300,13.9800,14.0300,49499195,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-26,14.1600,14.1900,13.9300,13.9700,29704170,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-27,13.9900,14.1300,13.8800,13.9800,35648958,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-30,14.0600,14.2000,13.9700,14.1000,52065218,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-08-31,14.0400,14.1300,13.9200,13.9900,51313006,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-09-01,14.0700,14.3400,13.7900,13.9900,90479283,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-09-02,14.2800,14.2800,13.9500,14.0700,67694138,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-09-03,14.0700,14.0700,13.8300,13.9500,61894269,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-09-06,14.0100,14.2600,13.8800,14.2300,104581943,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-09-07,14.2500,14.3400,14.0500,14.1600,58235840,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-09-08,14.0500,14.0700,13.8000,13.8900,86168491,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-09-09,13.8900,13.9000,13.4500,13.5400,111465647,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-09-10,13.5500,13.6100,13.3000,13.5100,53410553,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-09-13,13.4500,13.6500,13.3000,13.4900,72412342,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-09-14,13.5800,13.6700,13.4100,13.5000,61653853,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-09-15,13.5300,13.5300,13.3000,13.3300,44861148,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-09-16,13.3000,13.3000,12.9000,13.0200,73439103,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-09-17,13.0900,13.1300,12.9000,12.9600,43280633,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-09-21,13.0000,13.1000,12.8700,12.9400,33671474,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-09-27,13.0000,13.0200,12.8900,12.9300,43203690,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-09-28,12.9200,12.9200,12.5700,12.5800,63988129,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-09-29,12.2000,12.6900,12.1200,12.4900,79916494,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-09-30,12.3700,12.9900,12.3200,12.9600,76420556,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-10-08,13.0900,13.4700,12.8600,13.3600,99243331,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-10-11,13.3700,14.0500,13.3600,13.8900,168240264,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-10-12,13.8300,13.9800,13.7000,13.9600,108929191,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-10-13,13.9700,14.4900,13.8800,14.4400,211717370,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-10-14,14.5100,15.0000,14.3400,14.3900,219500516,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-10-15,14.3200,15.2900,14.2900,15.2500,282011075,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-10-18,15.6000,15.9500,15.2100,15.3500,267097716,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-10-19,15.3500,15.4000,15.0000,15.3600,144202185,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-10-20,15.2300,15.7500,15.1000,15.2700,185767858,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-10-21,15.2700,15.2900,14.5500,14.6900,150426073,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
2010-10-22,14.6400,14.7400,14.3800,14.5500,109896506,sh.600000 | 浦发银行 | baostock | adjustflag=3 raw
