time,open,high,low,close,volume,note
2010-01-04,6.9300,7.0700,6.9000,6.9100,23281430,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-01-05,6.9100,6.9400,6.7500,6.8700,16569457,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-01-06,6.8700,7.0300,6.8100,6.8900,21867767,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-01-07,6.8500,6.8800,6.5400,6.5600,27696059,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-01-08,6.5600,6.6300,6.4800,6.6200,12747269,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-01-11,6.6600,6.7400,6.5000,6.5200,13057756,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-01-12,6.5700,6.6800,6.5000,6.6800,15268352,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-01-13,6.5900,6.6100,6.4900,6.5200,14191042,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-01-14,6.5200,6.6400,6.5200,6.6200,13557759,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-01-15,6.6200,6.7900,6.6000,6.7400,18139223,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-01-18,6.7900,6.8200,6.6600,6.7600,14608947,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-01-19,6.8200,6.8200,6.6400,6.6800,17516772,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-01-20,6.6800,6.8000,6.5500,6.5800,25474831,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-01-21,6.7600,6.9000,6.6900,6.7600,36100876,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-01-22,6.6500,6.6500,6.3200,6.4000,28445190,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-01-25,6.3400,6.3900,6.1900,6.2000,12549070,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-01-26,6.2100,6.2800,5.8800,5.9000,12855146,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-01-27,5.9000,5.9800,5.7000,5.7100,17086828,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-01-28,5.6900,5.8000,5.6200,5.7700,9583801,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-01-29,5.7800,5.9300,5.7600,5.8200,11386328,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-02-01,5.8300,5.8300,5.6000,5.6700,8762833,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-02-02,5.7000,5.7500,5.6200,5.6400,7700050,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-02-03,5.6600,5.7800,5.4700,5.7700,11434625,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-02-04,5.7700,5.8900,5.6800,5.8000,11647740,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-02-05,5.7000,5.7300,5.6200,5.6600,7235914,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-02-08,5.6600,5.7300,5.6100,5.6700,3838910,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-02-09,5.6200,5.7400,5.6200,5.7100,4592384,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-02-10,5.7700,5.7900,5.7100,5.7800,5680165,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-02-11,5.8100,5.8900,5.7800,5.8300,8202813,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-02-12,5.8300,5.9000,5.8000,5.8900,7974141,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-02-22,5.9200,5.9400,5.8100,5.8600,7087173,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-02-23,5.8500,6.0800,5.7000,5.9900,12443561,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-02-24,5.9300,6.1500,5.8800,6.1400,14834637,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-02-25,6.1100,6.2000,6.1000,6.1700,15796519,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-02-26,6.1700,6.1800,6.0800,6.1100,13477635,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-01,6.1000,6.1600,6.0900,6.1200,9441126,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-02,6.1400,6.1400,6.0200,6.0400,12375148,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-03,6.0200,6.1300,5.9700,6.1200,11968485,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-04,6.1500,6.3200,6.0400,6.0800,30418651,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-05,6.0800,6.2200,6.0800,6.2200,16835423,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-08,6.2300,6.3100,6.1700,6.3000,17330579,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-09,6.2900,6.3800,6.2500,6.3200,13750296,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-10,6.3000,6.3500,6.1700,6.2000,14820795,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-11,6.1900,6.3000,6.1500,6.2400,12457469,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-12,6.2400,6.2500,6.0500,6.0800,8967595,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-15,6.0800,6.0800,5.8500,5.8800,9332908,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-16,5.8600,6.0400,5.8500,6.0200,8226816,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-17,6.0300,6.1300,6.0000,6.1200,6741562,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-18,6.1300,6.1700,6.0600,6.1100,6012992,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-19,6.1200,6.1900,6.0800,6.1500,5631584,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-22,6.1500,6.3200,6.1100,6.3100,15314163,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-23,6.3100,6.4000,6.2200,6.2400,13256585,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-24,6.2400,6.3900,6.2200,6.3500,20400918,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-25,6.3500,6.4100,6.1600,6.3200,20369565,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-26,6.2900,6.3800,6.2000,6.3600,12876985,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-29,6.3500,6.3500,6.2800,6.3300,16055447,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-30,6.3000,6.3800,6.2700,6.3100,11513910,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-03-31,6.3000,6.3100,6.2300,6.2900,12372332,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-04-01,6.2900,6.3400,6.2400,6.3300,14626979,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-04-02,6.5000,6.7800,6.5000,6.5200,43068007,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-04-06,6.5300,6.6800,6.4600,6.6500,23445780,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-04-07,6.6500,6.7400,6.5800,6.6700,17291738,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-04-08,6.6800,6.7500,6.6000,6.7000,23190204,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-04-09,6.7200,6.8300,6.6600,6.7300,17416416,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-04-12,6.7500,6.7800,6.5200,6.6000,21128334,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-04-13,6.5800,6.6900,6.4000,6.6200,16011298,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-04-14,6.5900,6.9400,6.5700,6.9000,45101811,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-04-15,6.9900,7.1500,6.9000,6.9800,55670141,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-04-16,6.9800,6.9900,6.8200,6.9300,23428519,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-04-19,6.8800,6.9900,6.6000,6.6400,32204549,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-04-20,6.6200,6.8800,6.4800,6.8800,27977879,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-04-21,6.9300,7.0900,6.8800,7.0400,30558544,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-04-22,7.0000,7.0000,6.7900,6.8400,23614268,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-04-23,6.8100,6.9300,6.7600,6.8600,16301595,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-04-26,6.9400,6.9900,6.6900,6.7000,22712685,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-04-27,6.6500,6.6800,6.1800,6.3800,21320918,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-04-28,6.3200,6.3900,6.2600,6.2900,11616624,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-04-30,6.1700,6.1900,5.8100,6.0800,17486017,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-05-04,5.9300,6.0800,5.8400,5.9300,9709797,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-05-05,5.8500,6.0700,5.8000,6.0500,10536937,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
2010-05-06,6.0400,6.1500,5.8500,5.8500,11609137,sh.600006 | 东风股份 | baostock | adjustflag=3 raw
