time,open,high,low,close,volume,note
2010-01-04,7.2700,7.3000,7.1300,7.1500,14070632,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-01-05,7.1600,7.1800,7.0300,7.1300,18980666,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-01-06,7.1900,7.3300,7.1900,7.2000,24171641,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-01-07,7.2200,7.2200,7.0300,7.0500,15201998,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-01-08,7.0000,7.1100,6.9900,7.1000,12479783,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-01-11,7.1400,7.2000,6.9400,7.0500,19369951,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-01-12,7.0700,7.2000,6.9900,7.2000,20722339,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-01-13,7.0600,7.2400,7.0500,7.0600,17234857,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-01-14,7.0900,7.2400,7.0600,7.2200,20187868,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-01-15,7.2700,7.3400,7.1900,7.3000,30929206,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-01-18,7.3300,7.4800,7.2400,7.4600,29829426,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-01-19,7.5000,7.5300,7.3500,7.3900,21905704,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-01-20,7.4100,7.5200,7.2600,7.3200,31919934,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-01-21,7.3300,7.4600,7.2300,7.3900,23726497,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-01-22,7.2500,7.3900,7.0200,7.1000,23763945,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-01-25,7.0100,7.1500,7.0000,7.0100,10905499,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-01-26,7.0600,7.0600,6.6000,6.6700,19617366,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-01-27,6.6800,6.7300,6.5000,6.5400,14395180,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-01-28,6.5600,6.6600,6.5600,6.6400,8788121,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-01-29,6.6000,6.7000,6.5800,6.6200,9188149,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-02-01,6.6300,7.0700,6.4800,7.0200,28640651,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-02-02,6.9400,7.0400,6.7300,6.7900,18545500,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-02-03,7.0000,7.4700,7.0000,7.4700,85215398,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-02-04,7.8000,8.2200,7.6100,8.2200,170640785,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-02-05,8.4400,8.9500,7.7700,8.2900,208243088,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-02-08,8.1000,8.6000,7.9100,8.3600,91065329,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-02-09,8.1000,8.1800,7.8000,7.8700,61514406,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-02-10,7.8800,8.0700,7.6600,7.9100,44324446,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-02-11,7.9000,7.9300,7.6600,7.7000,34301251,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-02-12,7.6700,8.0000,7.6500,7.8700,38090520,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-02-22,7.7800,8.0800,7.6500,7.9200,44131209,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-02-23,7.8700,8.2900,7.8000,8.2700,49831950,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-02-24,8.1600,8.3400,8.0600,8.2300,48079784,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-02-25,8.2500,8.5200,8.1200,8.3100,58632997,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-02-26,8.2100,8.3100,8.0600,8.1100,48627460,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-03-01,8.1300,8.4500,8.1300,8.2700,50305622,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-03-03,8.2800,8.3200,8.0600,8.2600,41911447,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-03-04,8.2300,8.2400,7.6900,7.7600,45029929,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-03-05,7.7600,7.8600,7.5700,7.7700,28993758,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-03-08,7.7700,7.8500,7.6800,7.7600,16996858,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-03-09,7.7100,7.8100,7.6100,7.7600,18484399,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
2010-03-10,7.7500,7.8900,7.6500,7.7100,18308201,sh.600008 | 首创环保 | baostock | adjustflag=3 raw
