time,open,high,low,close,volume,note
2010-01-04,4.6500,4.6600,4.5800,4.5800,31292193,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-01-05,4.5800,4.6000,4.4800,4.5600,34634151,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-01-06,4.5500,4.6400,4.5000,4.5700,36320032,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-01-07,4.5700,4.5700,4.4500,4.4600,31677985,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-01-08,4.4600,4.5000,4.4000,4.4800,29898000,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-01-11,4.5700,4.5900,4.4500,4.4600,22344608,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-01-12,4.4100,4.5300,4.4100,4.5200,24711897,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-01-13,4.4600,4.4800,4.4100,4.4200,32583009,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-01-14,4.4200,4.4700,4.4100,4.4600,22515094,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-01-15,4.4600,4.4700,4.4000,4.4600,25280524,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-01-18,4.4400,4.4700,4.4000,4.4600,26060751,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-01-19,4.4600,4.5600,4.4400,4.5400,48682088,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-01-20,4.5400,4.5800,4.3700,4.4000,38076250,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-01-21,4.4000,4.4300,4.3500,4.3800,23880408,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-01-22,4.3600,4.3700,4.2100,4.2900,32568074,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-01-25,4.2600,4.2700,4.1900,4.2000,20869199,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-01-26,4.2000,4.2200,4.0000,4.0800,26673829,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-01-27,4.0800,4.1000,4.0000,4.0600,17574842,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-01-28,4.0600,4.1100,4.0300,4.0800,12861056,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-01-29,4.0400,4.1000,3.9800,4.0300,26129028,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-02-01,4.0200,4.0200,3.9100,3.9600,21582294,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-02-02,3.9800,4.0200,3.9500,3.9600,16303005,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-02-03,3.9700,4.0600,3.9100,4.0600,22948990,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-02-04,4.0400,4.0700,4.0100,4.0400,18552968,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-02-05,4.0000,4.0000,3.9600,3.9900,14792402,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-02-08,3.9900,4.0300,3.9800,4.0200,12358148,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-02-09,4.0000,4.0500,4.0000,4.0300,9571301,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-02-10,4.0300,4.0600,4.0300,4.0600,9314960,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-02-11,4.0600,4.1400,4.0400,4.1100,21288205,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-02-12,4.1200,4.1300,4.0800,4.1200,14427411,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-02-22,4.1200,4.1400,4.0800,4.0800,14222007,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-02-23,4.0800,4.0900,4.0000,4.0700,15319812,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-02-24,4.0700,4.2000,4.0300,4.1900,28427877,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-02-25,4.1800,4.2000,4.1400,4.2000,27554062,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-02-26,4.1900,4.1900,4.1500,4.1500,16414415,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-01,4.1500,4.2000,4.1500,4.1900,16914419,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-02,4.2000,4.2000,4.1300,4.1500,14538794,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-03,4.1500,4.2700,4.1100,4.2300,38300668,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-04,4.2200,4.2300,4.0800,4.1000,27579393,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-05,4.1000,4.1500,4.0900,4.1300,16575808,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-08,4.1300,4.1800,4.1100,4.1600,13820619,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-09,4.1600,4.1900,4.1100,4.1600,15799519,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-10,4.1500,4.2400,4.1400,4.2300,42460178,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-11,4.2200,4.2600,4.1800,4.2200,30859269,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-12,4.2100,4.2700,4.1700,4.1800,28072371,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-15,4.1800,4.1900,4.0600,4.1000,24294718,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-16,4.1000,4.1100,4.0700,4.1000,13933199,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-17,4.1000,4.2100,4.1000,4.1900,21595369,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-18,4.2000,4.2000,4.1000,4.1500,21010803,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-19,4.1300,4.1800,4.1100,4.1700,17499991,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-22,4.1700,4.1800,4.1200,4.1400,21669550,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-23,4.1400,4.4300,4.1300,4.2600,92666326,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-24,4.2800,4.3400,4.2000,4.2200,43969591,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-25,4.2300,4.2800,4.1700,4.2100,29383822,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-26,4.2000,4.2500,4.1900,4.2300,19514273,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-29,4.2300,4.3200,4.2200,4.3100,39088829,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-30,4.3100,4.3300,4.2600,4.2700,24533044,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-03-31,4.2800,4.2900,4.2000,4.2300,23388864,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-04-01,4.2100,4.2700,4.2100,4.2500,20949818,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-04-02,4.2600,4.3700,4.2400,4.3500,68444681,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-04-06,4.3500,4.4000,4.2900,4.3800,43144899,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-04-07,4.3600,4.6300,4.3300,4.4900,105919276,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-04-08,4.4800,4.4800,4.3900,4.4000,41264643,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-04-09,4.3900,4.4900,4.3700,4.4200,34597016,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-04-12,4.4300,4.4400,4.2600,4.3600,53598150,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-04-13,4.3500,4.3800,4.2400,4.3200,36101129,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-04-14,4.3000,4.3500,4.2900,4.3200,20713957,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-04-15,4.3300,4.4400,4.3200,4.3700,44936246,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-04-16,4.3600,4.3700,4.2700,4.2800,24134200,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-04-19,4.2500,4.2600,4.0500,4.0600,40340200,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-04-20,4.0600,4.1100,3.9000,4.0200,36050668,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-04-21,4.0300,4.0700,3.9900,4.0700,24962025,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-04-22,4.0700,4.0700,3.9700,4.0000,23923546,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-04-23,4.0000,4.0100,3.9500,3.9700,24795035,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-04-26,3.9800,3.9800,3.9300,3.9400,18197566,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-04-27,3.9300,3.9300,3.8200,3.8500,27325597,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-04-28,3.8500,3.9300,3.8000,3.8900,14933859,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-04-29,3.9000,3.9400,3.8200,3.8300,15783905,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-04-30,3.8200,3.9300,3.8200,3.9200,22445402,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-05-04,3.8700,3.9100,3.8300,3.8700,12948898,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-05-05,3.8500,3.8800,3.6900,3.8700,21054808,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-05-06,3.8700,3.8700,3.7000,3.7100,17712148,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-05-07,3.6600,3.6700,3.5800,3.6100,19530942,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-05-10,3.6000,3.6500,3.5500,3.6100,13937444,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-05-11,3.6600,3.7700,3.5700,3.6200,27431119,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-05-12,3.6200,3.6400,3.5200,3.6200,13130127,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-05-13,3.6000,3.6700,3.5500,3.6600,23736998,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-05-14,3.6100,3.6400,3.5900,3.6100,14410198,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-05-17,3.5800,3.5900,3.3600,3.3700,20644892,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-05-18,3.3800,3.4600,3.3200,3.4100,23218436,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-05-19,3.3900,3.4300,3.3300,3.3800,15199575,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-05-20,3.3600,3.4400,3.3500,3.3700,14376494,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-05-21,3.3100,3.4200,3.2600,3.4100,18432649,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-05-24,3.4200,3.5500,3.4200,3.5300,23603538,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-05-25,3.5300,3.5300,3.4300,3.4600,13862173,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-05-26,3.4600,3.5000,3.4500,3.4700,8439971,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-05-27,3.4700,3.5100,3.4000,3.5000,12341174,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-05-31,3.4000,3.4800,3.3800,3.3900,14541305,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-06-01,3.3800,3.3800,3.3100,3.3500,10793719,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-06-02,3.3400,3.3700,3.3100,3.3700,8165477,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-06-03,3.3700,3.4600,3.3400,3.3800,15184165,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-06-04,3.3600,3.3900,3.3300,3.3900,6780581,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-06-07,3.3500,3.3500,3.2900,3.3000,10518381,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-06-08,3.2900,3.3400,3.2800,3.3300,8434578,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-06-09,3.3200,3.4000,3.3000,3.3800,16024033,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-06-10,3.3600,3.3800,3.3300,3.3400,10098519,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-06-11,3.3400,3.4500,3.3300,3.4000,27557478,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-06-17,3.4100,3.4200,3.3300,3.3400,12746643,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-06-18,3.3400,3.3700,3.2700,3.3000,12052880,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-06-21,3.3000,3.3800,3.2600,3.3700,14354081,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
2010-06-22,3.3500,3.3800,3.3200,3.3600,10776659,sh.600010 | 包钢股份 | baostock | adjustflag=3 raw
