time,open,high,low,close,volume,note
2010-01-04,8.1100,8.1300,7.9900,8.0100,13471969,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-01-05,8.0300,8.0900,7.9000,8.0900,12001396,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-01-06,8.1000,8.1400,8.0400,8.0400,13496984,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-01-07,8.0200,8.0200,7.8500,7.8600,10262641,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-01-18,7.8300,8.3400,7.8000,8.0200,20917280,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-01-19,8.0400,8.1100,7.9900,8.0200,14115371,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-01-20,8.0200,8.0500,7.7800,7.8000,13483884,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-01-21,7.8000,7.8600,7.7200,7.7800,8300195,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-01-22,7.7500,7.8100,7.6300,7.7100,7681392,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-01-25,7.6800,7.8000,7.6400,7.7200,5071674,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-01-26,7.7200,7.7400,7.3900,7.4100,6956304,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-01-27,7.4100,7.4900,7.3600,7.3700,4690595,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-01-28,7.4000,7.4300,7.2500,7.2900,7924234,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-01-29,7.3200,7.4300,7.2700,7.3600,6194160,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-02-01,7.3900,7.4000,7.1400,7.1800,6211825,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-02-02,7.2200,7.2700,7.1700,7.1800,3667869,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-02-03,7.2100,7.3500,7.1500,7.3500,5759004,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-02-04,7.3500,7.4100,7.2900,7.3300,4845521,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-02-05,7.2300,7.2500,7.1300,7.1800,5579436,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-02-08,7.1700,7.2200,7.1500,7.1900,2924125,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-02-09,7.2000,7.2900,6.9700,7.2600,4319244,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-02-10,7.2700,7.3100,7.2200,7.2800,3445384,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-02-11,7.2800,7.3400,7.2800,7.2900,3108676,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-02-12,7.2900,7.3500,7.2800,7.3500,3413252,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-02-22,7.3500,7.3500,7.2700,7.3100,3170475,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-02-23,7.3000,7.3300,7.1700,7.2500,3007384,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-02-24,7.2200,7.3800,7.1600,7.3700,5943322,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-02-25,7.3900,7.4600,7.3500,7.4500,6790364,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-02-26,7.4500,7.4500,7.3600,7.3800,6031758,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-01,7.3800,7.4700,7.3800,7.4600,6609530,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-02,7.4600,7.4800,7.3700,7.4300,6650781,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-03,7.4400,7.6400,7.4000,7.6400,15762329,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-04,7.6500,7.7100,7.3800,7.5100,13384821,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-05,7.4800,7.5100,7.4000,7.4500,5210446,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-08,7.4500,7.4800,7.4000,7.4300,3916574,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-09,7.4500,7.5000,7.4000,7.4700,5722173,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-10,7.4900,7.4900,7.3800,7.4200,4457875,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-11,7.4200,7.4500,7.3500,7.4000,3882118,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-12,7.4000,7.4000,6.6600,7.1200,6443134,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-15,7.2500,7.3500,7.1100,7.1200,9100606,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-17,7.1700,7.2500,7.1400,7.2300,7292038,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-18,7.2500,7.2700,7.1800,7.2300,5899850,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-19,7.2400,7.2800,7.2000,7.2700,4037128,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-22,7.2800,7.3500,7.2700,7.3200,4961101,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-23,7.3400,7.3400,7.2700,7.3000,4098988,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-24,7.3400,7.3500,7.2300,7.2700,5410331,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-25,7.2500,7.2600,7.1500,7.1700,4539144,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-26,7.1900,7.2800,7.1300,7.2400,3954105,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-29,7.2600,7.4100,7.2600,7.3700,9956540,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-30,7.3900,7.4000,7.3100,7.3500,5089331,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-03-31,7.3800,7.4000,7.2800,7.3200,6755025,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-04-01,7.3100,7.3700,7.2800,7.3500,8000810,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-04-02,7.3600,7.3600,7.3000,7.3400,8305402,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-04-06,7.3600,7.3800,7.2600,7.3100,8033740,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-04-07,7.3200,7.3200,7.2500,7.2800,5618599,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-04-08,7.2700,7.2700,7.1700,7.1900,6614106,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-04-09,7.2000,7.2400,7.1900,7.2100,6353357,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-04-12,7.2100,7.2300,7.1600,7.1900,7842231,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-04-13,7.1900,7.2700,7.1700,7.2500,9114988,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-04-14,7.2600,7.2700,7.2100,7.2300,5585862,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-04-15,7.2700,7.3000,7.2100,7.2300,7077012,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-04-16,7.2000,7.2400,7.1700,7.1800,5410932,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-04-19,7.1800,7.2000,6.8900,6.9300,11084128,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-04-20,6.9100,6.9900,6.8600,6.9300,5553783,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-04-21,6.9600,7.1700,6.9600,7.1400,7260972,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-04-22,7.1300,7.3000,7.0600,7.2000,12107175,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-04-23,7.2000,7.2600,7.0500,7.0600,5746878,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-04-26,7.0500,7.0600,6.8900,6.9500,5591491,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-04-27,6.8700,6.9700,6.7100,6.7700,6102620,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-04-28,6.7900,6.7900,6.7100,6.7500,4669361,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-04-29,6.7600,6.8000,6.7200,6.7300,3841767,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-04-30,6.7300,6.8000,6.6400,6.7100,5514896,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-05-04,6.6700,6.7500,6.6400,6.6900,2952195,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-05-05,6.6800,6.7500,6.6200,6.7300,4683194,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
