time,open,high,low,close,volume,note
2010-01-04,5.9700,5.9700,5.8600,5.8700,4457081,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-01-05,5.8800,5.9100,5.8100,5.9000,4036819,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-01-06,5.9000,5.9600,5.8600,5.8800,4436603,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-01-07,5.8600,5.8900,5.7300,5.7600,4516599,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-01-08,5.7400,5.8300,5.7300,5.8100,3889700,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-01-11,5.8500,6.0400,5.8000,6.0300,15850923,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-01-12,6.0200,6.3700,5.9900,6.3100,25963574,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-01-13,6.2400,6.5300,6.2400,6.2800,25576301,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-01-14,6.3600,6.4200,6.2200,6.3300,11431174,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-01-15,6.3000,6.3500,6.2400,6.3100,7707084,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-01-18,6.3000,6.5500,6.2300,6.5100,16247472,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-01-19,6.5100,7.1600,6.4500,7.1600,39701483,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-01-20,7.3500,7.8800,7.3500,7.8800,127174906,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-01-21,7.7000,7.7500,7.2000,7.5200,69143612,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-01-22,7.5800,8.1600,7.5300,7.6200,81485220,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-01-25,7.3000,7.4500,7.1000,7.1600,32671736,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-01-26,7.1600,7.2900,6.5000,6.7600,31443993,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-01-27,6.6600,7.0600,6.5200,6.8200,34603457,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-01-28,6.6800,7.3500,6.6600,7.3200,37295526,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-01-29,7.1400,7.7000,7.1000,7.3900,45037151,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-02-01,7.3000,7.6800,7.0600,7.3700,32703047,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-02-02,7.5000,8.1100,7.5000,8.0800,89862696,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-02-03,7.9000,8.4900,7.7800,8.2500,99287199,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-02-04,8.0000,8.4000,7.9000,8.0800,64942392,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-02-05,7.8800,7.9100,7.4600,7.6000,48397718,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-02-08,7.4500,7.7900,7.3100,7.6800,26485703,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-02-09,7.5700,8.1900,7.5200,7.7600,38153440,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-02-10,7.6700,7.8200,7.4000,7.5600,22184356,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-02-11,7.5500,7.5700,7.2500,7.2700,19405082,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-02-12,7.2700,7.4800,7.2400,7.3800,14577292,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-02-22,7.4000,7.8900,7.2400,7.6800,29998764,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-02-23,7.6200,7.8100,7.5600,7.7700,25164291,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-02-24,7.7600,7.7700,7.4000,7.7500,22377576,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-02-25,7.8000,8.1700,7.8000,7.9200,32699001,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-02-26,7.8500,8.1600,7.7300,8.1200,41843559,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-01,8.1500,8.3000,8.0400,8.1600,38456550,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-02,8.1700,8.2400,7.8000,7.9100,29281532,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-03,7.8800,8.1500,7.7800,7.9400,25303694,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-04,7.8900,7.9600,7.5300,7.6000,23021235,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-05,7.5700,7.6500,7.3600,7.5000,14552652,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-08,7.5200,7.6700,7.4600,7.5600,9969936,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-09,7.5700,7.6100,7.4100,7.5000,11427301,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-10,7.5000,7.5700,7.3100,7.3900,11139469,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-11,7.3800,7.4600,7.2500,7.4500,12757098,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-12,7.4000,7.4500,7.2000,7.2100,9993265,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-15,7.2200,7.2500,7.0600,7.1300,7802579,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-16,7.1400,7.2300,7.1000,7.2100,6760007,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-17,7.2100,7.4200,7.2000,7.4000,10465280,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-18,7.4100,7.4500,7.3400,7.3600,7711713,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-19,7.3600,7.3800,7.2200,7.3300,7362602,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-22,7.3400,7.3600,7.2300,7.3000,8239005,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-23,7.3300,7.4200,7.2500,7.3500,9493534,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-24,7.3300,7.6400,7.3000,7.4600,16320713,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-25,7.5900,7.7000,7.4600,7.5400,22795775,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-29,7.5800,7.6500,7.4400,7.5500,12972720,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-30,7.5700,7.6000,7.4600,7.5000,9499721,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-03-31,7.4900,7.5000,7.2800,7.3200,11688563,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-04-01,7.2900,7.4400,7.2800,7.4200,11414327,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-04-02,7.4200,7.4200,7.3200,7.4000,10547313,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-04-06,7.4000,7.5200,7.3500,7.5000,12413381,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-04-07,7.5300,7.6300,7.5000,7.5600,20640345,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-04-08,7.5900,7.6000,7.3800,7.4500,12365067,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-04-09,7.4500,7.5000,7.3800,7.4800,8714877,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-04-12,7.5200,7.5400,7.4000,7.4500,9929397,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-04-13,7.4400,7.4400,7.1200,7.2600,11871766,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-04-14,7.2200,7.3200,7.1600,7.2900,8439192,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-04-15,7.3000,7.3000,7.1500,7.1800,7430469,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-04-16,7.1800,7.2200,7.0800,7.1300,5759138,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-04-19,7.1200,7.1200,6.7100,6.7200,9913309,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-04-20,6.7200,6.8300,6.5000,6.6600,6653998,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-04-21,6.7100,6.7500,6.5600,6.7200,9069783,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-04-22,6.7300,6.7400,6.5900,6.5900,7012181,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-04-23,6.5800,6.6700,6.5100,6.5600,5302392,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-04-26,6.6000,6.7600,6.5300,6.7600,7934847,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-04-27,6.9100,7.2200,6.9000,7.1400,31805749,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-04-28,7.0000,7.0100,6.7700,6.8900,10940447,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
2010-04-29,6.9500,6.9500,6.6000,6.6100,10361522,sh.600012 | 皖通高速 | baostock | adjustflag=3 raw
