time,open,high,low,close,volume,note
2010-01-04,8.0300,8.1500,7.9200,7.9300,243569126,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-01-05,7.9900,8.1400,7.8000,8.0700,230186823,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-01-06,8.0300,8.0800,7.9000,7.9100,161680601,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-01-07,7.9000,7.9200,7.6500,7.7000,166506161,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-01-08,7.6900,7.8100,7.6400,7.7800,117514695,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-01-11,8.1500,8.2100,7.8000,7.8700,258278574,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-01-12,7.8200,7.9600,7.6000,7.9100,183095668,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-01-13,7.6500,7.7300,7.5000,7.5600,289554654,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-01-14,7.6000,7.6100,7.4500,7.5700,144728334,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-01-15,7.5800,7.6400,7.4600,7.5700,116026943,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-01-18,7.5100,7.6100,7.5000,7.5900,113146084,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-01-19,7.6100,7.7500,7.6100,7.7100,154300835,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-01-20,7.7300,7.7400,7.4600,7.5000,125636585,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-01-21,7.5100,7.7000,7.4900,7.6300,119745740,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-01-22,7.5200,7.9200,7.4800,7.7800,276878409,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-01-25,7.6500,7.8500,7.6000,7.6300,121765930,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-01-26,7.6200,7.7400,7.5000,7.5500,113315894,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-01-27,7.5700,7.6300,7.2800,7.3200,119260775,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-01-28,7.3500,7.3600,7.2000,7.2500,101956759,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-01-29,7.1900,7.3500,7.1900,7.2300,104653478,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-02-01,7.2100,7.2100,7.0300,7.1100,102736700,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-02-02,7.1700,7.2900,7.1000,7.1200,81491401,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-02-03,7.1500,7.3000,7.0100,7.2900,118072799,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-02-04,7.2400,7.3100,7.1900,7.2500,65467138,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-02-05,7.1000,7.1800,7.0500,7.1300,76906434,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-02-08,7.1500,7.1700,7.0400,7.1000,46885788,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-02-09,7.1000,7.1800,7.1000,7.1800,48178691,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-02-10,7.2200,7.2800,7.1500,7.2300,52779615,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-02-11,7.2500,7.2800,7.1800,7.2300,47281229,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-02-12,7.2600,7.2900,7.2300,7.2800,54676225,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-02-22,7.2700,7.3100,7.2000,7.2300,49958511,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-02-23,7.2300,7.2600,7.0900,7.1600,60243671,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-02-24,7.1200,7.2800,7.1000,7.2600,56144076,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2010-02-25,7.2700,7.4200,7.2400,7.3600,115526232,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
