time,open,high,low,close,volume,note
2010-01-04,6.9100,7.0200,6.8500,6.9100,18001888,sh.600017 | 日照港 | baostock | adjustflag=3 raw
2010-01-05,7.0600,7.2000,7.0100,7.1000,29455441,sh.600017 | 日照港 | baostock | adjustflag=3 raw
2010-01-06,7.1000,7.1600,6.9600,6.9800,19750638,sh.600017 | 日照港 | baostock | adjustflag=3 raw
2010-01-07,7.0500,7.0600,6.8600,6.8900,15155924,sh.600017 | 日照港 | baostock | adjustflag=3 raw
2010-01-08,6.8800,7.2700,6.8500,7.2000,35535534,sh.600017 | 日照港 | baostock | adjustflag=3 raw
2010-01-11,7.2300,7.3300,7.1100,7.1700,22135920,sh.600017 | 日照港 | baostock | adjustflag=3 raw
2010-01-12,7.1900,7.5800,7.1500,7.4900,47619671,sh.600017 | 日照港 | baostock | adjustflag=3 raw
2010-01-13,7.3200,7.5100,7.2800,7.3600,32613989,sh.600017 | 日照港 | baostock | adjustflag=3 raw
2010-01-14,7.3600,7.5200,7.3300,7.4400,23621806,sh.600017 | 日照港 | baostock | adjustflag=3 raw
2010-01-15,7.4400,7.5000,7.3100,7.3700,16473834,sh.600017 | 日照港 | baostock | adjustflag=3 raw
2010-01-18,7.3300,7.6600,7.2500,7.6300,29705918,sh.600017 | 日照港 | baostock | adjustflag=3 raw
2010-01-19,7.5800,7.6700,7.5100,7.6300,20117582,sh.600017 | 日照港 | baostock | adjustflag=3 raw
2010-01-20,7.6600,7.8200,7.4300,7.4700,43946362,sh.600017 | 日照港 | baostock | adjustflag=3 raw
2010-01-21,7.4700,7.5100,7.3100,7.3400,33437532,sh.600017 | 日照港 | baostock | adjustflag=3 raw
2010-01-22,7.2700,7.2700,6.8000,7.0400,22439099,sh.600017 | 日照港 | baostock | adjustflag=3 raw
2010-01-25,6.9600,7.0900,6.8700,6.9300,10533607,sh.600017 | 日照港 | baostock | adjustflag=3 raw
2010-01-26,6.9400,7.0300,6.8600,6.9900,12414635,sh.600017 | 日照港 | baostock | adjustflag=3 raw
2010-01-27,6.9800,7.0400,6.7600,6.8900,8840000,sh.600017 | 日照港 | baostock | adjustflag=3 raw
2010-01-28,6.9000,7.0200,6.8400,6.9500,6274709,sh.600017 | 日照港 | baostock | adjustflag=3 raw
2010-01-29,6.9400,7.1800,6.8900,7.1200,18318183,sh.600017 | 日照港 | baostock | adjustflag=3 raw
2010-02-01,7.1000,7.1400,6.9200,7.0100,8259277,sh.600017 | 日照港 | baostock | adjustflag=3 raw
2010-02-02,7.0400,7.1600,7.0200,7.0600,14122830,sh.600017 | 日照港 | baostock | adjustflag=3 raw
