time,open,high,low,close,volume,note
2010-01-04,5.8100,5.8500,5.7700,5.7900,18708002,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-01-05,5.7900,5.8200,5.6800,5.8000,20679378,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-01-06,5.7900,5.8700,5.7300,5.7400,20098612,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-01-07,5.7300,5.7800,5.5500,5.5800,21187062,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-01-08,5.5800,5.6300,5.5300,5.6000,14062020,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-01-11,5.7400,5.8000,5.6200,5.6400,17663816,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-01-12,5.6400,5.9800,5.6300,5.9200,62610320,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-01-13,5.8100,5.8800,5.7100,5.7600,44383848,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-01-14,5.7700,5.9500,5.7500,5.9400,57342606,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-01-15,5.9900,6.0000,5.8900,5.9400,35211011,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-01-18,5.9800,6.0200,5.8500,5.9900,45521156,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-01-19,5.9900,6.0200,5.8600,5.9200,33030451,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-01-20,5.9900,6.2100,5.9200,6.0100,97291709,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-01-21,6.0400,6.1300,5.9000,5.9800,48208238,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-01-22,5.9100,5.9200,5.7200,5.8200,38351182,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-01-25,5.7800,5.8400,5.7300,5.7400,16174291,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-01-26,5.7400,5.7800,5.5000,5.5500,21301933,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-01-27,5.5500,5.6200,5.5100,5.5300,15188599,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-01-28,5.5400,5.5800,5.5000,5.5600,12711701,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-01-29,5.5400,5.6200,5.4500,5.5000,18969513,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-02-01,5.5000,5.5200,5.3100,5.3600,15936418,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-02-02,5.4000,5.4700,5.3500,5.3600,10867498,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-02-03,5.3700,5.5100,5.3500,5.5100,15346955,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-02-04,5.4800,5.5400,5.4500,5.5000,13083402,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-02-05,5.4000,5.5000,5.3500,5.4100,15612553,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-02-08,5.4200,5.4400,5.3600,5.3900,8502078,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-02-09,5.4000,5.5400,5.3700,5.4600,12706157,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-02-10,5.4900,5.5000,5.4200,5.4600,9986410,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-02-11,5.4800,5.4800,5.4200,5.4400,12258215,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-02-12,5.4800,5.4800,5.4400,5.4800,9731093,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-02-22,5.4900,5.5300,5.4300,5.5000,15902139,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-02-23,5.5100,5.5600,5.4700,5.5500,14582252,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-02-24,5.5400,5.6000,5.5000,5.5900,19900582,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-02-25,5.6000,5.6200,5.5400,5.6100,23217020,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-02-26,5.6000,5.6100,5.5400,5.5600,20300515,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-03-01,5.5300,5.5800,5.5200,5.5700,21841620,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-03-02,5.5700,5.6000,5.5400,5.5600,15164553,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-03-03,5.5600,5.6300,5.5200,5.6200,22333232,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-03-04,5.6300,5.8500,5.5900,5.6500,52185101,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-03-05,5.6600,5.9000,5.6000,5.8400,57734284,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-03-08,5.8300,5.8300,5.7100,5.7900,25785873,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-03-09,5.7500,5.7800,5.6700,5.7300,19998191,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-03-10,5.7400,5.7800,5.5800,5.6300,25740196,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-03-11,5.6500,5.6700,5.5600,5.6200,12470973,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-03-12,5.6200,5.6300,5.5000,5.5100,12810453,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-03-15,5.5000,5.5700,5.4800,5.5000,11846218,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-03-16,5.5000,5.5400,5.4700,5.5300,9019690,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-03-17,5.5500,5.6400,5.5200,5.6300,13437386,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-03-18,5.6300,5.6900,5.5800,5.6200,18048324,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-03-19,5.6200,5.6500,5.5700,5.6400,12591447,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-03-22,5.6600,5.6800,5.6200,5.6400,11949766,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-03-23,5.6500,5.6700,5.5600,5.5600,11127487,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-03-24,5.5700,5.6000,5.5300,5.5400,10675567,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-03-25,5.5300,5.5400,5.4600,5.4700,12986452,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
2010-03-26,5.5000,5.6000,5.4800,5.5700,12703295,sh.600018 | 上港集团 | baostock | adjustflag=3 raw
