time,open,high,low,close,volume,note
2010-01-04,9.7000,9.7200,9.4400,9.4500,78327671,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-01-05,9.4500,9.5800,9.1700,9.3500,92761062,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-01-06,9.2900,9.7000,9.2500,9.4900,97345543,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-01-07,9.4400,9.6600,8.9900,9.0300,114394447,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-01-08,9.0300,9.1400,8.8400,9.0800,82943351,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-01-11,9.2800,9.4700,8.9700,9.0400,68524579,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-01-12,9.0400,9.2000,8.6000,9.0000,142462361,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-01-13,8.7800,8.8300,8.5100,8.6600,186260106,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-01-14,8.7500,8.7600,8.5000,8.7100,134910928,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-01-15,8.7000,8.7200,8.5700,8.6800,82086232,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-01-18,8.6400,8.7200,8.4600,8.6900,116210903,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-01-19,8.7000,8.9100,8.6500,8.7900,131411538,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-01-20,8.8200,8.8600,8.2900,8.3400,153750716,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-01-21,8.3100,8.3800,7.9700,8.1400,120544330,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-01-22,8.0000,8.0000,7.6200,7.8700,155378707,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-01-25,7.7700,7.8700,7.6800,7.6900,90824315,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-01-26,7.6700,7.7400,7.3800,7.4600,99214563,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-01-27,7.5000,7.5200,7.2200,7.4900,89635514,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-01-28,7.4100,7.6400,7.3300,7.5600,75020595,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-01-29,7.5200,7.7600,7.4300,7.5800,56151547,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-02-01,7.5800,7.6000,7.3500,7.4900,56628249,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-02-02,7.5100,7.6800,7.4700,7.4800,46645260,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-02-03,7.5000,7.6500,7.3100,7.6400,66088097,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-02-04,7.5900,7.6800,7.5000,7.6000,44527664,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-02-05,7.4000,7.4400,7.3000,7.3400,58971972,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-02-08,7.3700,7.4400,7.2500,7.2900,36170895,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-02-09,7.3100,7.3600,7.2400,7.3200,36520158,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-02-10,7.3600,7.4200,7.3100,7.4100,32086129,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-02-11,7.4300,7.9500,7.4000,7.8300,143646740,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-02-12,7.8600,8.0300,7.7700,8.0200,82061702,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-02-22,8.0200,8.1900,7.8800,7.9900,53048209,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-02-23,7.9800,8.0400,7.7000,7.9900,67759745,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-02-24,7.9200,8.2500,7.8400,8.2200,82213433,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-02-25,8.2200,8.3400,8.1600,8.1800,75505105,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-02-26,8.1700,8.2200,8.0100,8.0400,51797084,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
2010-03-01,8.0600,8.2100,8.0600,8.2000,72884141,sh.600019 | 宝钢股份 | baostock | adjustflag=3 raw
