time,open,high,low,close,volume,note
2010-01-04,4.4000,4.4000,4.3200,4.3300,9785571,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-01-05,4.3300,4.3600,4.2700,4.3400,10694743,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-01-06,4.3400,4.3800,4.2900,4.3500,11813615,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-01-07,4.3300,4.3500,4.2200,4.2500,12661312,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-01-08,4.2100,4.3000,4.2000,4.2900,8672455,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-01-11,4.3500,4.3800,4.2900,4.3100,9095676,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-01-12,4.3100,4.4000,4.2500,4.4000,19580297,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-01-13,4.3400,4.4000,4.3000,4.3400,17303810,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-01-14,4.3300,4.4400,4.3300,4.4400,19697818,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-01-18,4.4500,4.5300,4.4400,4.5300,22501611,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-01-19,4.5300,4.6600,4.4700,4.6200,34875378,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-01-20,4.6200,4.8500,4.5800,4.6400,64335510,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-01-21,4.6400,4.6700,4.5300,4.5800,23701824,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-01-22,4.5300,4.5500,4.4100,4.4900,19113346,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-01-25,4.4900,4.5200,4.4200,4.4300,9181987,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-01-26,4.4100,4.4500,4.2400,4.2800,14718605,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-01-27,4.2700,4.4400,4.2000,4.3300,18055267,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-01-28,4.3000,4.4100,4.2900,4.4000,13065081,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-01-29,4.3700,4.5100,4.3500,4.4300,15144212,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-02-01,4.4300,4.4600,4.3000,4.3300,11544328,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-02-02,4.3600,4.5500,4.3400,4.4500,20252133,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-02-03,4.4800,4.6500,4.4100,4.6300,37500509,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-02-04,4.6000,4.6800,4.5300,4.6100,26742980,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-02-05,4.5400,4.5800,4.4300,4.4700,20207429,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-02-08,4.4700,4.5500,4.4400,4.5000,9760314,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-02-09,4.5100,4.9500,4.4700,4.7500,71022129,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-02-10,4.6700,4.7600,4.6200,4.7000,29800934,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-02-11,4.6800,4.7200,4.6200,4.6300,13137703,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-02-12,4.6400,4.7000,4.6400,4.6800,11585392,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-02-22,4.6700,4.7400,4.6600,4.6700,16493384,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-02-23,4.6700,4.7100,4.5300,4.7000,18930888,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-02-24,4.6600,4.7400,4.6400,4.7200,20465774,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-02-25,4.7300,4.8100,4.7200,4.7800,25149665,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-02-26,4.7800,4.8100,4.7300,4.7600,19153184,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-03-01,4.7600,4.8400,4.7500,4.8000,21276693,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-03-02,4.8000,4.8200,4.7000,4.7200,17335165,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-03-03,4.7500,5.1500,4.7400,4.9200,73610621,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-03-04,4.8800,4.9800,4.7300,4.7600,37171307,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-03-05,4.7800,4.8900,4.7600,4.8400,22607870,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-03-08,4.8600,4.8800,4.8100,4.8600,14078446,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-03-09,4.8600,4.8600,4.7600,4.8200,13209837,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-03-10,4.8100,4.8300,4.7200,4.7500,14180232,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-03-11,4.7200,4.7700,4.6700,4.7400,13014741,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-03-12,4.7400,4.7500,4.6100,4.6200,11844141,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
2010-03-15,4.6300,4.6800,4.5300,4.5800,11393644,sh.600020 | 中原高速 | baostock | adjustflag=3 raw
