time,open,high,low,close,volume,note
2026-01-05,19.9800,20.2000,19.9000,20.0900,76540895,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-01-06,20.0900,20.9300,20.0300,20.7900,116501937,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-01-07,20.7700,22.2000,20.6000,21.6900,142052444,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-01-08,21.7300,22.0800,21.3400,21.5000,98882681,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-01-09,21.4800,21.7500,21.2000,21.3200,90163266,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-01-12,21.3300,21.7000,20.9500,21.6900,116545365,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-01-13,21.6900,22.6800,20.8600,21.4000,167672041,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-01-14,21.3000,21.7000,20.9200,21.0900,118542281,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-01-15,20.9800,21.2900,20.7800,20.9700,64267050,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-01-16,21.4000,21.9700,21.2500,21.2600,137499011,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-01-19,21.2700,22.3300,21.2200,21.9000,141393312,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-01-20,21.9500,24.0000,21.5500,23.6800,263192287,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-01-21,23.6000,23.6000,22.5000,22.9200,162577515,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-01-22,22.8000,23.4900,22.5500,23.2700,137592816,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-01-23,23.0600,23.9900,22.9700,23.8000,148958053,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-01-26,24.0000,24.8500,23.5800,23.9400,156042301,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-01-27,23.6600,23.6900,22.7300,23.2000,107420750,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-01-28,23.0200,23.2000,22.7000,22.9200,71501282,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-01-29,22.8100,23.0800,22.0200,22.0500,89239118,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-01-30,22.0000,22.0300,20.7000,21.2700,88531710,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-02-02,21.0500,21.8500,20.8600,20.9300,67215756,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-02-03,20.9500,21.2900,20.7600,21.2300,56304580,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-02-04,21.1200,21.2900,20.9400,21.2200,46131547,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
2026-02-05,21.2200,21.2200,20.2500,20.3200,60610614,sh.600021 | 上海电力 | baostock | adjustflag=3 raw
