time,open,high,low,close,volume,note
2026-01-05,1.5100,1.5200,1.5000,1.5100,81815771,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-01-06,1.5100,1.5500,1.5000,1.5400,141517071,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-01-07,1.5500,1.5600,1.5300,1.5400,99570985,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-01-08,1.5400,1.5600,1.5200,1.5500,122461252,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-01-09,1.5400,1.5700,1.5400,1.5500,135365614,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-01-12,1.5600,1.6100,1.5500,1.6000,191200087,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-01-13,1.6000,1.6100,1.5600,1.5800,164691440,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-01-14,1.5700,1.6200,1.5700,1.5800,174800021,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-01-15,1.5700,1.5800,1.5500,1.5500,104795791,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-01-16,1.5600,1.5700,1.5100,1.5200,134149860,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-01-19,1.5200,1.5400,1.5100,1.5200,98658858,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-01-20,1.5200,1.5600,1.5100,1.5500,125915030,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-01-21,1.5500,1.5700,1.5400,1.5700,120987580,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-01-22,1.5700,1.6200,1.5600,1.6200,202109721,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-01-23,1.6200,1.6500,1.6000,1.6400,171780201,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-01-26,1.6300,1.6800,1.6200,1.6500,206901435,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-01-27,1.6500,1.6600,1.6100,1.6300,162089187,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-01-28,1.6300,1.6700,1.6100,1.6600,200448926,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-01-29,1.6700,1.7300,1.6600,1.7000,311771461,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-01-30,1.6900,1.7000,1.6100,1.6500,214515027,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-02-02,1.6300,1.6400,1.5300,1.5500,216974086,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
2026-02-03,1.5600,1.6000,1.5500,1.6000,141477770,sh.600022 | 山东钢铁 | baostock | adjustflag=3 raw
