time,open,high,low,close,volume,note
2026-01-05,4.9400,4.9600,4.9200,4.9600,53501627,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-01-06,4.9600,4.9900,4.9500,4.9800,52109983,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-01-07,4.9800,5.0300,4.9600,5.0000,54583774,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-01-08,5.0100,5.0600,4.9900,5.0300,48889910,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-01-09,5.0300,5.0300,5.0100,5.0200,40846671,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-01-12,5.0300,5.0900,5.0100,5.0800,71647728,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-01-13,5.0800,5.0800,5.0300,5.0500,56280510,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-01-14,5.0600,5.0700,4.9400,4.9600,138483870,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-01-15,4.9700,4.9800,4.9400,4.9500,54542168,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-01-16,4.9800,5.0300,4.9000,4.9100,153310797,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-01-19,4.9100,4.9800,4.8900,4.9800,79142617,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-01-20,5.0000,5.0400,4.9800,5.0300,93299473,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-01-21,5.0300,5.0400,4.9700,4.9800,63884371,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-01-22,4.9900,5.0100,4.9300,4.9500,119158639,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-01-23,4.9500,4.9700,4.9400,4.9500,69549361,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-01-26,4.9600,5.0300,4.9500,5.0000,112541074,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-01-27,5.0200,5.0200,4.9400,4.9600,81074824,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-01-28,4.9500,5.0000,4.9400,4.9700,76351656,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-01-29,4.9700,4.9900,4.9400,4.9900,84746987,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-01-30,4.9800,5.0100,4.9500,4.9500,96651056,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-02-02,4.9700,5.0300,4.9400,4.9400,120528524,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-02-03,4.9600,4.9800,4.8900,4.9200,121823636,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-02-04,4.9100,4.9800,4.9100,4.9700,75598378,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-02-05,4.9700,4.9800,4.9400,4.9500,41605563,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-02-06,4.9500,4.9800,4.9400,4.9600,50218296,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-02-09,4.9700,4.9900,4.9600,4.9800,41872630,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-02-10,4.9800,4.9800,4.9600,4.9700,32797211,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-02-11,4.9800,4.9900,4.9700,4.9800,35024993,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-02-12,4.9900,5.0300,4.9800,5.0100,64765677,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-02-13,5.0100,5.0100,4.9500,4.9600,60120755,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-02-24,4.9700,5.0600,4.9700,5.0500,91082935,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-02-25,5.0500,5.1400,5.0500,5.1000,100163584,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-02-26,5.1200,5.1900,5.1000,5.1900,107940602,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-02-27,5.2000,5.3300,5.1900,5.3300,139241991,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-02,5.3000,5.4400,5.2600,5.4300,168893047,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-03,5.4300,5.4900,5.3700,5.4000,166979023,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-04,5.3700,5.4400,5.3100,5.4100,136743964,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-05,5.4500,5.5200,5.4200,5.4900,109397152,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-06,5.4900,5.5100,5.4300,5.4800,82385310,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-09,5.4700,5.5700,5.4500,5.5000,114641163,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-10,5.5000,5.5200,5.4100,5.4600,77161461,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-11,5.4500,5.5300,5.3400,5.5300,86178121,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-12,5.5300,5.6800,5.5000,5.6500,126824397,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-13,5.6800,5.6800,5.5400,5.5700,91004562,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-16,5.5700,5.6100,5.4600,5.4800,76798119,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-17,5.4700,5.5500,5.4300,5.4400,67142021,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-18,5.4600,5.5200,5.4000,5.4600,65662414,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-19,5.4300,5.5400,5.4200,5.4600,55088265,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-20,5.4500,5.5500,5.3900,5.4300,71537924,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-23,5.3800,5.4100,5.2200,5.2500,102242877,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-24,5.3000,5.3800,5.2500,5.3700,84007403,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-25,5.3800,5.5800,5.3200,5.5100,121933194,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-26,5.5000,5.7200,5.4800,5.6600,197304877,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-27,5.6000,5.7300,5.5100,5.7100,134510571,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-30,5.6500,5.6500,5.4000,5.5000,130404390,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-03-31,5.4600,5.5400,5.4000,5.4300,79211972,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-04-01,5.4700,5.5200,5.4100,5.4700,74441165,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-04-02,5.4700,5.5500,5.4300,5.5100,74296809,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-04-03,5.5100,5.5200,5.3900,5.4100,60004483,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-04-07,5.4000,5.4400,5.3500,5.4200,48705846,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
2026-04-08,5.4500,5.4800,5.3900,5.4800,63686853,sh.600023 | 浙能电力 | baostock | adjustflag=3 raw
