time,open,high,low,close,volume,note
2026-01-05,9.0800,9.1000,9.0300,9.1000,17518597,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-01-06,9.0900,9.1300,9.0800,9.1200,18614548,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-01-07,9.1400,9.1500,9.0800,9.0900,19655393,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-01-08,9.0900,9.1400,9.0700,9.1200,14239393,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-01-09,9.1200,9.1700,9.1000,9.1500,16936308,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-01-12,9.1500,9.2100,9.1400,9.2000,23104900,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-01-13,9.2000,9.2800,9.1600,9.2300,25223800,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-01-14,9.2300,9.2500,9.1300,9.1800,28893618,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-01-15,9.1500,9.2200,9.1400,9.1600,15478000,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-01-16,9.1800,9.2800,9.1500,9.1800,31476794,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-01-19,9.1800,9.2800,9.1700,9.2300,24593173,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-01-20,9.2300,9.3600,9.2100,9.3500,42231179,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-01-21,9.3300,9.3500,9.2000,9.2200,29942710,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-01-22,9.2100,9.2500,9.1600,9.1700,19316010,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-01-23,9.1700,9.1800,9.0800,9.1000,27240700,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-01-26,9.0900,9.1600,9.0500,9.1000,27365713,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-01-27,9.1100,9.1200,9.0200,9.0300,22797404,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
