time,open,high,low,close,volume,note
2026-01-05,11.8800,12.0700,11.5900,11.6900,65173372,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-01-06,11.6400,12.0300,11.6300,12.0000,51975242,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-01-07,12.1800,12.5500,11.9400,11.9900,50992778,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-01-08,12.5900,12.8800,12.4100,12.5400,76986908,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-01-09,12.9600,12.9700,12.5200,12.7100,63872274,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-01-12,12.8500,13.8700,12.8400,13.6300,95322738,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-01-13,13.7400,14.0000,13.4300,13.8100,73355539,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-01-14,14.2000,14.5900,13.8300,14.0000,77770627,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-01-15,13.9200,14.8500,13.8000,14.2900,63993037,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-01-16,14.0000,14.2000,13.8500,14.0300,57323715,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-01-19,14.0700,14.7500,14.0700,14.5700,50692125,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-01-20,14.7100,14.8500,14.1500,14.5400,45040353,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-01-21,14.3500,14.6800,14.2000,14.4200,35273720,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-01-22,14.4200,14.9100,14.3900,14.4200,35501823,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-01-23,14.3900,14.7800,14.1600,14.2800,57357209,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-01-26,14.6000,15.2500,14.5100,15.1700,84680703,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-01-27,15.1300,15.6900,14.9200,15.2800,66833025,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-01-28,15.5100,15.7100,15.1100,15.4500,71661916,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-01-29,15.7400,16.2300,15.6100,15.7200,77734213,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-01-30,15.8000,16.4400,15.3000,15.8000,68452518,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-02-02,15.6500,15.8600,14.9800,15.0300,70485766,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-02-03,15.4600,15.8900,15.1200,15.8700,64928915,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-02-04,16.0000,16.8000,15.8800,16.7600,72939676,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-02-05,16.6900,16.9500,15.9500,16.1600,58554538,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-02-06,15.9500,16.1100,15.7000,15.9700,41108645,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-02-09,16.3500,16.7300,16.2200,16.4300,52002962,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-02-10,16.4500,17.3000,16.0800,17.1400,58006339,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-02-11,17.1300,17.3000,16.8600,17.0300,34853121,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-02-12,17.4800,18.7300,17.2000,18.7300,87687085,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-02-13,18.4100,18.4500,16.9000,16.9500,104227261,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-02-24,18.6500,18.6500,18.3000,18.6500,86532560,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-02-25,19.4700,20.5200,19.3400,20.1500,150881386,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-02-26,20.2200,20.9400,19.8600,20.4400,111852709,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
2026-02-27,20.5000,21.2800,19.9900,20.5800,94315108,sh.600026 | 中远海能 | baostock | adjustflag=3 raw
