time,open,high,low,close,volume,note
2026-01-05,4.9700,5.0100,4.9500,5.0100,91639165,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-01-06,5.0100,5.0200,4.9900,5.0200,83062272,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-01-07,5.0200,5.0400,5.0000,5.0100,63028661,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-01-08,5.0100,5.0400,4.9900,5.0200,57354649,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-01-09,5.0200,5.0400,5.0100,5.0300,58906741,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-01-12,5.0400,5.0500,5.0100,5.0400,69002526,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-01-13,5.0500,5.0600,5.0200,5.0300,87068848,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-01-14,5.0400,5.0400,4.9800,4.9900,87720173,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-01-15,4.9900,4.9900,4.9600,4.9700,55507170,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-01-16,4.9800,5.0300,4.9600,4.9700,90510305,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-01-19,4.9700,5.0200,4.9600,4.9900,72497363,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-01-20,4.9900,5.0600,4.9800,5.0500,109570351,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-01-21,5.0400,5.0500,5.0000,5.0100,74964661,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-01-22,5.0200,5.0300,5.0000,5.0100,53940816,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-01-23,5.0100,5.0200,4.9900,5.0000,70137554,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-01-26,5.0000,5.0300,4.9800,5.0100,101020337,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-01-27,5.0200,5.0200,4.9400,4.9400,99075399,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-01-28,4.9400,4.9800,4.9100,4.9200,115580898,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-01-29,4.9200,4.9300,4.8300,4.9200,139351331,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-01-30,4.9000,4.9300,4.8600,4.9000,64639860,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
