time,open,high,low,close,volume,note
2026-01-05,6.2000,6.2500,5.9800,6.0900,222368832,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-01-06,6.1000,6.2200,6.0100,6.1800,173076403,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-01-07,6.1400,6.1900,6.0700,6.1000,142285977,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-01-08,6.1200,6.1300,6.0200,6.0700,106491135,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-01-09,6.6800,6.6800,6.1000,6.1600,689393530,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-01-12,6.1000,6.1000,5.9000,5.9700,426677033,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-01-13,5.9500,6.0200,5.9300,5.9700,250550702,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-01-14,5.9700,6.0200,5.9300,5.9700,252427837,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-01-15,5.9400,6.0100,5.9200,5.9500,186817390,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-01-16,5.9300,5.9500,5.8200,5.8400,216419112,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-01-19,5.8200,5.9400,5.8000,5.9300,194248992,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-01-20,5.9200,6.0500,5.9000,6.0100,227966061,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-01-21,6.0200,6.0300,5.9300,5.9600,204694995,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-01-22,5.9800,6.2200,5.9700,6.2100,449046105,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-01-23,6.2100,6.2800,6.1100,6.1500,258408858,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-01-26,6.1800,6.4700,6.1700,6.3800,432197509,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-01-27,6.3900,6.5200,6.3400,6.3700,262942713,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-01-28,6.4300,6.5800,6.3500,6.4000,484459904,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-01-29,6.4500,6.5200,6.2900,6.4400,441549534,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-01-30,6.4500,6.5900,6.3600,6.5100,307410985,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-02-02,6.4000,6.5700,6.3100,6.3800,287400006,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-02-03,6.3700,6.3900,6.2300,6.3000,200208026,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-02-04,6.3500,6.5400,6.3100,6.5000,244684603,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-02-05,6.5100,6.5700,6.3100,6.4000,216957947,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-02-06,6.3000,6.5200,6.3000,6.5000,221068123,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-02-09,6.5000,6.5800,6.4500,6.5000,162428940,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-02-10,6.5100,6.5500,6.4400,6.4600,164065582,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-02-11,6.4700,6.5500,6.4000,6.5400,166308498,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-02-12,6.5300,6.6800,6.4900,6.6000,186121497,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-02-13,6.5300,6.5500,6.3400,6.3700,231888770,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-02-24,6.4700,6.6400,6.4700,6.5800,237543720,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-02-25,6.5700,6.7000,6.5000,6.5200,238166297,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-02-26,6.5000,6.5700,6.4600,6.4900,135474175,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-02-27,6.5000,6.5300,6.4300,6.4600,105662274,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-02,6.8000,7.1100,6.5500,7.1100,1088572035,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-03,7.1500,7.8200,7.1500,7.8200,1502438208,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-04,8.1000,8.1100,7.0400,7.4000,1233814563,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-05,7.2500,7.3000,6.8600,7.0300,764715992,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-06,6.9400,7.0000,6.7400,6.8800,575186405,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-09,7.4500,7.4500,6.9400,7.0000,1077922429,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-10,6.5000,6.6200,6.4700,6.5600,642551270,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-11,6.5000,6.5400,6.4000,6.5100,460143279,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-12,6.5600,6.5900,6.4300,6.4600,490966843,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-13,6.4900,6.5100,6.3100,6.3300,475963392,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-16,6.3500,6.4100,6.3100,6.3300,286421510,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-17,6.3000,6.3000,6.2100,6.2500,316249240,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-18,6.2200,6.2200,6.0500,6.1200,313834473,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-19,6.2100,6.2900,6.1800,6.2800,411549740,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-20,6.1800,6.1800,6.0500,6.0800,289769841,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-03-23,6.0800,6.1100,5.9300,6.0400,337341359,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
