time,open,high,low,close,volume,note
2026-01-05,7.4400,7.5000,7.4300,7.4600,8026505,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-01-06,7.4700,7.5500,7.4500,7.5400,7956389,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-01-07,7.5600,7.5800,7.5100,7.5100,6904776,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-01-08,7.4900,7.5700,7.4700,7.5500,6706300,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-01-09,7.5800,7.6900,7.5300,7.6900,10400505,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-01-12,7.6900,7.7300,7.6100,7.7200,11461100,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-01-13,7.7200,7.7700,7.6400,7.7300,12802212,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-01-14,7.6700,7.8900,7.6700,7.7700,19439930,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-01-15,7.7300,7.8400,7.7300,7.8300,10275175,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-01-16,7.9000,8.0500,7.7300,7.7300,14036200,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-01-19,7.7000,7.9500,7.6800,7.9400,16121909,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-01-20,7.9600,8.0100,7.9000,8.0000,13743643,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-01-21,8.0000,8.0000,7.8800,7.9200,9958700,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-01-22,7.9200,7.9800,7.8600,7.9800,9412573,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-01-23,7.9800,8.1300,7.9800,8.1100,12788600,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-01-26,8.1000,8.1800,8.0100,8.0800,11690146,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-01-27,8.0800,8.0800,7.8600,8.0100,11765573,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-01-28,8.0100,8.0400,7.9200,7.9600,8427673,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-01-29,7.9600,8.0200,7.8800,7.9100,9147825,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-01-30,7.9000,7.9700,7.7200,7.8800,11278000,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-02-02,7.9000,8.0500,7.8000,7.8000,14168341,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-02-03,7.8300,7.9400,7.8100,7.9100,10274297,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-02-04,7.9100,8.1700,7.8800,8.0800,15107773,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-02-05,8.0800,8.1000,7.8500,7.9000,9709173,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-02-06,7.8700,8.0200,7.8300,7.9300,7766052,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-02-09,7.9700,8.0500,7.9400,8.0000,8139788,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-02-10,7.9900,8.0200,7.8600,7.8600,6212400,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-02-11,7.9200,8.0000,7.8700,7.8800,6233192,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-02-12,7.8900,7.9800,7.8600,7.9400,6982073,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-02-13,7.9500,7.9800,7.7800,7.7800,7656500,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-02-24,7.8500,8.1700,7.8100,8.1000,16682900,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-02-25,8.0800,8.1600,8.0600,8.0900,10289093,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-02-26,8.0800,8.1800,8.0700,8.1600,10400687,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-02-27,8.1300,8.3600,8.1200,8.3000,15377773,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-02,8.3000,8.4600,8.2200,8.3800,22360657,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-03,8.3500,8.4600,8.2500,8.3100,22638446,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-04,8.2500,8.4400,8.1900,8.3500,19913859,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-05,8.4100,8.4900,8.3200,8.3500,18870583,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-06,8.3300,8.5400,8.2700,8.4500,18128800,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-09,8.5000,8.6700,8.4900,8.6300,27145701,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-10,8.6000,8.7100,8.4500,8.6000,23195700,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-11,8.5900,9.1500,8.3900,9.1100,55106924,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-12,9.0200,9.4400,8.9200,9.2400,92704418,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-13,9.2400,9.2900,8.9200,8.9900,58647996,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-16,8.9600,9.0400,8.5800,8.6300,43859975,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-17,8.6300,9.4900,8.5000,9.2600,111439465,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-18,9.1800,9.4100,8.9500,9.0200,92476762,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-19,8.8800,9.6000,8.8800,9.2700,95087525,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-20,9.2800,10.1000,9.1600,9.7800,112763141,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-23,9.5300,10.7600,9.4500,10.7600,164813643,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-24,10.8400,11.8400,10.0600,11.8400,182237980,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-25,11.6500,13.0200,11.4000,13.0200,171721469,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-26,12.7700,14.1000,11.7200,12.6100,219181560,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-27,12.0700,12.3400,11.4800,11.7100,136207065,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-30,11.4500,11.7300,10.5400,10.6200,120734073,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-03-31,10.5600,10.6200,9.9700,9.9700,107929885,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-04-01,10.1000,10.1600,9.7100,9.8000,75652934,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-04-02,9.8000,9.8900,9.3400,9.3700,81073146,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-04-03,9.4100,9.4500,8.9100,8.9400,61223739,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-04-07,8.9400,9.1400,8.8400,9.0700,50416180,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-04-08,9.1500,9.2600,9.1000,9.1900,55814509,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-04-09,9.1100,9.1100,8.9100,8.9500,41656200,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-04-10,8.9600,9.0000,8.8700,8.9000,35811054,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-04-13,8.8900,9.7900,8.8500,9.7900,105747605,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-04-14,9.8900,10.1600,9.7100,9.8000,123166560,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-04-15,9.7800,9.8500,9.5100,9.6600,81478302,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-04-16,9.6100,9.9400,9.5100,9.8400,65620944,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-04-17,9.7000,10.1600,9.6000,9.7500,63662660,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-04-20,9.7000,9.9300,9.6000,9.8700,66500938,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-04-21,9.9600,10.8600,9.5100,10.8600,117377146,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-04-22,10.9600,11.7700,10.9500,11.3500,175002725,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-04-23,11.2800,12.4000,10.7500,12.0400,160362088,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-04-24,11.5700,11.6700,10.8500,10.8500,111400859,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-04-27,10.7400,11.2500,10.3800,10.8700,78078575,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-04-28,10.3200,10.8500,10.2100,10.5100,86586611,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-04-29,10.2700,10.5000,10.1300,10.3000,59654455,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-04-30,10.4000,10.4700,9.8400,9.8700,65981198,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-05-06,9.9800,10.5000,9.9500,10.4600,68030678,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-05-07,10.4600,10.6800,10.3800,10.5700,64712905,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-05-08,10.5500,11.0400,10.3300,10.4000,65513699,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-05-11,10.5000,10.7500,10.3500,10.6900,68606601,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-05-12,10.6300,11.4500,10.3000,11.4400,128153653,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-05-13,11.3000,12.2500,11.0600,11.4400,131118378,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-05-14,11.2900,11.7000,10.6700,10.7100,93867543,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-05-15,10.6100,10.7300,10.1000,10.1900,65538469,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-05-18,10.0000,11.2100,9.9800,11.2100,115400724,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-05-19,11.0300,11.5900,10.8800,11.4100,119099589,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-05-20,11.4200,11.4300,10.5000,10.5500,78439295,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-05-21,10.5500,11.5900,10.4500,10.9500,106204925,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-05-22,10.5500,10.6600,10.0900,10.3200,84930229,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-05-25,10.2200,10.4300,9.6300,9.9300,85016716,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-05-26,9.6800,9.7400,9.1000,9.2900,64392221,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-05-27,9.2500,9.6600,9.0500,9.4500,60139490,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-05-28,9.4100,10.4000,9.2300,10.4000,80325077,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-05-29,10.6100,11.2200,10.5800,10.6100,123893200,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-06-01,10.8000,10.8300,10.1100,10.6700,81111620,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-06-02,10.6100,11.1300,10.1800,10.9200,97893957,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-06-03,10.7500,11.4300,10.6000,11.4300,116126948,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-06-04,11.1000,11.4500,10.7900,10.8700,74291463,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-06-05,10.9300,11.2200,10.2300,10.2900,66021781,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-06-08,9.9000,10.2300,9.3300,9.4800,56942039,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
2026-06-09,9.7300,9.8800,9.2100,9.5500,46351762,sh.600032 | 浙江新能 | baostock | adjustflag=3 raw
