time,open,high,low,close,volume,note
2026-01-05,4.1300,4.1700,4.0400,4.0600,61078256,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-01-06,4.0400,4.0800,4.0300,4.0600,57787920,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-01-07,4.0700,4.1700,4.0500,4.1100,67823611,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-01-08,4.1200,4.1500,4.0700,4.0800,50337360,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-01-09,4.0700,4.0900,4.0300,4.0600,54213494,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-01-12,4.0400,4.0500,3.9800,4.0100,81061325,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-01-13,3.9900,4.0000,3.8700,3.8800,80543586,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-01-14,3.8700,3.9100,3.7900,3.8200,73275759,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-01-15,3.8200,3.8600,3.7800,3.8100,37674865,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-01-16,3.8200,3.8300,3.7500,3.7600,35100201,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-01-19,3.7700,3.8500,3.7600,3.8400,42361815,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-01-20,3.8400,3.8400,3.7700,3.8300,35871959,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-01-21,3.8100,3.8300,3.7800,3.7900,31496890,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-01-22,3.7900,3.8200,3.7800,3.8100,36317758,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-01-23,3.8100,3.8400,3.8000,3.8300,41828014,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-01-26,3.8300,3.8400,3.7700,3.7800,45005351,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-01-27,3.7800,3.7900,3.7100,3.7600,38183112,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-01-28,3.7500,3.8100,3.7500,3.7800,37048489,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-01-29,3.7800,3.8000,3.7400,3.7800,35306430,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-01-30,3.7700,3.8300,3.7600,3.8200,54252052,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-02-02,3.8100,3.8400,3.7300,3.7400,42198117,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-02-03,3.7500,3.7800,3.7300,3.7700,25428525,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-02-04,3.7600,3.8500,3.7500,3.8400,52004853,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-02-05,3.8600,3.9900,3.8600,3.9000,82678852,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-02-06,3.8800,3.8900,3.8000,3.8200,52988745,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-02-09,3.8400,3.8700,3.8200,3.8400,35677657,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-02-10,3.8400,3.8500,3.8000,3.8400,25600614,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-02-11,3.8300,3.8500,3.8200,3.8300,18633836,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-02-12,3.8300,3.8300,3.7600,3.7700,37995908,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-02-13,3.7800,3.7800,3.7100,3.7200,28064588,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-02-24,3.7400,3.7700,3.7300,3.7600,23087752,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-02-25,3.7600,3.8400,3.7500,3.7800,35790929,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-02-26,3.7900,3.8100,3.7400,3.7600,35762428,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-02-27,3.7600,3.8200,3.7500,3.8100,34219354,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-02,3.7700,3.8000,3.7400,3.7800,38913216,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-03,3.7800,3.8300,3.7800,3.8000,62136498,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-04,3.7800,3.8000,3.6600,3.7400,67354523,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-05,3.7500,3.7700,3.7200,3.7400,33911353,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-06,3.7300,3.8100,3.7200,3.8100,36895618,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-09,3.7700,3.8100,3.7500,3.7600,33220803,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-10,3.7700,3.7900,3.7600,3.7700,27268749,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-11,3.7800,3.8200,3.7500,3.8100,46803532,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-12,3.8000,3.8800,3.8000,3.8600,60793840,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-13,3.8600,3.8800,3.8200,3.8400,47856670,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-16,3.8400,3.8600,3.8100,3.8600,38840000,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-17,3.8500,3.8900,3.8200,3.8300,34938191,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-18,3.8300,3.8300,3.7500,3.7900,35399968,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-19,3.7700,3.8100,3.7500,3.7600,33949800,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-20,3.7500,3.7900,3.7100,3.7100,32184200,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-23,3.6900,3.7000,3.4600,3.4900,55522600,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-24,3.5300,3.6500,3.5200,3.6400,42915211,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-25,3.6400,3.8700,3.6200,3.8500,60966057,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-26,3.8000,3.8500,3.7500,3.7600,40198996,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-27,3.7200,3.7700,3.6800,3.7000,34008500,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-30,3.6600,3.8300,3.6100,3.8200,60417655,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-03-31,3.8000,3.9000,3.7700,3.8400,64033482,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-04-01,3.8100,3.8800,3.7600,3.7800,39480876,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-04-02,3.7600,3.8200,3.7500,3.7700,30476400,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-04-03,3.7800,3.7900,3.6600,3.7000,28486077,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-04-07,3.6900,3.7300,3.6700,3.7000,21818105,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-04-08,3.7300,3.8000,3.7200,3.8000,32887083,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-04-09,3.7800,3.7800,3.6800,3.7000,33575400,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-04-10,3.7100,3.7300,3.6800,3.6900,30526400,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-04-13,3.7400,3.7600,3.6500,3.6600,31850350,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-04-14,3.6600,3.6700,3.6100,3.6300,26314450,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-04-15,3.6400,3.6800,3.6200,3.6600,21267101,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-04-16,3.6600,3.6900,3.6500,3.6900,21390869,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-04-17,3.6800,3.7200,3.6700,3.7000,24373185,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-04-20,3.7200,3.7300,3.6400,3.6500,32399859,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-04-21,3.6500,3.6800,3.6300,3.6500,21982375,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-04-22,3.6500,3.6600,3.6300,3.6500,12748750,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-04-23,3.6400,3.6500,3.6100,3.6400,19540815,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-04-24,3.6400,3.6500,3.5900,3.6100,21009300,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-04-27,3.5900,3.6200,3.5700,3.5900,18956547,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-04-28,3.5900,3.6600,3.5800,3.6500,23367702,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-04-29,3.6400,3.6700,3.6300,3.6500,19583450,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-04-30,3.6500,3.6700,3.6200,3.6400,21056346,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-05-06,3.6500,3.6600,3.6200,3.6300,22129400,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-05-07,3.6300,3.6400,3.6200,3.6300,15621890,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-05-08,3.6300,3.6800,3.6200,3.6600,30419764,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-05-11,3.6600,3.6700,3.6300,3.6600,23001520,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-05-12,3.6700,3.6900,3.6400,3.6500,22957164,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-05-13,3.6500,3.6600,3.6300,3.6500,19183926,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-05-14,3.6600,3.6600,3.6000,3.6000,21152667,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-05-15,3.6000,3.6100,3.5300,3.5400,24604117,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-05-18,3.5400,3.5500,3.5200,3.5400,16711150,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-05-19,3.5400,3.5900,3.5300,3.5800,20561901,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-05-20,3.5800,3.5800,3.5200,3.5500,18304600,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-05-21,3.5500,3.6200,3.5500,3.5600,27309187,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-05-22,3.5700,3.5800,3.5300,3.5400,18102480,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-05-25,3.5400,3.5600,3.5100,3.5300,16757180,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-05-26,3.5300,3.5500,3.5100,3.5300,14026305,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-05-27,3.5200,3.5500,3.4800,3.5200,20434100,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-05-28,3.5200,3.5600,3.5000,3.5100,22999654,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-05-29,3.5100,3.6400,3.5100,3.6200,43103100,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
2026-06-01,3.6200,3.6600,3.5700,3.6500,28580450,sh.600033 | 福建高速 | baostock | adjustflag=3 raw
