time,open,high,low,close,volume,note
2026-01-05,3.8900,3.9100,3.8800,3.9100,10020913,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-01-06,3.9100,3.9300,3.9000,3.9300,9659196,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-01-07,3.9300,3.9400,3.9100,3.9200,8474660,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-01-08,3.9200,3.9300,3.9100,3.9200,6856288,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-01-09,3.9200,3.9400,3.9100,3.9300,7675156,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-01-12,3.9300,3.9400,3.9200,3.9400,9405974,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-01-13,3.9500,3.9600,3.9300,3.9400,11296464,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-01-14,3.9500,3.9600,3.9100,3.9300,16890491,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-01-15,3.9300,3.9400,3.9000,3.9200,8165237,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-01-16,3.9300,3.9300,3.9000,3.9200,7739300,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-01-19,3.9100,3.9400,3.9100,3.9300,6630656,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-01-20,3.9300,3.9800,3.9200,3.9800,13870652,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-01-21,3.9700,3.9800,3.9500,3.9800,12120693,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-01-22,3.9900,4.0100,3.9700,4.0100,8623988,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-01-23,4.0100,4.0200,3.9800,3.9900,9787200,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-01-26,4.0000,4.0100,3.9800,4.0000,14032448,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-01-27,3.9900,4.0000,3.9400,3.9600,12493725,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-01-28,3.9600,4.0100,3.9600,4.0000,13380650,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-01-29,3.9900,3.9900,3.9500,3.9700,12173584,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-01-30,3.9700,4.0200,3.9600,3.9800,16774520,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-02-02,3.9900,3.9900,3.9200,3.9200,15816256,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-02-03,3.9300,3.9500,3.8900,3.9200,12625614,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-02-04,3.9100,3.9700,3.9100,3.9700,16535810,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-02-05,3.9700,3.9800,3.9500,3.9700,13070802,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-02-06,3.9600,3.9900,3.9400,3.9500,12863600,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-02-09,3.9600,3.9900,3.9600,3.9700,10087640,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-02-10,3.9800,3.9800,3.9600,3.9700,6252000,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-02-11,3.9700,3.9800,3.9500,3.9700,7012620,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-02-12,3.9800,3.9900,3.9300,3.9400,11829000,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-02-13,3.9400,3.9500,3.9100,3.9100,7887200,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-02-24,3.9300,3.9800,3.9200,3.9700,15007744,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-02-25,3.9800,4.0200,3.9700,4.0000,14435300,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-02-26,4.0000,4.0100,3.9700,3.9900,8182637,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-02-27,3.9900,4.0500,3.9800,4.0500,16021718,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-02,4.0300,4.0500,3.9900,4.0200,15335322,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-03,4.0100,4.0500,3.9900,4.0100,19212499,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-04,3.9900,3.9900,3.9200,3.9400,20852917,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-05,3.9600,3.9800,3.9400,3.9500,11922296,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-06,3.9500,4.0000,3.9400,4.0000,12534200,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-09,3.9900,4.0200,3.9600,3.9800,17123671,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-10,3.9900,4.0000,3.9600,3.9800,8700700,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-11,3.9800,4.0100,3.9500,4.0000,11811456,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-12,3.9900,4.0500,3.9900,4.0300,17972456,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-13,4.0300,4.0500,4.0100,4.0200,17257964,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-16,4.0200,4.0500,4.0000,4.0200,12826184,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-17,4.0200,4.0500,4.0100,4.0200,12419200,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-18,4.0300,4.0400,3.9400,3.9800,16795356,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-19,3.9600,4.0000,3.9500,3.9600,11947381,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-20,3.9700,3.9800,3.9200,3.9200,12584930,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-23,3.9000,3.9100,3.7000,3.7200,24938442,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-24,3.7500,3.8100,3.7300,3.8000,10645806,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-25,3.8000,3.9100,3.7800,3.9100,19651364,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-26,3.9000,3.9200,3.8800,3.8900,12815801,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-27,3.8700,3.8900,3.8200,3.8500,19210600,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-30,3.8200,3.8700,3.7700,3.8700,14491697,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-03-31,3.8600,3.9200,3.8500,3.8600,11055478,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-04-01,3.8800,3.9000,3.8600,3.9000,9775916,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-04-02,3.8900,3.9100,3.8700,3.8800,7765356,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-04-03,3.8800,3.8800,3.7900,3.8100,9071700,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-04-07,3.8100,3.8100,3.7700,3.7900,9876400,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-04-08,3.8200,3.8600,3.8100,3.8600,13465611,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-04-09,3.8500,3.8600,3.7800,3.8000,8873400,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-04-10,3.8100,3.8400,3.8000,3.8100,6305344,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-04-13,3.8000,3.8100,3.7600,3.7900,7798400,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-04-14,3.7900,3.8200,3.7800,3.8100,7726792,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-04-15,3.8100,3.8200,3.7900,3.8100,7747389,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-04-16,3.8200,3.8200,3.7900,3.8100,7158084,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-04-17,3.8100,3.8200,3.7800,3.8100,8669243,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-04-20,3.8100,3.8200,3.7900,3.8100,4680320,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-04-21,3.8100,3.8400,3.8000,3.8300,9434442,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-04-22,3.8300,3.8700,3.8200,3.8600,8052002,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-04-23,3.8300,3.8300,3.7800,3.8000,13299840,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-04-24,3.8000,3.8100,3.7800,3.7800,7659032,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
