time,open,high,low,close,volume,note
2010-01-04,17.9300,18.1100,17.6600,17.7100,74613558,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-01-05,17.7100,18.0000,17.3400,17.7300,91401373,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-01-06,17.6900,17.6900,17.3100,17.3600,77427706,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-01-07,17.3300,17.4300,16.7800,16.9100,101943196,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-01-08,16.8800,16.9800,16.6800,16.9100,80359862,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-01-11,17.8800,17.9100,16.8000,16.9400,146569250,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-01-12,16.8800,17.1700,16.4500,17.0700,112189832,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-01-13,16.5200,16.7000,15.9700,16.1500,205223276,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-01-14,16.2000,16.3500,15.9500,16.3300,124717572,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-01-15,16.2700,16.4600,16.0300,16.3100,87302199,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-01-18,16.1000,16.2900,15.9900,16.1800,96022634,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-01-19,16.2200,16.4000,16.1600,16.2500,98444269,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-01-20,16.2900,16.3100,15.8200,15.8600,107880628,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-01-21,15.8800,16.3000,15.8000,16.1500,91285813,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-01-22,16.0000,16.8500,15.9500,16.6700,194447102,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-01-25,16.3900,16.7900,16.1500,16.2300,95604860,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-01-26,16.2300,16.3600,15.9000,16.0900,97364890,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-01-27,16.1100,16.1700,15.4000,15.4400,141106541,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-01-28,15.4300,15.4300,14.9800,15.1300,111465663,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-01-29,15.0000,15.5000,14.9400,15.1700,92338067,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-02-01,15.1900,15.4200,14.8600,15.2900,87195690,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-02-02,15.4000,15.8800,15.3100,15.6300,112323804,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-02-03,15.6600,16.0900,15.3900,15.9900,98754882,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-02-04,15.8000,16.0500,15.7600,15.8500,50717779,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-02-05,15.6000,15.7400,15.2900,15.4800,55600840,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-02-08,15.4800,15.6000,15.0800,15.1300,53513964,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-02-09,15.1500,15.3900,15.1100,15.3100,42953660,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-02-10,15.4200,15.6000,15.3500,15.5300,42895905,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-02-11,15.5800,15.7100,15.4900,15.5600,38843244,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-02-12,15.6600,15.8100,15.6100,15.7800,39007663,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-02-22,15.7000,15.9500,15.5300,15.7300,37512236,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-02-23,15.6900,15.6900,15.2100,15.4600,47983122,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-02-24,15.2700,15.5600,15.2000,15.5500,40697391,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-02-25,15.5500,16.0500,15.5300,15.8600,70446388,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-02-26,15.8000,16.0300,15.7100,15.9000,49214521,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-03-01,15.9500,16.3500,15.9000,16.3000,81300926,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-03-02,16.4000,16.5500,16.3000,16.4600,109780837,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-03-03,16.4600,16.5000,16.2500,16.4900,70933393,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-03-04,16.5000,16.5600,16.0100,16.1200,85453648,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-03-15,15.3100,15.3800,14.8000,14.8900,65556181,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-03-16,14.8900,15.4000,14.8000,15.3700,65194813,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-03-17,15.3200,15.7400,15.2000,15.6500,60533987,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-03-18,15.6500,15.7700,15.4700,15.5300,54236414,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-03-19,15.4900,15.6200,15.3600,15.5300,47502336,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-03-22,15.5300,15.9700,15.5100,15.6700,65221448,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-03-23,15.7100,15.8600,15.5000,15.5700,48147797,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-03-24,15.6100,15.8100,15.5500,15.5700,47651403,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-03-25,15.5300,15.5400,15.2900,15.4300,38945883,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
2010-03-26,15.3800,15.9800,15.3400,15.7400,79833017,sh.600036 | 招商银行 | baostock | adjustflag=3 raw
