time,open,high,low,close,volume,note
2026-01-05,7.3100,7.3900,7.2800,7.3800,19015717,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-01-06,7.3800,7.4800,7.3600,7.4600,15575807,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-01-07,7.4600,7.5600,7.4400,7.4700,16752680,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-01-08,7.5000,7.6300,7.4700,7.6300,17333119,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-01-09,7.7300,7.9400,7.7200,7.9100,38793106,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-01-12,8.0500,8.1300,7.9600,8.0600,47264350,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-01-13,8.1400,8.2500,7.9600,8.1100,44342211,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-01-14,8.0600,8.3300,8.0200,8.1200,39949713,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-01-15,8.0600,8.1700,8.0000,8.1000,25748293,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-01-16,8.1100,8.1100,7.7800,7.8400,26458702,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-01-19,7.8200,7.8800,7.7200,7.8000,17044303,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-01-20,7.8300,7.8800,7.7600,7.8100,17992100,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-01-21,7.7800,7.8700,7.7400,7.7700,15250600,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-01-22,7.7700,7.8600,7.7500,7.8100,17005884,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-01-23,7.8400,8.1200,7.8100,8.0500,30389587,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-01-26,8.1300,8.2200,7.9600,8.1200,33919824,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-01-27,8.0800,8.1800,8.0000,8.0300,30676147,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
