time,open,high,low,close,volume,note
2026-01-05,6.1100,6.3800,6.1000,6.3200,251858719,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-01-06,6.3000,6.5500,6.2800,6.4800,248151525,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-01-07,6.4700,6.5100,6.3800,6.3900,142852922,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-01-08,6.3800,6.6400,6.3400,6.5900,225580415,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-01-09,6.5700,6.6300,6.4900,6.5700,171997221,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-01-12,6.5200,6.5800,6.4900,6.5100,149782242,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-01-13,6.5100,6.6100,6.4600,6.4700,169011206,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-01-14,6.4500,6.5300,6.2700,6.2900,254157348,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-01-15,6.3300,6.5200,6.3200,6.3900,222547330,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-01-16,6.4200,6.4400,6.2100,6.2300,195001296,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-01-19,6.2100,6.3000,6.1600,6.2600,120088421,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-01-20,6.2900,6.6800,6.2800,6.5300,420305377,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-01-21,6.5100,6.5700,6.4300,6.5000,210906391,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-01-22,6.5100,6.6500,6.4200,6.5800,520200411,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-01-23,6.5600,6.7400,6.5100,6.7100,368266073,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-01-26,6.6600,6.7600,6.6200,6.6500,240396199,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-01-27,6.6600,6.7000,6.5400,6.6000,193873529,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
