time,open,high,low,close,volume,note
2026-01-05,5.1300,5.1600,5.1100,5.1600,191928834,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-01-06,5.1500,5.2300,5.1400,5.2200,211698652,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-01-07,5.2200,5.2200,5.1500,5.1600,178337340,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-01-08,5.1500,5.3300,5.1300,5.2500,372748791,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-01-09,5.2200,5.4900,5.2200,5.4200,652641848,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-01-12,5.4200,5.5300,5.4200,5.4900,647253805,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-01-13,5.4800,5.4900,5.3500,5.3700,470429945,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-01-14,5.3500,5.4500,5.3100,5.3400,361016079,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-01-15,5.3100,5.3300,5.2200,5.2400,308739876,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-01-16,5.2500,5.2700,5.1300,5.1500,310335546,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-01-19,5.1300,5.1800,5.1100,5.1500,226863652,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-01-20,5.1500,5.1500,5.1100,5.1400,232900137,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-01-21,5.1300,5.1400,5.0700,5.0800,332315068,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-01-22,5.0900,5.1300,5.0800,5.0900,252436649,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-01-23,5.1000,5.1300,5.0900,5.1200,274643660,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-01-26,5.1200,5.1600,5.0900,5.1000,297444744,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-01-27,5.1000,5.1100,5.0600,5.0700,245851451,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-01-28,5.0800,5.2100,5.0800,5.1500,561519220,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-01-29,5.1300,5.1700,5.1000,5.1500,360980688,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-01-30,5.1200,5.1700,5.0700,5.1100,266514038,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-02-02,4.9900,5.0000,4.8300,4.8300,557781622,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-02-03,4.8600,4.8700,4.7800,4.8100,255973854,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-02-04,4.8000,4.8700,4.7800,4.8700,207291783,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-02-05,4.8500,4.8900,4.8400,4.8800,186991760,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-02-06,4.8600,4.8700,4.8300,4.8400,146099461,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-02-09,4.8600,4.8700,4.8400,4.8600,135095774,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-02-10,4.8600,4.8800,4.8400,4.8700,145114727,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-02-11,4.8700,4.8900,4.8500,4.8600,109463571,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-02-12,4.8700,4.8800,4.8300,4.8400,140224151,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-02-13,4.8400,4.8600,4.8000,4.8000,156700174,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-02-24,4.8300,4.8600,4.8100,4.8500,134095799,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-02-25,4.8500,4.9300,4.8500,4.8800,213007849,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-02-26,4.8900,4.9100,4.8500,4.8800,156115374,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-02-27,4.8700,4.9200,4.8600,4.9200,161645276,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-02,4.8800,4.9500,4.8600,4.9300,230097379,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-03,4.9200,4.9700,4.8800,4.8900,295678881,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-04,4.8600,4.8800,4.8000,4.8500,263651267,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-05,4.8600,4.9800,4.8500,4.9500,288743327,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-06,4.9400,4.9700,4.9100,4.9700,153695723,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-09,4.9200,4.9900,4.8900,4.9700,217584581,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-10,4.9900,4.9900,4.9300,4.9600,158516598,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-11,4.9600,5.0500,4.9500,5.0400,238923257,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-12,5.0300,5.0400,4.9900,5.0300,152199928,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-13,5.0100,5.1200,5.0000,5.0700,316728173,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-16,5.0900,5.0900,5.0200,5.0300,187990324,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-17,5.0400,5.0600,4.9700,4.9800,195932207,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-18,4.9900,5.0000,4.9300,4.9800,169639264,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-19,4.9500,5.0000,4.9400,4.9600,181256395,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-20,4.9200,4.9200,4.6800,4.6900,557236648,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-23,4.6400,4.6400,4.4400,4.4700,337792636,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-24,4.4900,4.5500,4.4500,4.5400,178549694,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-25,4.5300,4.5700,4.5200,4.5500,156930742,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-26,4.5400,4.5600,4.4800,4.4900,131360015,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-27,4.4600,4.5000,4.4400,4.4900,111324874,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-30,4.4500,4.4700,4.3800,4.4600,166228001,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-03-31,4.4500,4.5300,4.4400,4.4500,146713670,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-04-01,4.5000,4.5100,4.4700,4.4800,113110847,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-04-02,4.4700,4.4800,4.4100,4.4300,121358547,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-04-03,4.4300,4.4800,4.4300,4.4600,142470095,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-04-07,4.4700,4.4900,4.4600,4.4700,84765675,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-04-08,4.5000,4.5700,4.5000,4.5700,189336780,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-04-09,4.5500,4.5500,4.5000,4.5200,108187128,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-04-10,4.5300,4.5900,4.5200,4.5600,131507889,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-04-13,4.5500,4.5700,4.5300,4.5600,86278614,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-04-14,4.5600,4.5800,4.5500,4.5800,92171092,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-04-15,4.5800,4.6000,4.5700,4.5700,119352237,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-04-16,4.5800,4.6000,4.5500,4.6000,139907471,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-04-17,4.6000,4.7000,4.5900,4.6400,232597084,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-04-20,4.6300,4.6400,4.5900,4.5900,148318438,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-04-21,4.5800,4.6600,4.5700,4.6600,150642611,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-04-22,4.5900,4.6000,4.4900,4.5000,343073638,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-04-23,4.5000,4.5100,4.4700,4.5000,167789336,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-04-24,4.4900,4.5000,4.4700,4.4900,113065357,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-04-27,4.4800,4.5100,4.4600,4.5000,112349808,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-04-28,4.5000,4.5500,4.4800,4.5300,147176865,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-04-29,4.5200,4.5500,4.5100,4.5400,146527193,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-04-30,4.5300,4.5700,4.5200,4.5200,138403543,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-05-06,4.5300,4.5400,4.4400,4.4500,266705592,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-05-07,4.4600,4.5000,4.4400,4.4900,190977714,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-05-08,4.4700,4.5500,4.4700,4.5200,173175421,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-05-11,4.5200,4.7500,4.4600,4.7200,542095799,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-05-12,4.6800,4.7300,4.6200,4.6400,276714861,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-05-13,4.6400,4.8100,4.5800,4.7400,435165511,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-05-14,4.7300,4.7800,4.6800,4.7200,284367479,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-05-15,4.7200,4.7700,4.6300,4.6600,229518933,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-05-18,4.7700,5.0000,4.7600,4.9200,672445045,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-05-19,4.8700,5.1100,4.8200,4.9500,644024841,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-05-20,4.9000,4.9000,4.7200,4.7400,376646575,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-05-21,4.7500,4.7600,4.5400,4.5500,401860661,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-05-22,4.5500,4.5600,4.4200,4.4600,392295258,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-05-25,4.4500,4.4700,4.4300,4.4600,186587585,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-05-26,4.4500,4.4800,4.4200,4.4500,177715441,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
2026-05-27,4.4400,4.4500,4.3200,4.3800,275758524,sh.600050 | 中国联通 | baostock | adjustflag=3 raw
