time,open,high,low,close,volume,note
2026-01-05,7.5400,7.6600,7.4900,7.5800,6025200,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-01-06,7.6300,7.7000,7.5300,7.6100,5498100,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-01-07,7.6300,7.6500,7.4900,7.5000,5272156,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-01-08,7.5100,7.6000,7.4400,7.5900,5569400,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-01-09,7.5900,7.6100,7.5100,7.5800,6446200,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-01-12,7.6100,7.6600,7.5600,7.6300,5594768,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-01-13,7.6600,7.7500,7.5900,7.6700,8595600,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-01-14,7.6700,7.7400,7.5200,7.6400,8116741,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-01-15,7.6000,7.7000,7.5600,7.6500,6217996,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-01-16,7.6800,7.7000,7.5700,7.6400,5783244,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-01-19,7.6400,7.8100,7.6000,7.8100,6719200,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-01-20,7.8200,7.8700,7.7800,7.8500,6231200,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-01-21,7.7900,7.8800,7.7600,7.8800,5340900,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-01-22,7.8900,8.0200,7.8800,8.0000,5937400,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-01-23,8.0500,8.0500,7.9200,7.9700,4586901,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-01-26,7.9800,8.0200,7.8700,7.9500,7027996,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-01-27,7.9500,7.9600,7.7200,7.9000,6836696,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-01-28,7.9000,7.9800,7.8600,7.9000,4887796,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-01-29,7.8600,7.9500,7.7800,7.8600,5586700,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-01-30,7.8600,7.9800,7.8000,7.9700,7198300,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-02-02,7.9100,8.0300,7.8100,7.8200,9406729,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-02-03,7.9000,7.9700,7.8200,7.9500,6812269,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-02-04,7.9800,8.1000,7.9100,8.0900,7788800,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-02-05,8.1000,8.1200,8.0400,8.0500,5174360,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-02-06,8.0500,8.1600,8.0100,8.1200,5384741,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-02-09,8.1300,8.2100,8.1100,8.1700,5871512,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-02-10,8.1800,8.2200,8.1100,8.1700,5074500,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-02-11,8.1700,8.1700,8.0800,8.1000,5451700,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-02-12,8.1200,8.1200,7.9600,7.9800,4901700,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-02-13,8.0100,8.1100,7.9700,8.0200,5180032,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-02-24,8.0600,8.2000,8.0100,8.2000,7114029,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-02-25,8.2100,8.3300,8.1600,8.1900,7539262,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-02-26,8.1900,8.2200,8.0900,8.1300,4685600,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-02-27,8.1300,8.2000,8.0900,8.1800,4475800,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-03-02,8.0700,8.1900,7.9300,8.0100,7152631,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-03-03,8.0300,8.1300,7.9000,7.9000,6954830,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-03-04,7.8500,7.9400,7.7600,7.7900,7231200,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
