time,open,high,low,close,volume,note
2026-01-05,4.7100,4.7600,4.6600,4.7500,13342900,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-01-06,4.7500,4.8500,4.7300,4.7600,12779800,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-01-07,4.7600,4.8200,4.6900,4.7100,12837601,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-01-08,4.6900,4.7500,4.6800,4.7300,10294100,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-01-09,4.7300,4.7500,4.6700,4.7200,10691100,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-01-12,4.7300,4.8300,4.7200,4.7800,19442640,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-01-13,4.7700,4.8500,4.7400,4.8000,28780800,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-01-14,4.8000,4.8500,4.6700,4.6900,26262202,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-01-15,4.7100,4.7200,4.5800,4.5800,15880200,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-01-16,4.5900,4.6200,4.5400,4.5400,13389410,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-01-19,4.5300,4.6800,4.5300,4.6700,12293885,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-01-20,4.6800,4.8100,4.6500,4.6900,14624300,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-01-21,4.6500,4.7900,4.6100,4.7300,12218964,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-01-22,4.7500,4.7600,4.6800,4.7500,9694300,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-01-23,4.7400,4.9700,4.7100,4.9700,32689600,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-01-26,4.9800,4.9900,4.7800,4.8300,19236816,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-01-27,4.8200,4.8500,4.6400,4.7600,17140700,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-01-28,4.7300,4.8200,4.7000,4.7300,12277000,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-01-29,4.7400,4.8400,4.6800,4.7400,18038000,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-01-30,4.7100,4.8300,4.6300,4.7800,19520102,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-02-02,4.6500,4.7800,4.5500,4.5500,22597897,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-02-03,4.5500,4.6100,4.4900,4.5300,15435200,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-02-04,4.5500,4.6300,4.5000,4.6100,13963015,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-02-05,4.6000,4.6500,4.5400,4.5500,10782800,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-02-06,4.5400,4.6200,4.5100,4.5400,14404510,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-02-09,4.5700,4.6600,4.5500,4.6000,13162708,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-02-10,4.5900,4.9000,4.5400,4.8200,37793709,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-02-11,4.8200,4.8400,4.6900,4.7200,16640900,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-02-12,4.7900,4.8600,4.6700,4.7100,27738500,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-02-13,4.7100,4.7400,4.5600,4.5800,17221900,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-02-24,4.5800,4.6200,4.5400,4.5500,17294300,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-02-25,4.5500,4.6600,4.5500,4.6000,15773407,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-02-26,4.6000,4.6000,4.4900,4.5300,20235200,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-02-27,4.5200,4.5500,4.4900,4.5500,11438100,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-02,4.4900,4.4900,4.2900,4.3300,21762900,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-03,4.3300,4.4000,4.2500,4.2600,14062062,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-04,4.2200,4.2800,4.1800,4.2200,10554890,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-05,4.2800,4.3400,4.2000,4.3300,19101645,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-06,4.3200,4.3700,4.2800,4.3400,9994500,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-03-09,4.3000,4.3400,4.2600,4.2900,10156300,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
