time,open,high,low,close,volume,note
2026-01-05,11.3200,11.4300,11.3100,11.4200,6535100,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-01-06,11.4200,11.4600,11.3800,11.4600,6009027,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-01-07,11.4700,11.5400,11.4200,11.4700,6091003,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-01-08,11.4300,11.4500,11.3700,11.4300,4366249,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-01-09,11.4500,11.4800,11.3900,11.4400,4550699,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-01-12,11.4500,11.4900,11.4400,11.4900,6003585,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-01-13,11.4900,11.5800,11.4400,11.4600,7486985,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-01-14,11.4500,11.5900,11.4400,11.5900,9964030,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-01-15,11.6300,11.9000,11.5200,11.8500,20377491,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-01-16,11.7200,11.8000,11.6300,11.7000,9480834,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-01-19,11.6600,11.9800,11.6500,11.9300,14476005,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-01-20,11.9200,12.1800,11.8000,12.1000,15254800,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-01-21,11.9600,11.9900,11.8300,11.9400,7634064,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-01-22,11.9000,12.0800,11.8600,11.9300,7757998,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-01-23,11.9500,11.9600,11.8100,11.8900,7257299,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-01-26,11.8900,11.9900,11.7000,11.8700,9672231,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-01-27,11.8700,12.1100,11.6800,11.7500,11587598,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-01-28,11.7300,11.9800,11.6800,11.8900,8361599,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-01-29,11.8200,12.3800,11.8200,12.2600,20677225,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-01-30,12.2200,13.4000,12.2200,12.7500,39697298,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-02-02,12.7100,13.5000,12.5000,13.1700,37247014,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-02-03,13.0400,13.3800,12.9700,13.2600,19201015,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-02-04,13.2000,13.7400,13.1400,13.5500,21720109,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-02-05,13.4800,14.7600,13.4200,14.3900,38734721,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-02-06,14.1900,14.1900,13.4200,13.6700,32644012,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-02-09,13.6900,13.7300,13.3400,13.4700,18511547,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-02-10,13.5000,13.5500,13.0000,13.3600,15944390,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-02-11,13.2500,13.4200,12.8900,13.2400,13886600,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-02-12,13.1500,13.2300,12.8600,12.9400,11724226,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-02-13,13.0500,13.1600,12.9300,12.9800,8589497,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-02-24,12.9700,12.9900,12.4700,12.5000,14139847,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-02-25,12.5500,12.6900,12.4100,12.5000,10572903,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-02-26,12.5200,12.5600,12.3000,12.3700,11314594,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-02-27,12.4800,12.6200,12.4300,12.6100,8398589,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-02,12.4900,12.6900,12.2500,12.3000,9378101,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-03,12.4400,12.5500,12.2900,12.4400,12476738,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-04,12.3100,12.6800,12.2500,12.4800,10523099,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-05,12.6800,12.7700,12.4200,12.4400,12306317,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-06,12.4200,12.6700,12.4200,12.6300,7070402,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-03-09,12.4500,12.6000,12.2600,12.4300,9229550,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
