time,open,high,low,close,volume,note
2026-01-05,15.6700,16.4900,15.6700,16.3800,14583962,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-01-06,16.2500,16.7800,16.2000,16.4300,7824187,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-01-07,16.5100,16.6700,16.3300,16.4200,5678439,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-01-08,16.4300,16.8000,16.3500,16.6300,6280330,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-01-09,16.6700,17.0800,16.6300,16.9700,8198300,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-01-12,17.1700,17.6500,17.0700,17.4000,14560016,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-01-13,17.7000,18.0700,17.4200,17.6200,19843705,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-01-14,17.8900,18.2400,17.3800,17.6000,22187194,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-01-15,17.6000,17.6500,17.1600,17.3000,10284034,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-01-16,17.2900,17.3300,16.7000,16.8000,11231438,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-01-19,16.6900,17.1600,16.5800,16.8000,8134732,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-01-20,16.9400,16.9700,16.5700,16.6300,6776003,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-01-21,16.5500,17.0200,16.4600,16.6300,8020211,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-01-22,16.6300,16.7800,16.5600,16.6100,5817292,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-01-23,16.6000,16.8500,16.6000,16.6900,7290791,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-01-26,16.8300,16.8400,16.2600,16.3300,9127250,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-01-27,16.3300,16.6800,16.0300,16.3700,7911247,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-01-28,16.2900,16.4700,16.1200,16.1600,6827685,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-01-29,16.1800,16.3100,15.8500,15.9400,10039343,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-01-30,15.9800,16.0900,15.8600,15.9400,5923453,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-02-02,15.5300,16.2500,15.4500,15.7200,9283105,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-02-03,15.7200,15.9800,15.7000,15.9700,5370082,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-02-04,15.9700,16.1400,15.8500,16.0200,4588500,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-02-05,16.0300,16.1100,15.9000,16.0500,3806035,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-02-06,15.9700,16.1300,15.9200,15.9200,4118040,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-02-09,16.0800,16.1200,15.9700,16.0800,4002659,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-02-10,16.0900,16.1800,15.9700,16.0900,3501715,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-02-11,16.0200,16.1300,16.0000,16.0100,3208629,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-02-12,16.0400,16.0600,15.8700,15.9100,3177634,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-02-13,15.9000,15.9400,15.7600,15.7900,3514120,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-02-24,15.8200,15.9000,15.6500,15.6700,5668853,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-02-25,15.7000,15.7900,15.5900,15.6300,5153928,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-02-26,15.7000,15.7000,15.4500,15.4700,6076600,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-02-27,15.4500,15.6200,15.4100,15.5700,4350153,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-03-02,15.4900,15.5700,15.0300,15.1100,7259253,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
2026-03-03,15.1100,15.1700,14.6100,14.6800,7317295,sh.600055 | 万东医疗 | baostock | adjustflag=3 raw
