time,open,high,low,close,volume,note
2026-01-05,10.3600,10.4900,10.3000,10.4900,13476593,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-01-06,10.5600,10.6000,10.5000,10.5700,15282806,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-01-07,10.5700,10.5900,10.4500,10.5000,13069705,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-01-08,10.5000,10.5700,10.4700,10.5400,10747342,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-01-09,10.6500,10.8400,10.6500,10.8200,29730874,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-01-12,10.8200,10.8300,10.7200,10.8100,22075328,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-01-13,10.8100,11.0000,10.7600,10.8000,28831997,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-01-14,10.7900,10.8900,10.6400,10.7000,28271530,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-01-15,10.6700,10.7200,10.6000,10.6500,11570932,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-01-16,10.6900,10.7200,10.5600,10.6000,11754083,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-01-19,10.5900,10.6700,10.5500,10.6300,9158241,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-01-20,10.6200,10.6600,10.5900,10.6600,10673705,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-01-21,10.6300,10.6500,10.5500,10.5700,12891480,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-01-22,10.5800,10.6400,10.5600,10.6200,11093364,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-01-23,10.7100,10.8900,10.7000,10.7400,24540653,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-01-26,10.8100,11.2300,10.7200,11.1800,60246423,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-01-27,11.1800,11.1900,10.8200,10.9600,37347644,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-01-28,10.8400,11.5100,10.8300,11.2100,53157861,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-01-29,11.0900,11.0900,10.9400,11.0400,31667002,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-01-30,10.9900,11.0500,10.7900,10.8700,21345625,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-02-02,10.7900,10.9200,10.6400,10.6500,18991163,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-02-03,10.6700,10.8100,10.6600,10.7800,12702948,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-02-04,10.7200,10.8800,10.7000,10.8700,13835808,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-02-05,10.8300,10.9100,10.7800,10.8300,12418073,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-02-06,10.8200,11.0400,10.7800,10.7800,19603616,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-02-09,10.7900,10.8500,10.7700,10.8200,13096157,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-02-10,10.8200,10.8500,10.7700,10.7700,10250281,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-02-11,10.7700,10.7900,10.7300,10.7400,9280282,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-02-12,10.7400,10.7400,10.6100,10.6600,12069915,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-02-13,10.6500,10.6800,10.5200,10.5500,12249848,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-02-24,10.6000,10.6400,10.5900,10.6200,7421176,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-02-25,10.6300,10.7300,10.6100,10.6700,9732927,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-02-26,10.7000,10.7200,10.6100,10.6300,9170800,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-02-27,10.6100,10.6700,10.5700,10.6600,10767807,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-02,10.5700,10.6300,10.4600,10.5700,15806155,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-03,10.5500,10.6500,10.4800,10.5400,17614440,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-04,10.4800,10.5100,10.3000,10.3200,15920760,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-05,10.4000,10.4200,10.3500,10.3800,8701138,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-06,10.3400,10.5000,10.3100,10.4900,9925280,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-09,10.4000,10.6000,10.3600,10.5400,14667138,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-10,10.5500,10.5800,10.4900,10.5600,9849703,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-11,10.5500,10.5900,10.4900,10.5900,10071220,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-12,10.5800,10.6000,10.5200,10.5700,8605838,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-13,10.5600,10.6600,10.5200,10.5900,11388986,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-16,10.5900,10.6200,10.5000,10.5400,9334023,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-17,10.5500,10.6400,10.5200,10.5400,11136823,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-18,10.5500,10.5500,10.3800,10.4900,12288111,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-19,10.4000,10.5000,10.3300,10.3700,10585138,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-20,10.3900,10.4400,10.2100,10.2200,11534546,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-23,10.1400,10.1400,9.7500,9.7900,21601445,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-24,9.8600,10.0400,9.7900,10.0000,10815139,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-25,10.0600,10.0700,9.9700,10.0400,8810030,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-26,10.0000,10.1100,9.9400,9.9800,9102944,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-27,9.8800,10.1500,9.8600,10.1400,12362118,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-30,10.0400,10.2700,10.0300,10.2600,10958984,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-03-31,10.2600,10.3800,10.2300,10.2700,12338280,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-04-01,10.3600,10.4700,10.2000,10.4600,15624960,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-04-02,10.4600,10.6000,10.4600,10.5400,23224540,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-04-03,10.5600,11.5900,10.3100,11.5900,156875548,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-04-07,11.4700,11.4700,11.0500,11.2800,145573151,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-04-08,11.1000,11.3000,10.8800,11.0300,99377891,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-04-09,10.8900,11.2800,10.8000,10.8200,76051907,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-04-10,10.7500,11.1000,10.6800,10.9700,61606131,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-04-13,10.8000,10.8400,10.5800,10.5900,43768197,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-04-14,10.6100,10.7500,10.5100,10.7300,33684083,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-04-15,10.8000,11.2100,10.6500,11.1500,69932384,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-04-16,11.0000,11.0500,10.8000,10.8900,44349725,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-04-17,10.8000,10.8200,10.6600,10.7000,28659360,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-04-20,10.6800,10.8400,10.6100,10.8200,26403036,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-04-21,10.7900,10.8900,10.6600,10.6900,21424526,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-04-22,10.6500,10.6800,10.4500,10.4900,32167409,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-04-23,10.5000,10.5700,10.4100,10.4300,20545038,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-04-24,10.3700,10.4800,10.3000,10.4300,16580658,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-04-27,10.3600,10.4200,10.2700,10.2700,15912704,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-04-28,10.2100,10.3800,10.2000,10.2800,12256281,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-04-29,10.2800,10.4200,10.2800,10.4000,12870853,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-04-30,10.3800,10.4100,10.3200,10.3600,11806149,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-05-06,10.4000,10.4200,10.3400,10.3800,13905623,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-05-07,10.3600,10.3900,10.3300,10.3700,11534479,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-05-08,10.3700,10.4100,10.3200,10.3300,16026155,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-05-11,10.3700,10.5500,10.3100,10.5100,27299004,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-05-12,10.4500,10.6800,10.4300,10.6600,33592218,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-05-13,10.6500,10.6500,10.4200,10.4400,25843021,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-05-14,10.4100,10.5000,10.1300,10.1400,28206857,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-05-15,10.1000,10.1700,9.9800,10.0700,23690545,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-05-18,10.0700,10.0800,9.8600,9.9300,19117223,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-05-19,9.9000,10.0300,9.9000,10.0200,10563902,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-05-20,10.0200,10.0300,9.8900,9.9500,10263925,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-05-21,9.9600,10.0200,9.8500,9.9000,11963845,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-05-22,9.9100,9.9200,9.7900,9.8400,10633639,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-05-25,9.8300,9.8500,9.7600,9.8200,10493014,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-05-26,9.8100,9.8100,9.6900,9.7300,11595440,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-05-27,9.6900,9.9900,9.5000,9.9300,21038857,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-05-28,9.8900,9.9200,9.7100,9.7500,11558864,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-05-29,9.7600,9.9800,9.7200,9.9000,15951338,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-06-01,9.9500,9.9700,9.8500,9.9500,11931373,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-06-02,9.9000,10.0300,9.8600,9.8700,11753400,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-06-03,9.8300,9.8500,9.6300,9.6700,13317640,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-06-04,9.6700,9.7300,9.4600,9.4900,13853438,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-06-05,9.4800,9.5800,9.4800,9.5100,8101095,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-06-08,9.4200,9.5700,9.3000,9.3800,11808057,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-06-09,9.4000,9.4000,9.1800,9.2100,12508923,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-06-10,9.1800,9.1800,9.0100,9.1400,12769905,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-06-11,9.1300,9.1500,8.9000,8.9400,12785520,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-06-12,8.9100,9.1600,8.9100,9.1500,11532534,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-06-15,9.1500,9.2800,9.1000,9.2300,9138336,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-06-16,9.2100,9.2100,9.0600,9.0800,8686620,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-06-17,9.0900,9.1200,9.0000,9.1000,7452246,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-06-18,9.0700,9.1600,8.9700,9.0900,9593536,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-06-22,9.0700,9.0800,8.7500,9.0600,16054850,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-06-23,9.0300,9.3100,9.0000,9.2200,16370235,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-06-24,9.2400,9.3900,9.0700,9.1000,16512280,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-06-25,9.0000,9.0200,8.8500,8.8700,14486893,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-06-26,8.8000,8.8500,8.5800,8.5800,12361355,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
2026-06-29,8.5500,9.0800,8.3000,8.9600,23202861,sh.600056 | 中国医药 | baostock | adjustflag=3 raw
