time,open,high,low,close,volume,note
2026-01-05,8.5200,8.5200,8.3600,8.3900,29532760,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-01-06,8.3500,8.4600,8.3000,8.4100,22731033,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-01-07,8.4000,8.7000,8.3500,8.5700,27258748,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-01-08,8.5200,8.5200,8.3100,8.3400,29823411,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-01-09,8.3500,8.3800,8.2600,8.3600,19690339,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-01-12,8.3600,8.5700,8.3200,8.4600,24779343,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-01-13,8.4500,8.5100,8.2000,8.2200,26190230,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-01-14,8.2400,8.3300,8.1000,8.1700,25489603,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-01-15,8.1900,8.3400,8.1300,8.2900,17848252,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-01-16,8.3300,8.4200,8.2800,8.3300,13831995,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-01-19,8.3000,8.7000,8.2600,8.6500,28928294,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-01-20,8.5500,8.6300,8.4700,8.6200,21745332,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-01-21,8.6000,8.6200,8.3900,8.4300,18178315,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-01-22,8.4700,8.6200,8.4000,8.5400,18042370,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-01-23,8.5500,8.5800,8.3600,8.4000,32117257,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-01-26,8.4100,8.4200,8.1600,8.2400,27395432,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-01-27,8.2600,8.2900,8.1400,8.1600,20052675,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-01-28,8.1700,8.2400,8.0800,8.2000,15670236,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-01-29,8.2300,8.4000,8.1800,8.3600,22272457,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-01-30,8.3600,8.7200,8.3300,8.5000,37068056,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-02-02,8.4300,8.4500,7.6500,7.6500,54133653,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-02-03,7.5500,7.7700,7.5000,7.7500,43494204,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-02-04,7.7300,8.0700,7.6800,8.0000,31112933,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-02-05,7.9700,8.2000,7.9200,8.1500,24976582,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-02-06,8.0900,8.2400,8.0600,8.0600,18825524,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-02-09,8.1900,8.4000,8.1000,8.2900,20102595,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-02-10,8.3300,8.3500,8.1800,8.3100,14867789,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-02-11,8.2700,8.3900,8.2500,8.3600,10779959,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-02-12,8.3500,8.3800,8.2800,8.3400,12081188,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-02-13,8.3300,8.3400,8.1200,8.1300,11633085,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-02-24,8.2000,8.3700,8.1900,8.3000,16234736,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-02-25,8.3000,8.4800,8.2600,8.3100,14657820,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-02-26,8.3100,8.4200,8.3100,8.3800,12090186,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-02-27,8.3700,8.5400,8.3300,8.5000,17096658,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-02,8.4200,8.5700,8.3500,8.5400,24979583,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-03,8.4800,8.7000,8.4700,8.5700,25770274,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-04,8.5700,8.5800,8.2900,8.2900,23267677,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-05,8.3500,8.4500,8.1600,8.2300,20437600,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-06,8.2200,8.3800,8.1700,8.3500,12884443,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-09,8.3200,8.3800,8.0700,8.1000,21357329,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-10,8.1000,8.2700,8.0100,8.1300,16560888,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-11,8.1400,8.2200,8.0700,8.2100,13180237,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-12,8.2100,8.2900,8.1500,8.2100,13967082,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-13,8.1800,8.7900,8.1700,8.7300,42091651,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-16,8.6000,8.8300,8.5300,8.5600,33829921,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-17,8.5500,8.7900,8.5400,8.5700,22462934,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-18,8.5800,8.6000,7.9800,8.1000,29914605,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-19,8.0700,8.1200,7.9100,7.9600,19502829,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-20,7.9500,8.1200,7.9100,7.9100,20064469,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-23,7.9100,7.9200,7.4800,7.5500,24023016,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-24,7.6500,7.8000,7.5500,7.7800,14510917,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-25,7.7800,8.2100,7.7300,8.1900,21590916,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-26,8.1900,8.3200,8.1000,8.1500,16778802,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-27,8.0600,8.1800,7.8900,7.9600,15438250,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-30,7.9400,8.2800,7.8400,8.1800,19432970,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-03-31,8.1200,8.2400,8.0400,8.0800,15985916,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-04-01,8.1200,8.2500,8.0000,8.0800,19648081,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-04-02,8.0800,8.1600,8.0300,8.1000,12807537,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-04-03,8.1000,8.1600,7.9100,8.0500,11936703,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-04-07,8.0500,8.1500,7.9900,8.0300,11981403,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
