time,open,high,low,close,volume,note
2026-01-15,12.6700,12.6700,12.6700,12.6700,17300139,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-01-16,13.9400,13.9400,13.9400,13.9400,4212435,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-01-19,15.3300,15.3300,12.5500,14.1000,123554265,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-01-20,13.9500,15.4900,13.7000,15.2700,105445274,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-01-21,14.8800,15.2000,14.0100,14.2100,81254723,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-01-22,14.1700,15.6300,14.0300,15.6300,85117057,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-01-23,15.7100,16.5800,15.1300,15.5400,112992240,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-01-26,15.3700,16.1700,14.7100,15.0000,78922685,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-01-27,14.7900,15.8400,14.4400,14.9300,57995551,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-01-28,14.7900,16.2500,14.2000,15.8000,84621003,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-01-29,15.4500,15.6800,14.7000,14.8300,57585884,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-01-30,14.3300,14.3800,13.3500,13.6600,62495814,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-02-02,13.0300,13.7300,13.0300,13.1700,33647256,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-02-03,13.4500,13.6900,13.2700,13.6600,27354085,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-02-04,13.6600,13.8400,13.2800,13.4100,26710043,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-02-05,13.3000,13.5800,12.8800,12.9200,27532533,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-02-06,12.6300,13.2500,12.6000,13.0300,20602476,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-02-09,13.1500,13.2200,12.9300,13.0400,17659164,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-02-10,13.0000,13.0400,12.8000,12.8200,13326120,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-02-11,12.8200,13.2300,12.7700,12.8900,18765049,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
