time,open,high,low,close,volume,note
2026-01-05,9.2500,9.3300,9.2500,9.3000,8356104,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-01-06,9.3400,9.3400,9.2700,9.3000,7612700,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-01-07,9.3200,9.3200,9.2000,9.2100,9130920,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-01-08,9.2000,9.2800,9.1800,9.2400,6212700,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-01-09,9.2400,9.3100,9.2200,9.3000,8395531,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-01-12,9.3000,9.4000,9.2900,9.4000,12161539,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-01-13,9.4100,9.4200,9.3000,9.3200,11996801,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-01-14,9.3200,9.4000,9.2100,9.2600,14859373,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-01-15,9.2600,9.2900,9.2000,9.2500,8597500,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-01-16,9.2600,9.2700,9.1000,9.1300,12434705,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-01-19,9.1000,9.3000,9.0700,9.3000,13136751,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-01-20,9.2900,9.3700,9.2700,9.3600,12920932,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-01-21,9.3400,9.3600,9.2200,9.2600,12050995,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-01-22,9.2900,9.3700,9.2600,9.3500,10715384,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-01-23,9.3500,9.3800,9.3300,9.3500,10451473,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-01-26,9.8800,9.8800,9.5300,9.7200,48132312,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-01-27,9.6500,9.8300,9.6000,9.6800,24576416,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-01-28,9.6700,10.0400,9.6500,9.9000,37404943,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-01-29,9.8800,10.8900,9.7600,10.8900,83061616,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-01-30,10.6100,10.6100,10.1200,10.2000,62747437,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-02-02,10.0900,10.6900,10.0200,10.3100,50903640,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-02-03,10.2000,10.5000,10.1000,10.2200,34118513,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-02-04,10.1700,10.3600,10.0700,10.2200,29851002,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-02-05,10.1500,10.3100,10.1100,10.1100,24271917,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-02-06,10.0500,10.1800,9.8900,9.9500,28294028,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-02-09,10.0300,10.2700,9.9900,10.2100,23635959,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
