time,open,high,low,close,volume,note
2026-01-05,7.6600,7.7300,7.6200,7.7200,40047268,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-01-06,7.7200,7.9200,7.7000,7.9100,80762786,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-01-07,7.9100,7.9300,7.8000,7.8400,45986684,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-01-08,7.8000,7.8200,7.7400,7.7500,50683802,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-01-09,7.7500,7.8500,7.7400,7.8100,35111253,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-01-12,7.8100,7.9200,7.7800,7.9000,51595162,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-01-13,7.9200,7.9800,7.8500,7.8900,55927754,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-01-14,7.8700,8.0100,7.7900,7.8200,73767978,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-01-15,7.7700,7.8100,7.6800,7.7000,43183697,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-01-16,7.7300,7.7500,7.6100,7.6200,39269982,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-01-19,7.6000,7.6600,7.5900,7.6300,30098599,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-01-20,7.6500,7.6800,7.6100,7.6600,30581829,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-01-21,7.6500,7.6600,7.5700,7.5900,34146223,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-01-22,7.5900,7.6600,7.5900,7.6300,27378503,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-01-23,7.6300,7.6900,7.6100,7.6300,33019098,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-01-26,7.6300,7.7800,7.6100,7.7100,55557076,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-01-27,7.6900,7.6900,7.5300,7.6000,43182440,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-01-28,7.6200,7.9900,7.5900,7.7300,128808238,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-01-29,7.7200,7.8500,7.6000,7.8300,105227273,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-01-30,7.7900,7.8500,7.6400,7.6900,63379030,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-02-02,7.6600,7.8200,7.5300,7.5400,77360239,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
