time,open,high,low,close,volume,note
2026-01-05,5.9000,6.0100,5.8800,5.9500,30490515,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-01-06,5.9500,6.2000,5.9500,6.1700,59978780,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-01-07,6.1700,6.3600,6.1100,6.3100,53767893,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-01-08,6.3100,6.3900,6.2000,6.3300,42932980,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-01-09,6.3300,6.3600,6.2200,6.3200,42203797,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-01-12,6.2500,6.4400,6.2200,6.3900,48340695,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-01-13,6.3500,6.5400,6.3500,6.4200,52206797,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-01-14,6.4100,6.7800,6.3900,6.6800,94559618,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-01-15,6.6300,6.8200,6.5800,6.7100,58137908,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-01-16,6.7600,6.7900,6.4500,6.5000,56060501,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-01-19,6.5000,6.7600,6.4500,6.7100,55802073,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-01-20,6.7200,6.8500,6.6400,6.8300,58241884,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-01-21,6.7800,6.8500,6.6600,6.7800,54087924,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-01-22,6.7700,6.9700,6.7700,6.9000,51006100,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-01-23,6.9300,7.5000,6.8200,7.2800,121450835,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-01-26,7.4000,7.4600,7.1400,7.2900,83802243,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-01-27,7.2500,7.4700,7.1500,7.2000,60336147,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-01-28,7.1800,7.5500,7.0700,7.3100,87990865,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-01-29,7.3000,7.3800,7.0800,7.1100,63119457,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-01-30,7.2500,7.2900,6.7000,7.0300,83080300,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-02-02,6.8800,6.9800,6.4600,6.4700,79032447,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-02-03,6.5500,6.7700,6.4600,6.7500,47367798,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-02-04,6.7400,6.7900,6.5900,6.7600,31426137,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-02-05,6.7400,6.8300,6.5400,6.6400,38139774,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-02-06,6.6200,7.3000,6.5300,7.3000,109034116,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-02-09,7.4600,7.5000,7.0800,7.2100,147371622,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-02-10,7.2100,7.2500,6.9700,7.0800,72239963,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-02-11,7.0800,7.3600,7.0500,7.3400,90735190,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-02-12,7.2600,7.3200,7.0900,7.1200,50624769,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-02-13,7.1000,7.1200,6.8800,6.8900,48259918,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-02-24,6.9800,7.2400,6.9800,7.1300,45961686,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-02-25,7.1200,7.5200,7.1000,7.4100,82065868,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-02-26,7.4100,7.4300,7.2000,7.2700,47480025,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-02-27,7.2300,7.4200,7.2100,7.3200,37046000,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-02,7.2800,7.4100,7.1400,7.3000,60695601,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-03,7.2900,7.3600,6.9600,7.0000,59600332,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-04,6.9200,7.0700,6.8300,6.8600,35442541,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-05,7.0200,7.0400,6.8400,6.9100,29297632,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-06,6.8900,7.1400,6.8200,7.0900,40951858,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-09,7.3900,7.5000,7.0300,7.0700,81222089,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-10,7.0000,7.1100,6.9500,6.9700,51863015,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-11,6.9800,7.3000,6.8200,7.3000,86198943,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-12,7.8000,8.0300,7.5600,7.9200,236413694,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-13,7.8300,8.1500,7.7000,7.7400,175593348,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-16,7.7200,8.0600,7.4700,7.4800,110939180,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-17,7.4800,7.6400,7.2300,7.2600,70509209,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-18,7.2600,7.2800,6.9800,7.1100,75128400,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-19,7.1600,7.1900,6.7200,6.7600,98589300,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-20,6.6800,6.7600,6.4700,6.5200,70005889,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-23,6.4500,6.8300,6.3300,6.6200,80368938,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-24,6.6800,6.7200,6.4300,6.6600,51237199,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-25,6.6000,6.8500,6.6000,6.7500,47549545,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-26,6.7600,6.8800,6.5400,6.6100,41499773,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-27,6.6100,6.9800,6.5900,6.9000,63632737,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-03-30,6.8900,7.0300,6.8700,6.9300,48584231,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
