time,open,high,low,close,volume,note
2026-01-05,8.7000,8.7800,8.6600,8.7400,22959809,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-01-06,8.7400,8.9400,8.7200,8.9000,29585050,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-01-07,8.9000,8.9200,8.7700,8.7700,23455229,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-01-08,8.7700,8.7900,8.6900,8.7400,20373893,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-01-09,8.7100,8.8900,8.7100,8.8800,26184445,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-01-12,8.8800,8.9100,8.7900,8.8600,27282723,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-01-13,8.8400,8.8900,8.7500,8.7600,24393144,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-01-14,8.7700,8.8700,8.5900,8.6200,35083605,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-01-15,8.6000,8.7600,8.6000,8.7200,20347958,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-01-16,8.7700,8.7800,8.6300,8.6700,15166269,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-01-19,8.6400,8.7400,8.6300,8.6800,17594742,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-01-20,8.7000,9.0000,8.6900,8.9800,38433085,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-01-21,8.9500,8.9800,8.8300,8.8500,27368180,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-01-22,8.8500,8.9500,8.8400,8.9100,18891848,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-01-23,8.9200,9.0600,8.9200,9.0200,24753030,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-01-26,9.0700,9.0700,8.8800,8.9700,27068651,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-01-27,8.9700,8.9900,8.8400,8.8800,20557169,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-01-28,8.8800,9.1400,8.8500,9.0400,31866685,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-01-29,9.0500,9.2300,8.9800,9.1700,33025724,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-01-30,9.1300,9.1700,8.9100,9.0300,25235519,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-02-02,8.9400,8.9600,8.6000,8.6300,34668218,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-02-03,8.6800,8.7900,8.6600,8.7600,20273895,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-02-04,8.7700,8.9300,8.7200,8.9100,23082461,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-02-05,8.9100,8.9800,8.8400,8.9000,18544404,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-02-06,8.8700,8.9600,8.8200,8.8200,18898238,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-02-09,8.8500,8.9400,8.8300,8.9200,18010150,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-02-10,8.9300,8.9300,8.8400,8.8700,9760229,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-02-11,8.8700,8.9800,8.8600,8.9400,13992072,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-02-12,8.9300,9.0400,8.8800,8.9100,17231543,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-02-13,8.8900,8.9500,8.7600,8.7700,15567147,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-02-24,8.8400,8.9200,8.8200,8.8700,14953392,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-02-25,8.8800,9.1000,8.8800,9.0000,25389252,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-02-26,9.0100,9.0400,8.9300,8.9600,15856865,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-02-27,8.9600,8.9600,8.9000,8.9100,16002834,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-02,8.8300,8.8600,8.6900,8.8000,28157349,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-03,8.8400,8.8500,8.7100,8.7400,21276542,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-03-04,8.6800,8.7300,8.5500,8.5600,25358455,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
