time,open,high,low,close,volume,note
2026-01-05,4.1600,4.3500,4.1500,4.2800,56190352,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-01-06,4.2800,4.3200,4.2500,4.3000,43390332,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-01-07,4.3000,4.3400,4.2500,4.3000,39944818,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-01-08,4.2800,4.3700,4.2700,4.3300,40033556,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-01-09,4.3500,4.4200,4.3200,4.3600,36658142,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-01-12,4.3700,4.3800,4.3100,4.3700,50796850,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-01-13,4.3700,4.4700,4.3300,4.3700,67056330,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-01-14,4.3600,4.4300,4.2700,4.3600,66203924,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-01-15,4.3200,4.4000,4.2500,4.2800,40776327,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-01-16,4.3200,4.4400,4.2800,4.3000,56622464,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-01-19,4.3200,4.5600,4.2900,4.5000,73462546,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-01-20,4.5100,4.5800,4.4200,4.5000,67795912,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-01-21,4.4500,4.6300,4.4000,4.5400,67864487,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-01-22,4.5400,4.6400,4.5100,4.6400,52089269,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-01-23,4.6400,4.6800,4.5500,4.6800,53482711,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-01-26,4.7000,4.7500,4.5100,4.5300,53226994,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-01-27,4.5000,4.5600,4.3200,4.5400,50495906,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-01-28,4.4900,4.5700,4.4300,4.4400,29117556,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-01-29,4.4400,4.4800,4.3500,4.3700,32216296,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-01-30,4.3700,4.4100,4.1900,4.2500,39658949,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-02-02,4.2500,4.4000,4.2000,4.2500,38877400,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-02-03,4.2600,4.3200,4.2300,4.2600,31079985,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-02-04,4.2700,4.4600,4.2300,4.3800,48332094,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-02-05,4.4000,4.4000,4.2300,4.2500,36833626,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-02-06,4.2200,4.2900,4.1600,4.2700,27209842,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-02-09,4.3000,4.3500,4.2700,4.2900,29523337,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-02-10,4.3000,4.3100,4.2100,4.2300,28190900,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-02-11,4.2300,4.2500,4.2000,4.2100,20007751,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-02-12,4.2200,4.2600,4.1400,4.1600,27083300,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-02-13,4.1600,4.2100,4.1300,4.1400,19699365,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-02-24,4.1700,4.2700,4.1600,4.2400,29430540,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-02-25,4.2500,4.3400,4.2300,4.3200,28410959,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-02-26,4.3200,4.3400,4.2500,4.2900,23961400,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-02-27,4.2800,4.3300,4.2500,4.3100,25202602,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-02,4.2800,4.2800,4.1300,4.1900,35029763,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-03,4.1800,4.2200,4.0300,4.0400,33043700,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-04,4.0100,4.1200,3.9900,4.0600,23544201,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-05,4.1000,4.2000,4.1000,4.1600,25696075,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-06,4.1500,4.2800,4.1200,4.2600,28230924,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-09,4.2100,4.2400,4.1100,4.1800,29089900,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-10,4.2200,4.2700,4.1700,4.1900,26860197,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-11,4.2000,4.2000,4.1100,4.1700,22022358,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-12,4.1600,4.2000,4.1200,4.1300,21699200,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-13,4.1500,4.3000,4.1200,4.2000,43132001,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-16,4.2000,4.2400,4.0900,4.1300,29030200,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-17,4.1300,4.2900,4.1200,4.1300,45027108,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-18,4.1300,4.1400,4.0300,4.1200,32223600,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-19,4.0800,4.0800,3.9600,3.9700,27855500,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-20,4.0200,4.0600,3.9300,3.9400,26074200,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-23,3.8800,3.9100,3.6700,3.7100,38470856,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-24,3.7900,3.9400,3.7500,3.9400,39749693,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-25,3.9400,4.0300,3.9100,4.0300,27050315,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-26,4.0500,4.0900,3.9800,3.9900,21372900,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-27,3.9400,4.1100,3.9300,4.1000,31222232,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-30,4.0400,4.1100,4.0000,4.1000,28444900,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-03-31,4.0700,4.1500,3.9900,4.0000,27231400,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
2026-04-01,4.0400,4.0700,3.9700,4.0000,23040100,sh.600067 | 冠城新材 | baostock | adjustflag=3 raw
