time,open,high,low,close,volume,note
2018-01-02,9.9100,10.0700,9.8600,10.0500,38295844,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-01-03,10.0300,10.2300,10.0100,10.1600,50935107,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-01-04,10.1700,10.1900,10.0700,10.1600,31159824,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-01-05,10.1300,10.1300,10.0000,10.0300,38560733,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-01-08,10.0100,10.2500,10.0000,10.2400,49849173,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-01-09,10.2000,10.3000,10.0300,10.1100,43433552,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-01-10,10.1000,10.1500,9.8900,9.9300,50687441,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-01-11,9.9200,9.9900,9.8900,9.9500,26042484,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-01-12,9.9400,9.9400,9.8000,9.9000,41250549,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-01-15,9.8400,9.8500,9.6200,9.6600,41698873,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-01-16,9.6400,9.7200,9.6200,9.7200,26907386,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-01-17,9.7200,9.9200,9.6300,9.8300,38820529,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-01-18,9.8100,9.8700,9.7700,9.8400,23501646,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-01-19,9.8400,10.2000,9.8000,10.1100,88415972,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-01-22,10.2200,10.2300,10.0200,10.1400,54514791,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-01-23,10.1300,10.2100,10.0500,10.1200,35807846,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-01-24,10.0800,10.3600,10.0400,10.2500,71987971,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-01-25,10.2200,10.2300,10.0800,10.0900,48894872,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-01-26,10.0600,10.1900,10.0500,10.0800,39113686,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-01-29,10.1100,10.1800,9.8900,9.9200,51061810,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-01-30,9.9200,9.9600,9.7800,9.8100,40096721,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-01-31,9.7800,9.8300,9.7200,9.8100,28832044,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-02-01,9.8000,9.9100,9.5200,9.5400,52665990,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-02-02,9.5000,9.6200,9.3600,9.6100,31148402,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-02-05,9.5000,9.6400,9.4500,9.5800,29565973,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-02-06,9.3900,9.4800,9.0200,9.0400,51766437,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-02-07,9.2100,9.2300,8.8800,9.0100,30501270,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-02-08,8.9800,9.1100,8.9300,9.0500,18670890,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-02-09,8.8800,8.9200,8.5100,8.6000,39028054,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-02-12,8.6000,8.7400,8.6000,8.6900,21146385,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-02-13,8.7800,8.8200,8.6600,8.6700,21809336,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-02-14,8.6900,8.7500,8.6100,8.7300,13705140,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-02-22,8.8100,8.9200,8.7700,8.8800,19638707,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-02-23,8.9000,8.9500,8.8500,8.9000,15930719,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-02-26,8.9300,9.0800,8.8800,9.0700,22264948,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-02-27,9.0700,9.0900,8.9600,9.0000,15877056,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-02-28,8.9900,9.0400,8.9300,9.0100,16218123,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-03-01,8.9700,9.1900,8.9300,9.1100,31098652,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-03-02,9.0800,9.0800,8.9800,9.0200,17402217,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-03-05,9.0200,9.0800,9.0000,9.0400,11527211,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-03-06,9.0400,9.1600,8.9900,9.1500,24725796,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-03-07,9.1300,9.1400,8.9900,9.0100,19459156,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-03-08,9.0200,9.0800,8.9800,9.0800,19522852,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-03-09,9.0900,9.1400,9.0200,9.1300,28280235,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-03-12,9.1500,9.2300,9.1200,9.2100,31809884,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-03-13,9.2100,9.2100,9.1300,9.1400,17722189,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-03-14,9.1300,9.1800,9.0800,9.0900,19757840,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
2018-03-15,9.0600,9.0800,8.9800,9.0500,17450848,sh.600089 | 特变电工 | baostock | adjustflag=3 raw
