time,open,high,low,close,volume,note
2018-01-02,12.2000,12.8600,11.9700,12.7100,47578075,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-01-03,12.7300,13.2100,12.5300,12.7800,40305088,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-01-04,12.7700,13.2200,12.5000,13.0900,40736839,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-01-05,13.0700,13.3000,12.7200,12.8800,33090283,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-01-08,12.7800,12.7800,12.2600,12.6200,39492310,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-01-09,12.8500,13.0000,12.2500,12.4500,49771645,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-01-10,12.3700,12.8100,12.2600,12.5100,44565605,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-01-11,12.4000,12.4000,12.0000,12.2000,38751721,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-01-12,12.1700,12.4600,12.0100,12.3600,24883234,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-01-15,12.2900,12.2900,11.7300,11.9900,39996273,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-01-16,11.8500,12.1800,11.7300,11.8700,31109906,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-01-17,11.8800,11.9200,10.6800,11.0700,78687839,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-01-18,11.1400,11.4000,11.0200,11.1100,31385611,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-01-19,11.2000,11.7400,11.1600,11.5000,44805979,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-01-22,11.5100,12.3000,11.5100,12.1800,49772948,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-01-23,12.2900,12.6000,12.1300,12.4300,52523217,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-01-24,12.4000,12.6500,12.0000,12.4300,47891993,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-01-25,12.3400,12.7500,12.3000,12.3500,35239600,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-01-26,12.4800,12.5300,12.0700,12.1700,22578261,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-01-29,12.1800,12.3500,11.8600,11.9900,33401174,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-01-30,11.9900,12.2500,11.9500,12.1600,30237764,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-01-31,12.0200,12.1500,11.8600,11.9400,21386045,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-02-01,11.9100,11.9900,11.0000,11.1000,50946506,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-02-02,11.0000,11.4700,10.7800,11.3500,26508920,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-02-05,10.9900,10.9900,10.2200,10.2200,80940877,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-02-06,9.8000,9.8800,9.2000,9.3600,73963490,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-02-07,9.6000,9.6700,9.2500,9.3600,33941260,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-02-08,9.3600,9.5200,9.2600,9.2700,27190873,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-02-09,8.9600,9.1300,8.7100,8.8500,37257881,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-02-12,9.0100,9.7400,9.0000,9.7400,41367941,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-02-13,9.8200,10.3600,9.7400,9.8000,54791380,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-02-14,9.8800,10.2100,9.8200,10.2000,29942972,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-02-22,10.4800,10.4800,10.0300,10.3800,35271848,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-02-23,10.2800,10.3100,9.7500,9.9100,41875057,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-02-26,9.8600,10.3900,9.8600,10.2300,37155138,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-02-27,10.2900,10.4200,10.0800,10.1000,28737838,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-02-28,10.0000,10.2800,9.8500,10.0800,20034286,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-01,10.1100,10.5100,10.0100,10.4900,39863180,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-02,10.3800,10.4500,10.1200,10.2000,29786248,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-05,10.2000,10.2500,10.0300,10.0700,21077273,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-06,10.1300,10.2900,10.0700,10.1500,24493626,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-07,10.1300,10.3800,10.0800,10.2500,26592994,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-08,10.2500,10.2700,10.0800,10.1500,18390519,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-09,10.1600,10.4800,10.1100,10.3800,27369910,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-12,10.3800,10.9500,10.3800,10.6300,34810067,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-13,10.6100,10.9000,10.4400,10.4700,21743890,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-14,10.3900,10.5200,10.2900,10.4200,16845662,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-15,10.4200,10.4200,10.1000,10.2300,19050176,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-16,10.1600,10.2800,10.0400,10.0500,16688930,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-19,10.0700,10.1600,9.8600,10.0400,14121593,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-20,9.9700,10.1500,9.8600,10.1200,16234109,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-21,10.2400,11.1300,10.2000,10.8800,78108715,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-22,11.0800,11.1700,10.6100,10.7600,37478508,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-23,10.4500,10.6400,9.9900,10.2900,37757528,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-26,10.0800,10.4900,10.0200,10.4000,31272621,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-27,10.5500,10.7400,10.4300,10.6800,30257595,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-28,10.4900,10.5500,10.2500,10.3100,31454804,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-29,10.4000,10.4900,10.1600,10.4200,16292433,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-03-30,10.5400,10.8300,10.5000,10.6200,22259027,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-04-02,10.6400,10.7100,10.5200,10.6400,21432088,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-04-03,10.5000,10.8300,10.3900,10.5100,25185833,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-04-04,10.6300,10.8500,10.5700,10.7500,26844085,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-04-09,10.7200,10.7800,10.3100,10.3400,23230895,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-04-10,10.3700,10.5600,10.2000,10.4300,22499014,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-04-11,10.4800,10.7300,10.4200,10.6900,26994085,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-04-12,10.6300,10.7600,10.5800,10.6900,14025715,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-04-13,10.6900,10.7900,10.5100,10.5700,10953946,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-04-16,10.5800,10.6500,10.3300,10.4700,13319582,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-04-17,10.4700,10.4800,10.0000,10.0400,26927583,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-04-18,10.2300,11.0400,10.2300,11.0300,87895815,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-04-19,10.9500,12.1300,10.9000,11.7300,89453373,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-04-20,11.8000,11.9200,11.5200,11.6900,39289496,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-04-23,11.6500,11.9500,11.2600,11.4300,43911566,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-04-24,11.4600,12.1000,11.4600,11.9500,55520749,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-04-25,11.8800,12.0300,11.5700,11.5900,39937721,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-04-26,11.6400,11.9700,11.6400,11.9200,33146776,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-04-27,12.0500,12.0600,11.6300,11.7800,29599945,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-05-02,11.7800,12.0900,11.7500,12.0300,23101466,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-05-03,11.9900,12.6000,11.9300,12.4000,32557277,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-05-04,12.2900,12.9900,12.0600,12.0800,32935105,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-05-07,12.2800,13.2600,12.2100,13.2100,43403068,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-05-08,13.1900,13.1900,12.6800,12.9600,32726763,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-05-09,13.0100,13.0400,12.4300,12.6100,29542854,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-05-10,12.6100,12.9400,12.6000,12.7000,17214755,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-05-11,12.8200,12.9800,12.5900,12.6200,19124092,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-05-14,12.7000,12.8400,12.5000,12.6400,18239531,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-05-15,12.7800,13.0000,12.7000,12.9500,22876432,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-05-16,12.7200,12.8800,12.3800,12.5200,23984429,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
2018-05-17,12.6100,12.6600,12.2300,12.2700,23818993,sh.600438 | 通威股份 | baostock | adjustflag=3 raw
