time,open,high,low,close,volume,note
2010-01-04,172.0000,172.0000,169.3100,169.9400,4430488,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2010-01-05,170.9900,171.5000,169.0000,169.4400,3151318,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2010-01-06,168.9900,169.5000,166.3100,166.7600,3988903,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2010-01-07,166.7600,167.1900,161.8800,163.7200,4882555,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2010-01-08,164.0000,164.0000,160.1000,162.0000,3670209,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2010-01-11,163.6000,164.9000,160.5000,161.2900,2446103,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2010-01-12,161.4500,166.1700,160.6100,165.6500,3106340,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2010-01-13,163.9900,165.1500,161.0000,161.4400,3792444,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2010-01-14,162.0000,169.2000,162.0000,168.5400,4645464,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2010-01-15,168.5100,173.3800,168.5100,169.8700,4593850,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2010-01-18,170.0000,172.2600,169.9000,170.9800,2146153,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2010-01-19,170.9900,171.5000,169.5000,169.7700,1781891,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2010-01-20,169.9100,170.1500,165.8000,165.9200,2097295,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2010-01-21,165.8600,168.3800,165.5000,166.7300,1725748,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2010-01-22,166.6000,167.2900,161.8900,164.1300,2543294,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2010-01-25,163.8500,167.3000,162.5100,166.0400,2323915,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2010-01-26,168.2700,170.1700,164.6000,166.7000,3288916,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2010-01-27,166.0300,167.7800,163.6000,163.9800,1931657,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2010-01-28,163.8600,170.3500,163.5000,169.2000,3026752,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
