time,open,high,low,close,volume,note
2018-01-02,46.4600,47.8300,46.2000,47.5800,11265265,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-01-03,47.5600,48.1200,47.1100,48.0600,10895507,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-01-04,47.8000,48.5300,47.3300,47.7700,10021748,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-01-05,48.8000,49.3300,47.9000,48.0700,15143889,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-01-08,48.3000,48.3500,46.5000,47.9000,14732140,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-01-09,47.8400,47.8400,46.8000,47.2500,9051285,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-01-10,47.6300,51.7900,47.6300,50.6200,37878722,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-01-11,50.9600,54.5000,50.3800,53.5200,47817348,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-01-12,53.5300,53.5300,50.9400,51.1900,31945043,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-01-15,49.8900,50.3600,48.6800,49.3100,24508242,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-01-16,49.6100,50.3900,49.3000,50.2300,15332149,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-01-17,48.5100,48.8500,47.1800,48.0600,19590453,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-01-18,47.9900,48.4200,47.4100,47.5700,9510289,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-01-19,47.6100,49.0800,47.5000,48.4800,12572115,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-01-22,48.4500,51.4300,48.0800,50.6800,22614485,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-01-23,50.3000,50.5900,49.7200,50.4100,11938204,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-01-24,50.4100,53.2600,50.0100,52.6300,33070142,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-01-25,52.4800,53.3000,50.8800,50.9300,22336038,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-01-26,50.9000,51.9600,50.5000,51.3800,14058874,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-01-29,51.3700,51.9200,49.4800,50.4400,15074482,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-01-30,51.0000,52.2800,49.9700,52.2100,17689905,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-01-31,51.5800,52.0000,50.6200,51.4900,17873168,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-02-01,51.7100,52.4700,47.3900,48.7900,23782641,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-02-02,49.0000,49.8000,47.5000,49.0600,13115463,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-02-05,47.8000,48.8600,47.5800,48.0900,8627015,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-02-06,46.3000,46.9900,43.2800,43.3000,23771760,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-02-07,44.5700,44.9800,41.9000,43.7700,17013342,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-02-08,43.8500,45.0000,43.5500,44.6300,10083099,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-02-09,42.7100,43.8000,41.5000,43.4300,14592762,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-02-12,43.7000,44.9700,43.7000,44.7600,9548485,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-02-13,45.2000,45.6500,44.3100,44.5600,8491271,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-02-14,44.6000,44.7900,43.8800,44.4500,5286712,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-02-22,45.0000,46.3500,44.8600,45.9900,9942070,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-02-23,45.8200,46.2900,45.3900,45.7900,6385204,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-02-26,46.2500,47.3600,46.0500,46.9900,12104551,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-02-27,47.5200,49.0000,47.0700,47.2000,15855234,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-02-28,46.9900,48.5000,46.3000,47.7400,12142650,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-03-01,47.5100,50.4600,47.3500,50.4200,32284606,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-03-02,49.8800,50.4900,48.8000,49.2700,21910877,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-03-05,50.3500,51.3500,49.8600,50.6900,22116619,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2018-03-06,51.0500,52.8700,50.8000,51.3500,30825479,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
