time,open,high,low,close,volume,note
2018-01-02,21.3100,21.6400,21.1600,21.3900,6130901,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-01-03,21.5400,21.6400,21.0900,21.6300,8470454,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-01-04,21.5200,21.6100,21.2800,21.3900,6122148,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-01-05,21.6100,21.9600,21.4700,21.6100,7971045,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-01-08,21.3000,21.4900,20.5500,20.9500,12901260,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-01-09,20.8100,21.0100,20.2900,20.6600,7461855,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-01-10,20.4500,21.3300,20.4500,21.2500,12514162,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-01-11,21.0200,22.3500,20.8500,22.2100,18688192,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-01-12,22.4400,24.4300,21.9800,23.0000,26623823,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-01-15,22.5300,22.8400,21.8600,22.1900,12955802,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-01-16,22.3400,22.5300,21.7200,22.1500,10674057,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-01-17,21.6500,21.6500,19.9500,21.0400,16544945,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-01-18,20.7400,21.0900,20.6100,20.8000,5468142,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-01-19,20.7800,21.3400,20.7800,20.9300,5847524,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-01-22,20.9800,21.7600,20.4500,21.6000,8538307,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-01-23,21.4600,22.4800,21.3600,22.2800,10617808,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-01-24,22.6200,23.5000,22.1000,23.2900,15757159,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-01-25,23.2900,23.6000,22.8400,22.9800,7827402,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-01-26,23.0300,23.5400,22.6600,23.2100,8348312,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-01-29,23.3300,23.7200,22.3600,22.6600,9319670,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-01-30,22.7100,23.6600,22.6500,23.6000,11108714,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-01-31,23.5600,23.9700,22.9700,23.0100,13790074,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-02-01,23.0900,23.7900,22.4000,23.6200,13240990,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-02-02,23.3700,24.3000,23.0700,24.1600,16360697,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-02-05,23.7000,24.4900,23.2900,24.4700,11754246,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-02-06,23.8200,24.6000,23.3000,23.7400,17347990,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-02-07,24.2100,25.9500,23.8300,25.5700,25930036,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-02-08,25.5000,26.0500,24.7000,25.7900,23861041,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-02-09,24.9000,25.3400,23.6700,24.3000,18937809,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-02-12,24.3200,26.7300,24.3200,26.7300,17915625,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-02-13,28.3000,29.4000,27.4100,28.0200,53825240,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-02-14,28.5000,28.5200,27.1100,27.2200,25505750,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-02-22,27.7500,29.9400,27.3200,29.9400,47754580,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-02-23,29.5000,30.1400,29.0600,29.7700,26243556,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-02-26,30.5200,31.1500,29.4400,30.6500,35173603,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-02-27,30.1000,31.4000,29.9000,30.3700,28867485,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-02-28,29.9500,33.3300,29.5000,32.7700,43478379,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-01,31.9500,36.0500,31.6500,36.0500,36333216,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-02,38.5000,39.5800,36.6600,37.2200,67786913,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-05,38.1100,40.9400,37.4000,40.9400,53707321,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-06,41.8100,41.9600,39.5500,40.2700,52317012,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-07,40.4000,41.3700,39.0600,40.0400,48590787,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-08,39.7100,40.6500,38.7000,39.3700,52065371,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-09,38.6700,42.8700,38.3000,40.6000,74302494,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-12,40.0000,41.3500,39.6000,41.2900,58318263,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-13,40.6600,41.0000,39.5900,40.0200,40844663,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-14,39.7800,41.5800,36.0200,36.0300,100792192,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-15,35.2000,36.1300,34.9100,35.8800,56479078,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-16,35.8800,36.3000,35.3500,35.6600,40412330,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-19,35.6000,36.6800,35.0300,35.9200,49170800,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-20,35.1100,37.5900,35.0100,36.9800,48909458,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-21,36.9800,37.3400,35.5500,35.8000,36736156,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-22,36.2000,36.6600,34.3000,34.5500,41206171,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-23,32.9900,34.5500,32.0100,33.2100,46519896,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-26,33.6000,36.5300,33.6000,36.5300,49827707,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-27,37.1800,38.2900,36.4100,38.2000,62127729,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-28,37.0800,38.4200,36.8400,37.4400,42740637,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-29,37.7000,38.3800,36.5000,37.4000,33631183,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-03-30,37.4500,38.8500,37.0000,38.1900,45597198,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-04-02,37.9900,38.6800,36.6500,37.7400,41923959,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-04-03,37.0000,37.2500,34.3000,35.7300,46429077,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-04-04,35.6000,35.8800,33.7000,34.3900,33249707,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-04-09,34.6700,35.6600,33.6900,35.0700,27375265,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-04-10,34.6500,34.7900,33.8100,34.7400,21039775,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-04-11,35.1000,35.9400,34.5000,34.8100,28652929,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-04-12,34.9300,35.5500,34.5000,34.8800,17979057,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-04-13,35.2000,35.4500,33.9400,34.2100,17979303,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-04-16,33.9400,37.6300,33.5100,37.6300,47518100,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-04-17,37.5900,37.9000,35.2000,36.3000,35406269,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
2018-04-18,36.0000,38.3400,35.7400,37.7100,43419054,sh.600588 | 用友网络 | baostock | adjustflag=3 raw
