time,open,high,low,close,volume,note
2018-06-08,16.5200,19.8300,16.5200,19.8300,1672614,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-06-11,21.8100,21.8100,21.8100,21.8100,1932286,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-06-12,23.9900,23.9900,23.9900,23.9900,14492391,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-06-13,24.5500,26.3600,23.5600,25.7200,633217104,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-06-14,24.5100,24.8600,23.1500,23.2900,347782112,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-06-15,22.6000,23.1300,22.0200,22.5800,213870016,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-06-19,21.8300,21.8400,20.3200,20.3200,209967713,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-06-20,19.8000,20.2600,19.0100,19.8600,198271914,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-06-21,19.6000,19.7800,18.0500,18.1700,197849535,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-06-22,17.7000,19.1800,17.5300,18.7200,175575007,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-06-25,18.6200,18.7600,18.1300,18.2100,115443049,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-06-26,17.7400,18.6600,17.5500,18.5300,113725844,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-06-27,18.5000,18.8600,18.1800,18.2700,97039103,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-06-28,18.2200,18.6400,17.7600,17.8900,86399084,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-06-29,17.9500,18.6100,17.6000,18.4400,127800363,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-07-02,18.2000,18.3500,17.1000,17.5900,121806604,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-07-03,17.5400,17.9700,17.1000,17.9000,89742495,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-07-04,17.7000,17.8700,17.1200,17.1700,80724110,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-07-05,17.0000,17.5000,16.7100,16.9600,91199252,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-07-06,16.9100,17.6800,16.8000,17.2300,105690560,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-07-09,17.2300,17.5000,17.0900,17.4700,80084021,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-07-10,17.5100,17.5400,17.2000,17.3500,65616875,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-07-11,16.9500,17.1000,16.5400,16.6500,79234984,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-07-12,16.6500,18.2800,16.6500,17.9600,179476511,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-07-13,17.7000,17.7900,17.4800,17.6200,99440876,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-07-16,17.6200,18.1900,17.5600,17.8400,91002211,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-07-17,17.8400,17.8500,17.4400,17.6900,61176816,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-07-18,17.6900,17.7600,17.1800,17.2100,62140093,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-07-19,17.1800,17.3800,16.8700,16.9300,52695296,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-07-20,16.9100,17.4800,16.7300,17.3000,71270453,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-07-23,17.1100,17.3000,17.0400,17.2500,48368564,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-07-24,17.2300,18.1000,17.2000,18.0600,125054476,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-07-25,18.0000,18.0100,17.5900,17.7100,85980738,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-07-26,17.6600,18.0500,17.6300,17.7600,66539746,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
2018-07-27,17.6800,17.6800,17.2800,17.2900,54516175,sh.601138 | 工业富联 | baostock | adjustflag=3 raw
