time,open,high,low,close,volume,note
2010-01-04,55.4900,55.5900,53.8300,53.8900,29364012,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-01-05,54.0300,55.2000,52.8100,54.5700,36015762,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-01-06,54.4000,54.9000,53.3000,53.4100,33204602,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-01-07,53.4000,53.8100,51.8700,52.4200,36541819,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-01-08,52.4200,52.4200,51.3000,52.1100,32302182,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-01-11,54.5000,54.9000,51.9500,52.3700,50140045,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-01-12,52.0000,53.0000,51.1100,52.8600,37824995,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-01-13,51.7000,52.0000,50.2700,50.3200,58478457,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-01-14,50.8000,51.5000,49.9000,50.9800,36926384,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-01-15,51.0000,51.3500,50.1000,51.0800,25819286,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-01-18,50.7700,50.7700,49.9400,50.3300,41756126,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-01-19,50.2700,51.3000,50.2600,50.5800,34086344,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-01-20,50.7000,50.8300,48.8800,48.9600,39586583,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-01-21,49.1000,50.4000,48.9100,49.9300,30793657,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-01-22,49.0000,50.6500,48.5000,49.9700,43798322,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-01-25,49.4000,50.6800,49.2200,49.7500,22515220,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-01-26,49.7800,49.9900,48.5000,48.6400,22919241,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-01-27,48.8100,48.9900,47.5000,47.6100,24137878,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-01-28,47.6700,47.7300,46.4400,46.7900,31026483,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-01-29,46.7000,47.4900,46.0000,46.4700,30866175,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-02-01,46.9600,47.9800,46.5700,47.8500,53318936,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-02-02,48.0000,49.4300,47.3500,47.4500,37989479,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-02-03,47.7500,49.8500,47.4000,49.8300,54863358,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-02-04,49.2000,49.8100,48.8600,49.3000,26613181,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-02-05,48.2600,48.6500,48.0000,48.0700,23861429,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-02-08,48.0300,48.6900,47.6100,48.0900,17571005,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-02-09,48.2400,49.1000,48.0000,48.7300,18502701,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-02-10,49.2000,50.1000,49.2000,50.0200,31677455,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-02-11,49.9800,50.4500,49.7200,49.9000,17018756,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-02-12,50.2000,50.3900,49.8700,50.0800,15650370,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-02-22,49.9900,49.9900,49.0500,49.0800,19112190,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-02-23,47.8900,47.8900,44.1700,44.7200,163390810,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-02-24,44.2000,44.7800,44.0000,44.6100,67223886,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-02-25,44.8500,45.5700,44.7300,45.2200,61458659,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-02-26,45.0500,45.5600,44.8300,45.0200,48719160,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-01,45.9800,46.8800,45.3100,46.7000,56701376,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-02,46.7000,46.9800,46.3100,46.5800,33599279,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-03,46.6300,46.8000,45.9400,46.4200,26000387,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-04,46.4600,46.6700,45.0100,45.0600,31642261,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-05,45.3000,45.7000,45.1000,45.4900,24915348,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-08,45.6000,46.3400,45.4200,46.1600,22699556,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-09,46.1900,47.7000,45.7000,47.0500,41912842,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-10,47.0600,47.7500,46.8500,47.2400,30793102,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-11,47.2500,47.7100,46.5300,47.0000,21858044,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-12,46.9800,47.3700,46.6100,46.6500,20661480,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-15,46.6000,46.6300,45.2600,45.6100,26418067,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-16,45.6000,45.9800,45.0200,45.6600,18528421,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-17,45.8600,48.4900,45.8100,48.3200,54247172,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-18,48.0000,48.6800,47.9000,48.0000,34250371,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-19,48.0500,48.5000,47.6000,48.4600,24653096,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-22,48.4200,48.8000,48.1100,48.3900,22970086,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-23,48.5400,48.6500,47.5000,47.6700,18649227,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-24,47.9100,48.5000,47.6700,47.8700,17473094,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-25,47.8600,47.8600,47.0000,47.2000,15714878,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-26,47.1300,48.7900,47.1000,48.2400,28524667,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-29,48.7000,50.6800,48.6100,50.2400,53440136,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-30,50.2500,51.0000,50.1100,50.8400,34000813,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-03-31,50.6500,50.9000,50.1700,50.4000,20379791,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-04-01,50.4000,51.6000,50.4000,51.2700,23915425,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-04-02,51.4000,51.8600,51.0000,51.5100,17638506,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-04-06,52.0000,52.1300,50.6100,50.9300,20292431,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-04-07,50.6700,51.3700,50.3100,50.8300,16340651,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-04-08,50.7700,50.7700,49.4900,49.6800,24534044,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-04-09,49.9500,50.8200,49.7100,50.7000,21574261,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-04-12,50.7000,50.9600,49.1100,49.9200,30865449,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-04-13,50.0300,52.2000,50.0300,51.8900,60360278,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-04-14,52.0100,52.3400,51.5000,52.2200,29644063,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-04-15,52.0000,52.8800,51.5600,52.5300,30484880,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-04-16,52.2000,52.3500,51.0000,51.0900,24250128,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-04-19,50.5000,51.6000,49.1600,49.2100,50076705,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-04-20,49.8000,50.9400,49.1000,50.6200,42372603,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-04-21,50.7000,52.3600,50.5000,52.0200,45496056,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-04-22,51.7000,52.8500,51.3000,51.7700,43291608,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-04-23,52.0500,52.9500,51.1000,51.7700,35542519,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-04-26,51.7600,52.0900,50.6800,50.6900,22669544,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-04-27,50.3900,50.3900,48.5100,49.6400,38528833,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-04-28,48.9000,49.7300,48.7000,48.9900,19485414,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
2010-04-29,49.5000,49.8700,48.4000,48.4600,18382350,sh.601318 | 中国平安 | baostock | adjustflag=3 raw
