time,open,high,low,close,volume,note
2018-01-02,49.0000,50.5700,47.8000,50.5700,24117001,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-01-03,53.0000,55.6300,52.6100,55.6300,18047055,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-01-04,61.0000,61.1900,59.6000,61.1900,7024221,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-01-05,66.5000,66.5000,55.0700,55.4200,72643793,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-01-08,54.5500,55.4000,52.3300,53.3600,40804367,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-01-09,53.0000,53.1000,51.3400,52.5300,28344914,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-01-10,53.1900,54.0100,50.0700,51.1100,38493554,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-01-11,50.9300,53.7500,49.0300,52.5200,39093172,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-01-12,51.8500,52.1400,50.1000,50.2100,25743348,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-01-15,48.6200,49.2000,46.2700,47.0500,27161903,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-01-16,46.8000,49.0000,46.2100,48.2100,21086023,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-01-17,47.2000,49.8600,46.9100,48.2700,20240477,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-01-18,47.6100,50.6400,47.2800,49.5300,22698685,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-01-19,49.4200,50.0000,47.7100,47.9400,18219939,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-01-22,47.1000,47.4400,45.5000,46.4900,15942930,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-01-23,46.6000,47.3000,45.8600,46.3900,10223540,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-01-24,46.3000,47.7800,45.9000,47.0800,14004193,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-01-25,46.9000,47.5000,46.0600,46.1200,12428410,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-01-26,45.8000,46.6000,45.1100,45.4500,11679159,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-01-29,46.2000,49.8000,45.6000,48.6400,24606194,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-01-30,49.0000,53.5000,49.0000,53.5000,37399423,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-01-31,55.0000,55.8800,51.2000,51.2600,37234004,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-02-01,49.9700,51.6000,49.0100,50.0300,21872506,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-02-02,54.0000,55.0300,52.0200,55.0300,25471230,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-02-05,55.0000,60.5300,53.8800,60.5300,36025537,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-02-06,58.7000,60.4500,54.4800,54.4800,34965214,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-02-07,56.4000,59.4800,54.5000,57.9900,38767633,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-02-08,56.8800,60.8900,55.1500,57.1700,36779918,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-02-09,53.8000,54.7000,51.4500,51.4500,34030404,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-02-12,52.5000,53.5000,51.4500,52.2900,18486114,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-02-13,53.8000,57.5200,53.1100,57.5200,22514233,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-02-14,61.5000,63.2700,60.0000,63.2400,40461380,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-02-28,65.6700,65.6700,56.9200,56.9200,46084926,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-01,52.7000,53.8000,51.2300,52.4400,46468866,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-02,51.5500,53.7100,51.3100,53.0000,35406440,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-05,52.1800,52.5800,48.7000,51.1200,34380529,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-06,50.2500,51.0800,49.7100,50.3800,24084855,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-07,50.4800,51.4000,47.1800,47.9200,36270852,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-08,47.0000,49.5300,46.3300,49.3300,30595701,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-09,49.0000,50.6500,47.8000,49.9100,31796984,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-12,49.6400,51.0000,49.3000,49.7800,23325498,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-13,49.7700,54.7600,48.1100,53.9100,47816781,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-14,52.3200,53.4900,49.7600,49.8600,36962748,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-15,48.0000,49.0000,47.4600,48.2200,22429575,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-16,48.0300,49.6800,48.0100,48.0800,15606390,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-19,47.5100,48.0000,46.5100,47.0000,16966721,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-20,46.3300,47.4900,45.8800,46.4100,15751250,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-21,46.9200,49.4500,46.7100,47.6400,24925957,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-22,47.5600,47.9400,46.1000,46.2900,16429472,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-23,43.0700,44.1900,41.6600,41.6600,25338143,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-26,40.0000,41.3500,38.1300,40.9700,19520903,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-27,41.5200,42.8000,41.5100,41.7300,17651468,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-28,40.4000,41.4500,39.8000,40.0100,14103369,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-29,40.4500,40.8100,40.0400,40.7300,11733154,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-03-30,41.0000,43.3300,40.4100,42.3300,20884831,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-04-02,41.7000,42.5900,41.0200,41.2300,16843504,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-04-03,40.0000,40.5000,39.5100,39.8000,14200312,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-04-04,41.9000,43.7000,41.3100,41.4600,25280793,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-04-09,40.2600,41.2300,39.5000,40.7200,14426781,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-04-10,40.9000,42.2600,40.1200,41.5000,15815152,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-04-11,41.7900,42.5000,41.1000,41.5800,13916283,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-04-12,41.3000,42.1000,40.8000,40.8600,11014330,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-04-13,41.0000,41.5000,40.6100,40.7800,8357433,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-04-16,40.0000,40.4900,39.5100,40.0100,10731181,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-04-17,40.1100,41.8700,39.3600,40.8200,17618569,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-04-18,40.9500,43.2000,40.5000,42.7100,25527257,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-04-19,42.8800,44.6800,42.2000,43.7700,27164935,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-04-20,43.2000,44.0800,42.7300,42.8500,18698404,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-04-23,43.1000,43.1000,39.5000,40.1400,21943346,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-04-24,39.8000,40.8100,39.0200,40.6500,13788357,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-04-25,40.1300,40.9700,39.9000,40.4700,10497017,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-04-26,40.5800,40.5800,39.0000,39.0400,10483281,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-04-27,38.9700,39.4900,36.1200,36.7600,17666567,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-05-16,35.3000,39.8500,35.3000,37.8900,22909668,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-05-17,37.4500,37.8000,35.6900,35.9800,16838698,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-05-18,36.0100,36.0100,32.6400,33.3800,24352101,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-05-21,33.5500,34.1100,33.3100,33.7200,11719043,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-05-22,33.6600,36.5000,33.3800,36.2200,23734902,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-05-23,35.6900,35.6900,34.8100,34.8700,13551395,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-05-24,35.3800,35.7600,34.8800,34.9100,10905054,sh.601360 | 三六零 | baostock | adjustflag=3 raw
2018-05-25,34.9100,35.2500,33.4500,33.8000,10951942,sh.601360 | 三六零 | baostock | adjustflag=3 raw
