time,open,high,low,close,volume,note
2018-05-08,25.9200,31.1000,25.9200,31.1000,29739,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-05-09,34.2100,34.2100,34.2100,34.2100,20661,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-05-10,37.6300,37.6300,37.6300,37.6300,8500,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-05-11,41.3900,41.3900,41.3900,41.3900,55195,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-05-14,45.5300,45.5300,45.5300,45.5300,73713,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-05-15,50.0800,50.0800,50.0800,50.0800,89725,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-05-16,55.0900,55.0900,55.0900,55.0900,98871,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-05-17,60.6000,60.6000,60.6000,60.6000,196587,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-05-18,66.6600,66.6600,66.6600,66.6600,311615,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-05-21,73.3300,73.3300,73.3300,73.3300,176218,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-05-22,80.6600,80.6600,80.6600,80.6600,259098,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-05-23,88.7300,88.7300,88.7300,88.7300,268867,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-05-24,97.6000,97.6000,97.6000,97.6000,590152,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-05-25,107.3600,107.3600,107.3600,107.3600,2535836,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-05-28,118.1000,118.1000,118.1000,118.1000,2113519,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-05-29,129.9100,129.9100,129.9100,129.9100,4196101,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-05-30,135.0900,135.5700,119.3000,120.3700,72523591,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-05-31,124.2000,132.3400,116.0300,129.7000,42738509,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-06-01,126.1100,134.8700,124.5000,132.8700,32630686,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-06-04,136.3900,138.8700,119.5800,120.9000,36227220,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-06-05,118.0000,121.7200,113.9900,119.7800,26763623,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-06-06,118.1000,124.4400,117.0600,124.0600,25913717,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-06-07,123.0000,123.6000,118.8500,119.0300,18632920,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-06-08,117.0800,121.4400,116.0100,118.4600,17894569,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-06-11,115.7600,116.6400,107.0000,108.1200,25019713,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-06-12,109.6100,111.3000,106.1300,109.8000,17399563,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-06-13,108.5000,111.8000,106.7100,107.9800,16810346,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-06-14,105.0000,108.6200,99.2800,100.2600,24191241,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-06-15,100.6600,102.4400,99.0600,100.5300,15404365,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-06-19,97.7500,102.3600,95.5800,98.9400,17835774,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-06-20,99.8000,102.1800,96.1600,100.9900,17388669,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-06-21,100.8000,101.5000,90.8900,91.3900,22405240,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-06-22,88.6500,92.1500,87.3600,89.9000,15708505,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-06-25,90.1000,95.3900,89.6000,93.0200,17428841,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2018-06-26,91.2800,95.9900,90.5000,95.7000,14789749,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
