time,open,high,low,close,volume,note
2018-03-02,150.0000,174.4400,150.0000,151.6800,14570951,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-03-05,153.0100,166.8500,153.0000,166.8500,11077096,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-03-06,171.1400,183.4200,171.0000,177.1200,9820638,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-03-07,175.3100,181.0000,170.5100,175.4800,6882712,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-03-08,176.4300,178.8800,170.5100,172.8000,5361468,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-03-09,171.3000,181.0000,171.0800,175.2800,6935713,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-03-12,177.0000,192.8100,175.5000,192.8100,7097494,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-03-13,196.0000,207.8900,193.0000,196.8600,7687516,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-03-14,198.8800,202.0000,189.0000,192.7000,6030373,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-03-15,191.3000,199.9800,191.1000,199.6600,5645599,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-03-16,201.0000,204.6500,185.1800,190.0100,6972848,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-03-19,188.0000,207.5000,187.6600,204.5800,7284526,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-03-20,203.0700,207.5000,200.1200,202.6100,3858922,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-03-21,203.3300,204.3300,191.1000,193.5600,5740973,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-03-22,193.5300,195.2900,180.8100,182.1200,6862630,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-03-23,173.0000,184.5000,171.0100,177.1200,7904498,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-03-26,182.3000,192.7700,180.8000,188.9400,6464864,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-03-27,191.7700,198.0800,186.0000,195.9000,7203234,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-03-28,192.1000,204.7700,192.1000,194.8400,5442422,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-03-29,197.0000,199.9000,182.8000,190.8900,5347580,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-03-30,191.0800,198.5500,188.5000,196.8000,6245004,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-04-02,200.0000,215.6700,198.5900,207.9400,8846693,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-04-03,205.0000,211.8000,198.6800,208.8200,5683928,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-04-04,208.0000,209.4700,199.4000,199.8500,4485000,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-04-09,199.8600,201.8800,191.0100,195.2800,3766980,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-04-10,193.9700,195.0000,184.4400,191.1900,4726508,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-04-11,190.9700,197.0000,188.9600,191.4300,2587986,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-04-12,190.0000,193.5300,180.1000,181.0000,4453829,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-04-13,183.0200,190.4000,180.6800,186.9300,4256244,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-04-16,184.0000,192.5000,180.5000,187.7000,5093057,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-04-17,193.0000,199.1900,177.3800,178.1700,7937109,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-04-18,181.0000,195.9900,177.9100,195.9900,8912764,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-04-19,199.0000,206.7100,195.5000,196.8800,8589157,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-04-20,195.0000,209.9000,194.7600,205.3700,8924980,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-04-23,205.0100,205.5000,192.2100,193.7100,6591356,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-04-24,191.0000,199.4900,185.0000,199.1500,5107364,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-04-25,195.5500,198.0000,186.8800,189.5600,5797289,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-04-26,188.6800,193.2800,180.4000,181.2300,5911682,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-04-27,185.6800,185.6800,169.0000,174.5900,6809531,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-02,174.2000,180.3500,171.5000,174.4800,4389837,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-03,167.0000,169.0000,157.0900,168.1100,7335945,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-04,166.0000,176.4500,164.6800,173.1800,4989869,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-07,172.2000,176.3300,169.8800,173.1100,3110685,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-08,174.0000,178.1700,170.0100,172.9900,3065218,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-09,171.2000,176.9700,171.0500,172.7200,2941584,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-10,171.9500,172.9800,165.1300,166.9100,3475041,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-11,166.7500,167.8000,161.5900,165.0700,2989289,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-14,162.0000,167.3000,160.2000,161.7100,2922936,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-15,161.9000,164.3500,157.5100,163.8900,4073399,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-16,163.0000,175.2700,162.2000,169.2900,5605069,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-17,170.0900,173.4700,167.0500,170.5500,2747977,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-18,170.5000,171.9500,164.5000,167.5600,2256226,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-21,118.8000,131.3500,118.8000,131.3500,6971818,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-22,129.0100,131.5000,127.3300,128.8700,5288837,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-23,128.6000,131.5800,127.8000,128.2700,5340639,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-24,128.0500,129.0000,123.0000,123.2300,4504575,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-25,123.2100,125.5000,120.1400,120.6500,4016510,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-28,120.3200,121.9700,115.8000,116.0000,4194219,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-29,116.9900,118.3300,112.5000,113.2000,4611409,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-30,111.1800,116.4300,108.5500,109.7100,5503600,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-05-31,110.6900,111.8000,104.6100,108.4500,5363198,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-06-01,107.9000,109.9900,103.1600,104.1800,5795939,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-06-04,105.8800,108.3200,103.8000,105.9300,5423525,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-06-05,106.6000,112.5000,105.2000,111.6800,5894640,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-06-06,110.9900,112.6000,109.6800,111.1000,4639368,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-06-07,112.3000,112.5000,107.4300,108.3300,3486759,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-06-08,107.0000,108.1000,103.5200,104.7000,4887901,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-06-11,103.8800,103.9500,100.0000,100.2600,4851780,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-06-12,100.2500,101.5000,96.8500,100.0000,5942749,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-06-13,100.5000,106.6600,99.5000,103.8300,7040907,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-06-14,102.7200,105.9600,101.2000,103.9200,4635063,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-06-15,103.7400,105.6800,101.0000,104.8700,4241643,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-06-19,103.5200,109.7100,95.5600,101.1900,7296284,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-06-20,99.5000,103.0000,96.5000,100.2600,5330397,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-06-21,98.7300,99.9800,90.4100,90.5600,6555836,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-06-22,89.1700,93.8000,88.0100,91.9200,4863864,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-06-25,93.0900,93.8000,90.2500,90.8700,3517600,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-06-26,89.0200,99.9600,88.7000,97.6400,8457155,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-06-27,98.5000,102.9300,98.5000,101.0100,8742920,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-06-28,100.9800,103.5000,98.5000,98.7000,5009103,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-06-29,100.0000,108.5700,99.3100,108.5200,8736188,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-02,107.9000,109.5000,104.9100,107.5300,6852446,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-03,107.2000,116.5000,105.3800,113.1600,9520038,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-04,112.1300,113.9800,107.8000,109.2700,7494667,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-05,107.6900,108.8800,102.4500,102.5500,8276908,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-06,102.0700,108.9000,102.0700,103.3800,8782563,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-09,103.5000,105.9900,102.5500,104.5900,5920830,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-10,103.8800,105.6000,100.5000,102.8100,6252191,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-11,100.0000,103.1700,98.2100,100.9500,6155012,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-07-12,101.6000,111.0000,101.5000,109.1500,10890274,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
