time,open,high,low,close,volume,note
2019-07-22,109.8000,125.0000,62.0000,81.0300,36520183,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-07-23,74.9600,89.7900,74.9000,83.2800,17441884,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-07-24,84.0000,85.9800,81.2000,85.0000,13791161,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-07-25,84.3000,89.8900,83.8000,87.1100,16005684,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-07-26,85.0000,86.5000,78.0000,78.5900,12001208,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-07-29,78.8000,83.5000,78.8000,82.0300,9232525,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-07-30,82.2000,84.5000,80.5800,83.7800,10526392,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-07-31,83.8100,91.8800,83.8100,88.4800,16798110,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-01,86.6500,91.5900,85.9300,91.0500,16036874,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-02,88.6000,102.3000,88.0600,95.5000,21739755,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-05,94.9900,99.5100,90.1100,99.3700,16109072,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-06,97.0000,106.5000,87.5000,91.0000,21003763,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-07,92.9900,94.3500,85.7000,90.0100,12660483,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-08,90.0000,92.5500,86.5000,86.5000,9782281,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-09,87.0000,87.8000,81.5100,81.8800,9546931,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-12,81.7500,84.4500,78.9800,82.9300,7021680,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-13,82.8000,83.8700,81.0200,83.7400,5595248,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-14,84.6700,85.0600,83.0000,84.0000,5915410,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-15,81.4700,83.1700,80.9000,83.0100,5346393,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-16,83.0100,84.4100,82.2000,82.6000,4841838,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-19,82.6100,83.3800,80.6100,82.9500,6210595,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-20,83.0000,85.0000,82.5200,84.0500,6855238,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-21,83.6900,84.6600,79.5000,79.6000,7440739,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-22,80.9900,86.5100,80.2600,82.6000,11053404,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-23,81.0200,81.8000,74.0100,75.4500,11264204,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-26,75.3000,76.7600,74.0800,74.9200,4700089,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-27,74.6000,75.6400,74.1800,75.3100,3908419,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-28,75.0000,75.5000,72.5100,72.6000,4661423,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-29,72.8000,73.0800,69.6900,71.5000,5494909,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-08-30,71.7900,72.3600,70.6500,70.7100,3367142,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-09-02,71.7100,73.8600,70.7100,72.8200,4209172,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-09-03,72.2900,78.3800,72.2800,76.8600,7565368,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-09-04,77.8200,82.8900,76.8900,77.4000,9248514,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-09-05,76.8000,79.3000,76.0100,77.9000,5786848,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-09-06,77.0000,78.1800,75.0000,75.2000,4509972,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-09-09,75.5000,77.4200,75.2000,76.2800,3400839,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-09-10,76.3100,78.5000,76.3000,76.9500,3453237,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-09-11,76.9100,77.7600,76.1300,76.1300,2840615,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-09-12,76.1300,76.2800,72.6200,73.0400,3993047,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-09-16,73.0500,73.8600,72.8300,73.2200,1824180,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-09-17,72.8300,73.5000,71.4600,71.4800,2020646,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-09-18,71.5100,71.8400,70.0200,70.5000,1900315,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-09-19,70.5000,73.2300,70.2400,72.5300,3092492,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-09-20,72.0300,73.9300,72.0300,73.4300,2681099,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-09-23,73.3100,76.6800,71.1700,75.9800,3753503,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-09-24,75.5000,84.3000,75.2300,81.5700,11289066,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-09-25,80.8900,81.9000,76.8800,77.2000,6255140,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-09-26,77.8900,78.0000,70.9000,70.9700,6068111,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-09-27,70.9800,73.8000,69.9800,72.5700,3232391,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-09-30,72.5000,72.9500,67.9700,68.8500,3680576,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-10-08,67.9100,69.4500,66.6600,66.9100,2498744,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-10-09,66.8000,68.5000,66.3600,68.3000,1543275,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-10-10,68.7000,69.8100,68.1600,69.3400,1693131,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-10-11,69.5800,69.5800,67.6500,67.9500,1706595,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-10-14,68.6400,68.9700,67.0000,68.3600,2151170,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-10-15,68.2300,68.7600,66.6800,66.7300,1988198,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-10-16,66.9000,67.2900,64.7300,64.8000,2181753,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-10-17,64.7400,65.1500,63.4700,63.6900,1730317,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-10-18,64.0000,65.7400,63.8000,64.1500,2104100,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-10-21,63.6000,63.9900,60.0800,61.4600,2415364,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-10-22,61.0000,62.6200,61.0000,62.0300,1163414,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-10-23,62.0300,66.2800,61.5100,65.2300,3042153,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-10-24,64.5000,65.6800,63.6000,63.7700,2127019,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-10-25,63.3800,63.9400,61.7700,62.4400,1416205,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-10-28,63.2000,66.4700,63.2000,65.8400,2896490,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-10-29,67.8200,67.9000,64.8300,64.8300,2873710,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-10-30,64.0000,68.4500,63.5000,66.0000,3876265,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-10-31,66.3900,68.6500,65.6000,67.6000,3980463,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-11-01,66.9600,72.6600,66.6700,70.0900,5294600,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-11-04,71.0000,72.5800,69.8000,70.7900,3872555,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-11-05,70.1100,71.3900,68.8300,69.4700,3318874,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-11-06,69.0500,70.7000,66.3600,66.7600,3166810,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-11-07,66.7700,70.1400,66.4700,69.6000,3648855,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-11-08,69.3300,72.5600,68.8600,68.8800,4240114,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-11-11,67.8300,68.2100,65.4000,65.5000,3130360,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2019-11-12,65.3200,66.7500,65.3200,65.7900,1770264,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
