time,open,high,low,close,volume,note
2019-09-30,53.0000,69.0000,53.0000,57.8000,48626644,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-10-08,55.0000,55.5500,50.0600,50.2400,23192047,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-10-09,48.5300,50.7000,46.8100,48.0300,15214007,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-10-10,48.4800,51.4800,48.1600,49.7500,13581980,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-10-11,50.1800,50.2000,47.4700,47.5700,13688025,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-10-14,47.5500,47.7600,45.7900,47.4900,13324889,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-10-15,46.9800,47.8600,46.4100,46.6700,6983536,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-10-16,46.8000,46.8700,45.0900,45.0900,8806389,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-10-17,45.0000,45.0000,42.6100,42.8000,11143678,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-10-18,42.9800,44.9900,42.3000,43.3100,11275688,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-10-21,42.6600,42.6800,40.5500,40.9700,9108841,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-10-22,41.2400,42.0500,40.8800,41.9400,6184878,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-10-23,41.8900,46.7500,41.2400,45.3100,16301308,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-10-24,44.5000,45.9800,44.1000,44.3300,9776896,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-10-25,44.3300,45.4900,44.0000,45.0000,7427091,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-10-28,45.0300,46.6200,44.3000,45.9300,9065875,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-10-29,45.7600,46.6000,44.0600,44.0900,8326240,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-10-30,45.0200,46.2500,44.0000,44.4400,9046524,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-10-31,44.1900,44.4000,41.4100,41.6600,8340900,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-11-01,41.7600,42.7100,41.4900,42.1600,4449242,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-11-04,42.9800,43.4600,42.6900,42.7800,4815490,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-11-05,42.2900,42.3300,40.8500,41.4600,6591242,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-11-06,41.1000,41.9900,40.6900,40.9100,4809262,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-11-07,41.0600,42.5200,40.9800,41.9800,5888498,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-11-08,41.9800,43.2000,41.9800,42.7500,5882095,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-11-11,42.3400,42.3400,40.9000,41.0000,4165271,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-11-12,41.3300,42.8700,40.6300,42.7600,6158767,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-11-13,42.6200,43.6700,42.3100,43.3000,6728100,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-11-14,43.2900,44.4600,42.6600,43.4700,6657127,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-11-15,43.2500,44.4500,42.5800,42.5800,5220370,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-11-18,42.5400,42.9100,41.3300,41.6900,4896585,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2019-11-19,41.8000,42.3300,41.5200,42.1500,3833002,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
