time,open,high,low,close,volume,note
2022-08-12,70.0000,73.8000,60.1000,60.1000,119133625,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-08-15,57.0000,61.1900,56.7000,56.8200,59475630,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-08-16,56.0000,61.6600,55.0100,60.6900,45226222,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-08-17,60.3500,61.8600,56.8000,57.6400,30965039,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-08-18,57.0200,58.7900,55.5000,57.6500,20379982,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-08-19,58.0100,59.1000,54.0200,54.2600,19856238,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-08-22,54.0000,56.9600,53.9500,56.3500,17120114,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-08-23,55.9300,60.8300,55.8000,59.8700,21665593,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-08-24,59.3000,60.9600,57.2300,58.7500,12285793,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-08-25,59.0100,59.3000,54.3500,55.3000,13214891,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-08-26,54.8100,55.9400,50.0000,50.2000,21365287,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-08-29,49.0400,51.2700,48.6900,49.0900,11626638,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-08-30,49.0200,52.7700,48.9200,51.7400,16427156,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-08-31,52.0000,53.7600,50.0000,50.1800,12120606,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-09-01,57.1000,59.8000,53.8500,54.4700,44421194,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-09-02,54.9100,59.8000,54.9100,56.1000,26976389,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-09-05,55.1000,55.6200,51.2700,52.1700,20327715,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-09-06,52.9500,53.5800,51.3400,53.3000,12381516,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-09-07,53.6000,57.2900,53.3000,54.8700,14913190,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-09-08,54.8600,57.2000,54.5100,56.6200,12792981,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-09-09,57.0100,57.4800,54.9200,55.8000,6704055,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-09-13,56.1900,58.2200,55.5800,55.8100,7799766,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-09-14,55.0000,59.4900,54.3300,59.2100,14025063,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-09-15,58.5100,61.4000,55.8000,56.2000,16768023,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-09-16,55.8900,65.2000,55.6700,62.6000,27395163,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-09-19,62.6000,68.0300,62.0800,62.8700,21933351,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-09-20,63.5000,64.8800,61.0100,62.7100,11899013,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-09-21,62.5000,63.0000,60.0600,60.8100,10193140,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-09-22,60.5800,65.5900,60.4000,63.3400,11563234,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-09-23,62.7900,64.3400,60.8000,61.1200,10718889,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-09-26,60.3100,62.3600,59.3300,60.3000,9431701,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-09-27,60.3000,61.7500,58.1100,61.7500,10398608,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-09-28,60.8000,61.0500,57.3700,58.1900,10687492,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-09-29,58.9200,61.5800,58.0000,60.9000,10062079,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-09-30,60.7800,61.9800,58.8100,58.8200,7163333,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-10-10,55.9000,55.9000,47.0600,47.0600,17192303,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-10-11,45.9700,46.4500,37.7300,38.0000,42514760,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-10-12,37.1900,39.0300,36.2200,38.5500,34500124,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-10-13,37.8000,40.6400,37.4500,38.8000,27786701,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-10-14,39.2000,39.4600,37.4900,38.9200,26473453,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-10-17,38.1100,41.2000,38.0300,40.5800,31442274,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-10-18,40.1500,40.4900,39.3500,39.7600,17666665,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-10-19,39.4900,40.1700,37.6000,37.8000,21493781,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-10-20,37.4000,41.8600,37.2000,39.7000,38089292,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-10-21,39.0000,39.0000,37.8000,38.3500,20923505,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-10-24,38.3500,39.9900,38.2900,38.8000,20343718,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-10-25,38.5900,39.7600,37.7600,38.8900,16350062,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-10-26,39.1100,40.3000,38.1000,39.9400,23138719,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-10-27,40.4500,40.5000,38.6800,39.4000,25173627,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-10-28,39.2600,40.3700,38.8000,38.9500,21378750,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-10-31,39.1800,46.2900,39.1100,44.6800,40248329,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-01,44.0000,46.1500,43.8900,45.0700,23373920,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-02,45.0900,46.2000,44.2100,44.5800,18341068,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-03,44.5700,45.4700,43.6100,44.9100,18195328,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-04,44.1100,44.8700,43.1000,44.3400,19257466,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-07,44.0000,44.2500,42.5800,43.5900,19138619,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-08,43.5800,48.1300,43.5800,47.0300,31993667,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-09,47.0000,50.3700,46.9700,49.3900,25901582,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-10,48.7000,49.3000,46.0900,46.2500,19736091,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-11,47.8800,47.9000,46.0100,46.6000,14390587,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-14,46.6800,46.8000,44.5400,45.6000,11937612,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-15,45.6000,48.5500,45.1300,47.5600,13827590,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-16,47.9500,47.9500,45.5600,45.7700,11987054,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-17,45.4600,47.3800,44.7000,46.8900,11383354,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-18,46.5100,47.3800,45.4200,45.7500,9000789,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-21,45.1100,46.3900,45.1100,45.7400,6045714,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-22,45.6800,46.9800,45.0000,45.5300,9095430,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-11-23,45.5800,45.9100,41.9900,43.6000,14601665,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
