time,open,high,low,close,volume,note
2019-11-18,140.0000,145.5100,125.0000,126.3500,42314660,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-11-19,133.0000,138.3200,128.0100,136.0100,13576176,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-11-20,136.0000,149.0000,135.0100,147.2000,9634684,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-11-21,143.0800,145.5800,136.6900,141.9300,7719363,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-11-22,139.4900,143.0000,132.0000,133.4800,7130685,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-11-25,134.2700,136.5000,128.0000,133.9600,5208118,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-11-26,132.9900,134.2600,128.8000,133.8000,3045689,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-11-27,133.9900,137.7700,131.8700,134.3000,2240352,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-11-28,134.0100,138.1100,131.3300,133.6800,2999643,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-11-29,133.2200,140.0000,133.2200,136.5000,3486749,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-02,136.0000,142.0000,135.9900,138.2900,2916422,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-03,137.9900,140.4500,132.8300,137.0000,2267953,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-04,135.7500,141.0000,134.3000,139.6600,2386285,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-05,139.0100,141.0000,136.3500,138.0800,2161965,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-06,137.2500,139.9000,134.8500,136.9000,1655789,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-09,133.1000,143.6000,133.1000,143.6000,3229564,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-10,142.0000,162.9700,140.4000,151.5000,5191733,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-11,149.1000,156.6600,149.1000,153.9700,2261336,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-12,153.9000,165.0000,149.9900,153.6000,2077291,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-13,154.9100,156.0000,149.9900,153.6100,1791900,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-16,153.7900,167.0000,151.9300,167.0000,2567409,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-17,165.7000,173.2900,162.1000,165.9000,1958178,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-18,165.4100,173.5000,165.1500,171.3100,2101750,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-19,168.6200,175.0000,159.0800,160.1600,2614764,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-20,160.0100,167.8000,156.3000,166.9500,2411720,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-23,163.0200,165.0000,152.0000,157.0000,3307565,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-24,157.0000,163.4500,155.0000,163.2000,1524806,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-25,160.8000,166.9800,160.5600,161.4000,1257989,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-26,160.1300,165.9500,160.1000,165.3200,1330769,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-27,164.2200,166.9700,161.0500,161.7000,1579247,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-30,161.2200,165.4600,155.0000,163.9000,2159682,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2019-12-31,162.8500,164.0000,156.7000,163.9000,2898926,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2020-01-02,163.2100,163.4700,152.8800,156.5000,4275380,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2020-01-03,155.3800,156.4500,148.8800,150.0000,2966103,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2020-01-06,150.5000,153.8900,147.2600,152.7900,2346643,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2020-01-07,150.0200,156.3800,150.0200,152.9800,2909342,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2020-01-08,152.0500,152.5000,147.0200,148.8100,2280282,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2020-01-09,151.0200,162.0000,149.0000,157.0000,4890013,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2020-01-10,158.0100,162.6200,154.5000,156.2700,2103436,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2020-01-13,156.3700,160.0000,153.6200,154.7700,2378767,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2020-01-14,154.5100,161.5000,154.0000,160.5100,2688582,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2020-01-15,160.0000,168.0000,158.1000,165.1800,2732588,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2020-01-16,165.1800,175.1300,162.0000,168.2000,2857884,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2020-01-17,170.0000,188.0000,168.0000,183.0000,3762210,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2020-01-20,184.0000,191.5600,173.9900,177.9000,3325408,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
