time,open,high,low,close,volume,note
2020-02-21,470.0000,538.8800,448.0300,500.1000,11290190,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-02-24,487.1300,494.9700,458.0000,462.0000,5028162,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-02-25,440.0000,477.0000,435.0600,468.9900,3484208,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-02-26,461.0000,465.0000,438.0000,443.0100,2677434,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-02-27,446.4700,446.4700,417.1700,418.1600,2580896,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-02-28,410.0000,442.5000,404.0000,433.0000,2587394,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-02,433.3900,447.6500,422.0000,443.6300,1885147,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-03,449.8800,453.0400,432.0300,432.1000,1655589,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-04,424.4000,427.0000,415.0100,421.5200,1356538,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-05,426.6800,444.0000,426.6800,435.2300,1343904,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-06,429.5900,468.0000,426.0500,458.0300,1953709,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-09,450.0000,452.1400,438.8800,438.8800,1247205,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-10,438.8900,447.9800,422.2000,447.6300,1528095,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-11,445.0100,448.0000,430.1100,431.0000,1008877,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-12,421.0000,424.4000,413.0200,416.5900,976464,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-13,390.0000,412.8500,388.0100,404.5000,983895,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-16,409.5000,409.6600,374.1800,374.9700,1210667,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-17,381.0000,384.9000,348.2800,365.9200,1120005,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-18,367.9900,372.5500,348.0100,348.5000,898179,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-19,346.0000,353.0000,333.3900,348.0000,1054321,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-20,351.9900,353.9900,345.0000,351.1900,622626,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-23,340.0000,340.0000,325.5700,326.1600,815473,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-24,335.1000,337.4500,319.6000,332.0900,631858,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-25,338.0000,355.1000,338.0000,345.7000,948076,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-26,340.2200,343.0000,332.4500,335.2000,547569,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-27,338.8900,342.9900,327.4100,329.8300,658888,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-30,319.5000,345.4900,315.1100,344.0000,1144082,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-03-31,343.1500,351.6900,343.0700,345.5000,635586,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-04-01,345.0000,351.5100,338.1000,340.1200,520107,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-04-02,340.2000,349.6200,335.0000,348.5000,664961,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-04-03,347.6700,347.6700,338.0000,338.0000,598647,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-04-07,343.0000,347.5900,340.0000,340.0000,600124,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-04-08,338.0000,338.5000,333.5100,333.5900,441554,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-04-09,335.9000,338.5800,333.9000,335.9000,353455,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-04-10,337.0000,337.0000,321.0000,322.6000,488803,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-04-13,319.0100,325.9400,315.2600,320.0000,467031,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-04-14,320.0500,329.7000,319.0000,328.6400,324991,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-04-15,328.0000,337.8000,327.1100,331.4400,419138,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-04-16,332.5000,333.9500,325.3000,331.0000,205144,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-04-17,332.7100,336.5500,328.2000,331.0200,294012,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-04-20,328.0000,330.0000,320.0800,322.5800,439076,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-04-21,320.0000,323.4800,318.0500,319.2000,239176,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-04-22,318.1500,329.4800,316.7300,326.7000,383785,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-04-23,326.7000,355.6000,326.7000,349.2200,834814,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-04-24,350.0000,369.5200,343.2200,366.5700,1100435,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-04-27,365.0100,375.6600,358.8000,360.1800,588975,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-04-28,350.0000,351.8000,316.2000,339.3400,1107550,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-04-29,333.1100,348.6000,330.3300,339.3800,510046,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-04-30,342.5200,380.0000,342.0000,376.0000,1074188,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-05-06,368.9900,386.7000,366.8100,384.7000,792551,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-05-07,382.0000,384.0000,368.2800,368.5800,560170,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-05-08,372.0000,376.8800,370.0000,374.7000,595771,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-05-11,374.7000,378.0000,364.7000,365.3700,428794,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-05-12,365.3700,367.5900,349.0000,357.9900,584041,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-05-13,356.3300,374.9700,356.0000,372.9200,617731,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-05-14,372.5000,376.0000,369.8000,374.5900,406505,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-05-15,375.1400,383.0000,373.3000,376.6200,472561,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-05-18,378.8300,382.3900,361.1300,364.9800,614539,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-05-19,371.0000,385.0000,365.3400,382.7000,667184,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-05-20,384.5100,400.0000,381.1300,392.2000,1008780,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-05-21,393.0100,404.6900,386.0300,387.9900,763013,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-05-22,388.9000,398.0000,373.1000,380.0800,626285,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-05-25,380.0000,383.3000,370.1800,377.3000,454041,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-05-26,384.0000,399.7500,381.5100,399.6200,707497,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2020-05-27,398.5000,404.0000,387.3300,388.4300,501822,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
