time,open,high,low,close,volume,note
2022-01-26,8.5000,11.9500,8.5000,10.5500,881979200,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-01-27,10.5000,11.3300,10.0500,10.1700,399821552,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-01-28,10.0300,10.8400,9.0700,10.5100,267374360,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-02-07,10.8400,10.9300,10.0100,10.6500,211856687,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-02-08,10.3100,10.6900,9.7200,10.3200,192848950,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-02-09,10.2600,11.2200,9.9700,11.0600,207079379,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-02-10,10.9300,10.9600,9.9500,9.9600,198970736,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-02-11,9.6900,10.1800,9.3200,9.4100,164957482,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-02-14,9.3000,9.5900,9.1800,9.4200,69529202,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-02-15,9.4700,10.1800,9.4000,9.9900,139622903,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-02-16,10.0800,10.5500,10.0200,10.4200,116988370,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-02-17,10.3800,10.9500,10.3100,10.5200,97291718,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-02-18,10.4300,10.9100,10.3800,10.5200,67050403,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-02-21,10.6600,11.4200,10.5300,11.3800,112630623,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-02-22,11.1900,12.1800,10.9600,11.6500,109691844,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-02-23,11.6500,11.7000,11.3200,11.4300,73302305,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-02-24,11.4300,12.2000,11.2100,11.6400,131256600,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-02-25,11.9900,12.2800,11.3600,11.5900,74772010,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-02-28,11.7900,12.8200,11.4000,12.5000,115958790,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-03-01,12.8600,13.7900,12.3100,12.7300,138961086,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-03-02,12.8900,13.0500,12.1800,12.8600,111988095,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-03-03,12.7500,12.9300,12.3000,12.3000,59774569,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2022-03-04,12.2000,12.8100,12.1000,12.3300,68218186,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
