time,open,high,low,close,volume,note
2020-07-20,250.0000,295.0000,205.6000,212.4000,24237613,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-07-21,208.0000,285.6000,202.0000,274.0000,17584895,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-07-22,260.0000,284.3300,257.7700,281.0000,12701827,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-07-23,274.9200,297.7700,268.0000,281.5000,9920207,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-07-24,273.0000,276.0000,240.4400,259.3300,11385255,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-07-27,252.2800,257.9000,227.9400,234.0100,8338869,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-07-28,236.0000,243.8000,227.5000,238.6400,5977562,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-07-29,234.5300,245.7800,229.6600,241.5000,5473260,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-07-30,240.0000,254.9900,236.3600,243.1700,6180875,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-07-31,238.0100,255.5500,237.1000,249.6000,5629413,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-08-03,250.0100,257.8800,247.0100,249.5000,6972166,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-08-04,250.9700,252.8800,232.9900,235.0000,5908943,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-08-05,246.0000,246.0000,236.7900,236.9200,4082217,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-08-06,233.9600,247.4500,231.8000,243.8300,5013107,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-08-07,240.9800,240.9800,223.3700,227.4400,4853751,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-08-10,219.9900,225.8900,218.0000,222.5000,2517723,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-08-11,220.8800,226.3000,219.1000,221.4900,2243543,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-08-12,220.3300,222.0000,213.5000,217.7600,2028145,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-08-13,219.0000,219.6000,212.0000,212.5000,1744022,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-08-14,212.3300,213.9000,207.5000,212.6800,1653598,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-08-17,213.0000,219.8000,209.6800,219.0800,2056219,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-08-18,219.1800,219.1800,212.3000,213.8100,1839468,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-08-19,213.8800,214.5000,204.8700,205.2000,1968958,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-08-20,204.0000,207.2700,200.1100,201.5100,1634059,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-08-21,202.5000,205.6200,201.1100,204.9500,1081110,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-08-24,206.3000,207.8400,196.5000,197.9000,2042284,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-08-25,198.3800,199.8800,189.6600,189.9800,2647656,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-08-26,189.6600,190.9200,173.5100,176.4000,3925619,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-08-27,177.2000,188.8700,170.5100,182.5600,3263707,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-08-28,177.7300,177.8800,168.0200,174.2800,3513509,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-08-31,173.0000,177.2000,170.0000,170.0000,2203273,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-01,170.2100,173.8000,169.0300,171.1800,1594161,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-02,170.9900,172.3500,167.1200,167.7600,1469648,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-03,167.9000,172.5600,164.2800,170.0900,2584763,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-04,166.7800,182.3000,166.7800,174.5300,3431503,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-07,170.4000,172.8000,163.5200,163.5200,2828212,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-08,163.5100,163.5100,160.0100,160.8600,1465181,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-09,159.0000,165.9000,155.0000,160.6800,2242834,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-10,162.0000,165.7700,157.3300,157.5800,1454894,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-11,158.0700,162.8900,155.5500,161.9600,1374164,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-14,164.0000,167.5000,163.0000,164.7200,1550297,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-15,163.5000,170.8700,161.2600,169.3400,2191487,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-16,167.0000,170.5500,165.3900,166.7700,1420541,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-17,166.7600,178.0000,163.7800,174.2200,3009337,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-18,173.0000,176.5000,172.0100,174.2600,1629983,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-21,173.9900,176.8800,169.5000,170.7700,1433184,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-22,169.9800,170.7100,166.6800,167.6500,1023886,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-23,168.0300,172.9000,167.0400,170.7500,1319498,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-24,169.0000,170.6700,164.0100,164.5100,1128801,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-25,165.0000,165.7700,161.5200,162.4500,824078,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-28,162.4500,163.4200,156.5000,156.8800,1027627,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-29,157.9000,162.5800,157.0200,161.3600,875555,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-09-30,162.1100,163.5000,159.8000,160.1900,603538,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-10-09,164.0000,164.9800,163.0700,163.7300,698762,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-10-12,164.9400,175.6500,164.0300,174.3000,2065351,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-10-13,174.3000,174.3000,170.6600,171.9000,1273304,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-10-14,171.0000,172.7400,168.2800,168.3500,956448,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-10-15,167.9800,175.0000,167.6900,169.1700,1496560,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-10-16,170.4900,173.9800,170.0000,171.4000,1226507,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-10-19,172.2000,186.3700,172.2000,182.7100,3573909,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-10-20,181.4500,185.8800,178.5300,182.9600,2033631,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-10-21,182.6900,187.0100,178.3000,186.4000,2554978,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-10-22,186.0000,189.9800,179.0800,179.1800,2244238,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-10-23,179.5100,180.2000,172.0100,172.0100,2128252,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-10-26,170.0200,172.9000,166.5600,169.8000,1259469,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-10-27,169.8800,190.3900,168.8800,187.4300,2921881,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-10-28,187.0000,190.0400,182.7200,183.8900,2088590,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-10-29,181.0200,186.8200,181.0000,183.1200,1746769,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-10-30,183.4300,193.8800,183.4300,187.0800,3045277,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-11-02,187.0100,193.3800,181.0800,184.1100,2026738,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-11-03,185.9500,190.6600,183.0300,184.9200,2035723,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-11-04,186.0000,187.9300,178.0000,178.9300,2086595,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-11-05,182.0000,184.6300,179.1300,183.3800,1450813,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-11-06,183.3000,192.1500,182.6600,188.7000,2366422,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-11-09,190.0200,202.9900,190.0000,197.1800,3700445,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-11-10,193.2200,193.2200,187.5000,188.3500,2490711,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-11-11,186.0000,188.2900,179.0000,179.0000,1859647,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-11-12,181.0000,183.6800,179.5100,181.0800,1008985,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-11-13,180.0000,181.7900,175.8000,179.2000,1057510,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-11-16,179.5800,182.1800,172.5100,173.3200,1517848,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-11-17,174.0000,175.0000,167.1100,171.0000,1386272,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-11-18,170.7700,172.9900,168.0800,170.3200,890385,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-11-19,169.0000,172.5000,166.7100,171.1700,752789,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-11-20,171.5000,173.3000,169.4700,169.7700,659806,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-11-23,168.6500,170.6700,166.7800,168.8800,756393,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-11-24,168.8800,172.8400,168.6600,169.6200,890771,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-11-25,169.6200,170.3100,166.8100,166.9100,733840,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-11-26,166.9200,168.3700,162.8200,163.0000,945516,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-11-27,162.0000,164.7800,161.2400,163.9900,667604,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-11-30,165.0000,168.6600,164.1000,166.2800,907111,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-01,165.0300,167.7800,165.0300,166.4300,650292,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-02,166.7600,171.6900,166.7600,170.0000,1144697,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-03,168.9000,169.9900,167.0100,167.9200,824922,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-04,167.9900,169.8500,166.0100,166.4200,673302,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-07,168.3600,170.8900,166.5500,166.6600,680811,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-08,166.1000,168.5000,160.0000,161.0000,1469393,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-09,161.0000,162.4500,158.3300,159.0000,834108,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-10,159.1200,161.8300,158.1900,158.6000,680522,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-11,162.0000,165.0000,160.3000,163.2200,1121708,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-14,162.0000,163.0000,159.0000,160.4300,687312,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-15,160.5000,160.9600,158.8400,159.2500,506269,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-16,159.2500,159.6000,157.0100,157.6300,647482,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-17,156.1300,158.5100,154.1000,158.1500,960064,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-18,159.6800,162.5000,158.6900,159.6600,736511,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-21,160.5000,163.6000,157.6600,162.0600,797158,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-22,162.0000,163.5000,157.5800,157.9800,714312,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-23,156.5600,159.9400,155.1700,158.0000,820654,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-24,158.0000,159.7700,154.5500,155.0200,753010,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-25,154.9900,155.9000,149.4800,149.5000,1179143,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-28,149.2900,149.5000,137.0000,137.0100,1850511,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-29,136.9600,140.5100,136.0800,137.7800,941527,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-30,139.4900,144.0000,138.0000,141.3900,846697,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2020-12-31,141.3000,147.2000,140.8000,146.7800,987986,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-01-04,146.7800,149.0000,145.0000,147.5800,897563,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-01-05,146.8800,154.4900,146.4400,152.9500,1479982,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-01-06,151.0100,156.0000,149.1100,150.1000,1038467,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-01-07,149.7800,149.9800,141.5100,143.2500,1081015,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-01-08,143.9000,147.4600,142.0000,146.4800,687613,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-01-11,145.5100,155.9900,145.4000,152.1200,1327775,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-01-12,150.5900,154.4300,149.5000,152.3300,825878,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-01-13,151.9300,153.5500,147.1000,149.6100,1116522,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-01-14,147.6000,163.9600,147.6000,159.7300,2815053,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-01-15,159.0000,162.5000,153.9600,155.1000,1741943,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-01-18,154.0000,158.5000,151.0000,154.8900,1148981,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-01-19,153.3500,158.9600,150.0600,150.1800,1425750,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-01-20,148.3000,149.0800,143.4300,144.4000,2151668,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-01-21,151.0000,172.0000,151.0000,170.0000,5186183,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-01-22,166.1000,169.0000,161.8000,162.3600,2714913,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-01-25,161.2000,174.7500,158.4800,172.7800,3569844,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-01-26,172.4000,180.7900,170.4000,171.0100,2787697,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-01-27,171.7200,175.0900,163.7100,165.6200,1900147,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-01-28,161.1000,172.2400,161.1000,166.0000,1477743,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-01-29,166.5900,167.9900,152.0000,153.6000,2235775,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-02-01,150.5000,156.5400,149.3500,150.9900,1207520,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-02-02,151.9900,152.5000,147.0900,147.6900,1089143,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-02-03,147.4400,149.9700,144.1000,144.1300,1016571,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-02-04,143.9400,145.7500,138.2800,141.0600,1268737,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-02-05,141.3400,143.6000,137.8100,137.8900,747198,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-02-08,138.0000,139.8800,136.1200,138.9100,783964,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-02-09,138.9100,148.0000,138.9100,145.3000,1093978,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-02-10,147.5000,147.5000,143.6000,145.8400,954070,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-02-18,146.0000,152.8500,146.0000,150.0200,1183736,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-02-19,149.4900,151.5500,147.0200,151.2700,709191,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-02-22,151.2500,154.9000,148.0000,148.0700,942876,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-02-23,147.4600,148.7100,145.0200,145.7500,640966,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-02-24,145.7700,149.9300,145.2100,145.6800,793749,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-02-25,146.0000,147.4600,140.3100,140.8800,947113,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-02-26,138.9300,145.0000,137.1900,144.0200,1032104,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-03-01,144.8000,154.8900,144.0200,153.7700,1832665,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-03-02,154.3100,156.3600,151.6900,154.3400,1101393,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-03-03,152.8000,157.8900,150.2100,155.7000,1023437,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-03-04,154.4900,157.9800,152.8500,153.9800,753258,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-03-05,152.1400,154.2200,147.8000,152.9100,934997,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-03-08,154.0000,158.6800,151.3000,156.7100,1689326,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-03-09,154.8700,163.9600,149.0000,158.1000,1783838,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-03-10,162.9000,163.9000,157.6200,158.2500,1253668,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-03-11,157.5000,163.7900,155.1200,162.3000,1245247,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-03-12,161.5000,167.7700,153.0000,153.0000,2055302,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-03-15,150.2800,152.9000,146.0000,146.5800,1363301,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-03-16,148.9000,149.5000,145.7200,147.2000,516481,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-03-17,146.0000,149.4000,144.4500,145.2000,693799,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-03-18,144.6000,146.3800,144.1000,144.2200,484378,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-03-19,144.7900,146.9700,141.3600,146.9700,555914,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-03-22,146.7000,148.1800,145.2000,147.2500,388041,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-03-23,147.2200,149.6900,143.0100,144.2000,541806,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
2021-03-24,143.1000,144.7000,141.2600,141.4000,404875,sh.688256 | 寒武纪 | baostock | adjustflag=3 raw
