time,open,high,low,close,volume,note
2022-08-22,170.1100,192.4800,170.1100,181.2200,28709097,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-08-23,183.0000,186.0000,172.6000,182.0000,10083709,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-08-24,183.3000,184.5000,174.2400,176.0000,6318546,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-08-25,177.9000,178.9800,164.0100,172.5900,6960698,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-08-26,168.0100,178.5000,165.0000,169.5000,5311867,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-08-29,166.6600,174.5000,166.2000,173.9000,3454472,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-08-30,172.0500,178.0300,170.6000,177.0000,3534865,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-08-31,176.4500,178.0000,168.5100,172.0000,2986030,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-09-01,171.0100,171.4900,162.5000,162.5000,4675153,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-09-02,162.0000,169.9500,162.0000,167.2000,3210110,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-09-05,171.3700,175.7000,163.0000,163.0000,3467294,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-09-06,161.5000,162.1000,155.0000,159.0000,4314756,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-09-07,157.3000,163.3900,157.3000,159.4000,2858251,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-09-08,159.8300,161.5000,156.1100,157.0000,1505945,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-09-09,158.0000,173.0500,158.0000,172.0000,4080671,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-09-13,170.3000,173.2000,164.6800,165.0000,2419196,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-09-14,163.5000,176.6800,163.1100,174.1800,2640578,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-09-15,175.0100,175.7300,166.6800,168.7400,1891386,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-09-16,169.0000,174.3600,167.0200,172.0000,1969877,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-09-19,172.0000,173.0000,163.9900,165.3000,1248467,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-09-20,165.3400,168.6600,163.5400,165.9200,894114,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-09-21,164.4700,168.8800,162.0000,166.9600,1213012,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2022-09-22,166.2000,166.9400,163.5000,165.5100,597806,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
