time,open,high,low,close,volume,note
2021-07-22,80.0100,80.2100,59.5400,61.1100,123387685,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-07-23,61.6800,66.6500,57.6800,62.4800,58011167,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-07-26,63.0500,71.0000,62.5100,71.0000,49615689,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-07-27,72.6000,76.4000,66.3000,67.1800,45405420,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-07-28,66.8800,72.2000,65.2500,70.6000,33453818,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-07-29,73.1000,73.6000,68.7400,71.7700,31912743,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-07-30,70.8000,71.7400,64.6100,65.7000,33458240,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-08-02,64.2400,69.9800,64.0100,67.6300,24013836,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-08-03,67.3900,68.2000,62.4000,63.4000,22095795,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-08-04,63.8300,70.8800,63.0700,70.6000,31430905,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-08-05,69.0000,75.0000,68.5500,72.5500,26053715,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-08-06,72.5000,73.7500,69.2200,71.8700,16354538,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-08-09,70.7000,72.2900,66.8300,70.7700,19429321,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-08-10,70.5000,73.9600,67.7500,69.1900,15717395,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-08-11,68.2800,68.4200,65.9400,66.3200,19134433,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-08-12,66.7800,67.5000,64.8800,67.4000,15549287,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-08-13,66.4700,67.2500,65.2000,65.4500,10429223,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-08-16,64.2600,66.8000,63.8600,64.3900,9858904,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-08-17,64.8300,66.1700,64.0000,65.4500,11991639,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-08-18,65.7000,65.7500,62.8600,64.8500,9636798,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-08-19,67.4000,68.5000,65.5600,66.4200,14819072,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-08-20,66.0100,66.0900,62.5500,64.3000,13325901,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-08-23,65.6800,68.1500,64.6000,67.6800,14536328,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-08-24,68.4300,78.2800,68.2500,74.9900,29560266,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-08-25,74.3900,80.2400,73.6700,79.1000,23386226,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-08-26,78.5000,81.5000,77.3100,78.7800,17049664,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-08-27,78.0000,88.8000,77.3500,87.3300,22267145,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
2021-08-30,88.9000,96.0000,87.9000,90.0000,27411537,sh.688303 | 大全能源 | baostock | adjustflag=3 raw
