time,open,high,low,close,volume,note
2020-02-27,50.0000,50.2000,41.0500,42.0100,144869399,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-02-28,39.5100,50.3500,39.5100,47.8000,101794608,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-02,52.9800,55.0000,47.5000,49.2300,73204716,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-03,49.2600,54.2800,48.0600,50.9900,60975546,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-04,50.0000,51.2000,45.8900,47.0700,56156974,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-05,47.5000,48.3000,44.6800,46.2900,50447790,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-06,45.2800,47.3100,44.8200,45.8400,40576364,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-09,44.0000,45.5000,41.8700,41.8900,39358015,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-10,42.6000,45.2500,42.0000,45.1100,42934246,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-11,44.5000,44.6900,42.0100,42.3800,38561419,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-12,41.0200,43.2700,40.8100,42.2200,25509868,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-13,40.0500,44.0800,40.0500,43.0300,35107312,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-16,43.2000,44.2000,40.8100,41.3000,30665062,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-17,42.3800,43.4000,40.7600,42.7000,30442552,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-18,43.2000,44.1000,41.1500,41.2500,30362235,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-19,41.2000,42.3000,40.3100,42.0100,24434303,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-20,42.7100,42.7800,40.2000,40.9500,24964898,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-23,39.4900,39.7800,35.3300,35.6600,35324067,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-24,36.6000,36.8000,33.8800,36.0700,23952462,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-25,37.3700,37.3800,36.0600,36.3500,18932458,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-26,35.5000,36.8900,35.0300,35.4500,14878720,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-27,35.9800,36.1400,35.0100,35.0100,12892245,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-30,34.0000,34.0000,32.3300,32.7500,18231029,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-03-31,33.3800,33.8800,32.2800,32.3800,13805968,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-04-01,32.2000,33.7500,31.9700,32.8200,15693285,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-04-02,32.4100,35.8800,32.4000,35.6400,22857506,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-04-03,35.1500,35.3000,33.8800,34.0900,16954914,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-04-07,35.0600,35.2500,34.5300,34.7100,13598250,sh.688396 | 华润微 | baostock | adjustflag=3 raw
2020-04-08,34.4000,35.6000,34.1600,35.0000,13441404,sh.688396 | 华润微 | baostock | adjustflag=3 raw
