time,open,high,low,close,volume,note
2022-12-28,28.7700,29.5300,25.0000,25.2500,44114184,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2022-12-29,24.7000,25.5000,23.7700,24.6100,19592975,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2022-12-30,25.6100,26.2700,24.9200,25.9300,16105777,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-01-03,25.8400,28.2800,25.3600,27.8000,14976690,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-01-04,27.2200,28.2800,27.0100,27.8800,7312688,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-01-05,28.1900,29.3800,27.7500,28.8200,13464099,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-01-06,28.8400,29.4300,28.1000,28.9300,10578577,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-01-09,28.8000,29.8000,28.5100,28.8900,8019287,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-01-10,28.8000,29.9200,28.5300,29.7700,8794283,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-01-11,29.5000,30.2000,28.8000,29.0600,6727236,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-01-12,29.2300,29.4500,28.6800,29.0200,5750595,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-01-13,29.0300,29.3200,28.4000,29.0700,4780875,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-01-16,28.9600,30.3000,28.9000,29.8200,7042889,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-01-17,29.9100,30.9500,29.6800,30.4900,5357431,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-01-18,30.4000,31.4100,29.8000,31.1000,4735888,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-01-19,30.8100,32.1000,30.7500,31.5000,3680850,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-01-20,31.9000,31.9900,31.0000,31.8700,3100297,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-01-30,32.0000,34.4400,31.7800,34.4300,8268325,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-01-31,34.1100,35.0300,33.8900,34.7900,4399010,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-02-01,34.4300,37.0000,34.0500,36.9700,4200980,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-02-02,37.0500,38.7700,36.1100,37.9800,6996821,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-02-03,37.5500,38.3300,36.4500,38.3100,6240871,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-02-06,37.5000,38.7700,37.2200,38.3700,4112672,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-02-07,38.8000,40.1700,37.5000,37.7500,5586659,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-02-08,38.0900,39.3600,37.7000,38.2000,5572154,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-02-09,37.9800,38.8600,37.1700,37.6800,4445806,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-02-10,37.5400,38.1600,35.8000,36.3200,7192093,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-02-13,36.4500,37.1900,36.0900,36.9000,4683765,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-02-14,36.6800,37.1100,35.8200,35.9100,3620689,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2023-02-15,36.1200,36.6500,35.6400,36.1300,2590617,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
