time,open,high,low,close,volume,note
2018-01-02,36.4800,36.6000,34.7800,35.7300,89960742,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-01-03,35.6300,37.5000,35.5200,36.6900,139132102,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-01-04,36.3700,36.9500,35.8800,36.9000,94830024,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-01-05,36.7000,36.7800,35.8700,36.0400,76047333,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-01-08,36.0000,36.0200,34.9200,35.5700,109576938,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-01-09,35.5700,36.3500,35.3100,36.3500,96915693,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-01-10,36.2800,36.2800,35.2500,35.9200,77737123,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-01-11,35.6000,36.8500,35.3000,36.4200,111269294,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-01-12,36.1900,36.2800,35.6100,35.8200,64626968,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-01-15,35.7100,37.3200,35.0300,36.4100,157933052,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-01-16,36.0700,38.6400,35.8900,38.6000,207331314,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-01-17,38.9000,38.9000,36.6000,36.9800,195953809,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-01-18,37.0200,37.4900,36.3200,36.5700,103223006,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-01-19,36.5700,37.3600,36.3700,36.4900,79705848,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-01-22,36.5000,36.6100,35.1000,36.4300,106407908,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-01-23,36.3800,37.1200,35.8100,36.3800,90160039,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-01-24,36.1600,37.1000,35.8500,37.0500,112358263,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-01-25,36.9400,36.9400,36.0300,36.0600,79535384,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-01-26,35.7000,36.0400,35.0000,35.0000,131982018,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-01-29,34.8000,34.8000,31.5900,31.7100,232259836,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-01-30,31.2200,31.9400,30.6800,31.1000,103176060,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-01-31,31.0600,31.3800,30.6100,31.1200,69640200,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-02-01,30.0000,30.0000,28.0100,28.0100,205064859,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-02-02,29.0000,29.3600,28.5000,28.8200,131393249,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-02-05,28.2200,29.9400,28.2100,29.2800,87254197,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-02-06,28.5000,29.3800,28.3000,28.4500,77643385,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-02-07,29.2000,29.4900,28.2300,28.7100,69531397,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-02-08,28.7600,29.8800,28.7200,29.6500,85840076,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-02-09,28.7900,29.4000,28.0100,28.4500,81498213,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-02-12,28.9900,29.7700,28.6100,29.4200,74288537,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-02-13,29.7600,30.2500,29.6400,29.7400,76361333,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-02-14,29.7800,30.5900,29.7500,30.5000,56873219,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-02-22,30.7100,31.4500,30.2500,31.2200,64654228,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-02-23,31.3100,32.1500,31.0300,31.3200,73400229,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-02-26,31.8000,32.8500,31.3600,32.5500,118134552,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-02-27,33.0000,33.1000,32.2100,32.3700,90932703,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-02-28,31.9700,32.6700,31.6300,32.2400,69848926,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-01,31.9300,32.6800,31.8500,32.3500,58377296,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-02,32.0200,32.5000,31.5000,31.5200,59421820,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-05,31.8000,32.3800,31.6800,32.1500,49201512,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-06,32.3000,33.6800,32.3000,33.3000,114669505,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-07,33.1000,33.1100,32.6700,32.6700,53288769,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-08,32.6700,32.9800,32.3000,32.6800,41137756,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-09,32.7000,33.6400,32.7000,33.6200,93070914,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-12,33.8800,34.2300,33.4100,33.9900,84162614,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-13,33.9900,34.0000,33.1400,33.1500,53948061,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-14,33.0000,33.0800,32.5000,32.7200,42409033,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-15,32.7000,33.2700,32.1300,32.8100,51349829,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-16,32.8300,32.9500,32.0000,32.0100,54237703,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-19,31.8800,32.3300,31.3300,31.7400,46549355,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-20,31.5000,32.1500,31.3200,32.0500,36844043,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-21,32.1500,32.6500,31.5600,31.6500,49471128,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-22,31.6200,31.9700,31.3000,31.3600,36606867,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-23,29.4000,30.3800,28.4100,29.0100,108326395,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-26,28.4000,29.6800,28.3000,29.4900,69153118,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-27,30.0500,30.6500,30.0500,30.4300,63335781,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-28,29.8700,30.2800,29.6100,29.6200,39931436,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-29,29.9400,30.1200,28.7500,29.8400,49090966,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-03-30,29.9000,30.4500,29.7300,30.1500,46957739,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-04-02,30.3800,31.3000,30.1600,30.8200,67078364,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-04-03,30.2000,30.3700,29.7600,30.0900,48181413,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-04-04,30.2000,30.5000,29.8200,29.9900,40280843,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-04-09,29.6000,30.3000,29.1000,29.9600,39747026,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-04-10,29.9800,30.7900,29.7300,30.7000,53689379,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-04-11,30.8500,31.8600,30.8400,31.6400,71672708,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-04-12,31.5000,31.9400,31.1700,31.2000,38355305,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-04-13,31.5900,31.8000,31.0600,31.2000,23602794,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-04-16,31.2000,31.4500,30.4100,31.3100,37666538,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-06-13,28.1800,28.1800,28.1800,28.1800,1445600,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-06-14,25.3600,25.3600,25.3600,25.3600,420800,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
2018-06-15,22.8200,22.8200,22.8200,22.8200,854700,sz.000063 | 中兴通讯 | baostock | adjustflag=3 raw
