time,open,high,low,close,volume,note
2018-01-02,3.8800,3.9400,3.8800,3.9100,89191447,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2018-01-03,3.9000,4.0100,3.8900,3.9900,146096732,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2018-01-04,3.9800,4.0300,3.9500,3.9600,93109887,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2018-01-05,3.9700,3.9700,3.9000,3.9200,89527801,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2018-01-08,3.9200,3.9300,3.8400,3.8800,119551987,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2018-01-09,3.8700,4.0500,3.8500,4.0300,246485333,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2018-01-10,4.0000,4.0400,3.9600,3.9900,193201049,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2018-01-11,3.9900,4.0000,3.9400,3.9600,100425976,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2018-01-12,3.9600,4.0700,3.9600,4.0000,173541895,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2018-01-15,4.0000,4.1000,3.9500,4.0300,264265562,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2018-01-16,4.1100,4.1400,4.0200,4.0500,239778768,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2018-01-17,4.0600,4.0800,3.9000,3.9200,272709840,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2018-01-18,3.9200,3.9300,3.8700,3.8900,139772802,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2018-01-19,3.8900,3.9500,3.8800,3.8900,156278421,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2018-01-22,3.8800,3.8800,3.7800,3.8800,188789176,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2018-01-23,3.8500,3.8800,3.8200,3.8400,146405825,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2018-01-24,3.8300,3.8400,3.7600,3.8100,203144436,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2018-01-25,3.8100,3.8200,3.7600,3.7900,137848369,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2018-01-26,3.7900,3.8100,3.7200,3.7200,193150004,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2018-01-29,3.6500,3.6900,3.5800,3.6000,223859358,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2018-01-30,3.6000,3.6400,3.6000,3.6200,77451726,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2018-01-31,3.6100,3.6300,3.5500,3.5700,94336554,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
