time,open,high,low,close,volume,note
2018-01-02,72.4000,73.0900,71.0800,72.2700,5887337,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-01-03,72.2000,73.9900,72.1800,72.4100,6714791,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-01-04,72.5000,73.7600,71.2300,71.9800,6539371,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-01-05,71.7100,72.3000,70.3200,70.7100,6350202,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-01-08,70.8500,71.5000,68.8700,69.7900,5733007,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-01-09,69.8100,70.4400,69.1800,70.3100,4628387,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-01-10,70.0500,70.9700,69.0000,70.0000,4449892,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-01-11,69.9500,72.9000,69.3200,72.2000,8158276,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-01-12,71.8000,72.9900,70.7700,70.8300,5253333,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-01-15,70.7200,70.7200,65.4000,65.7700,9089928,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-01-16,65.5900,66.5800,64.8100,65.4400,5098953,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-01-17,65.4000,65.6900,62.9600,65.1800,5436979,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-01-18,65.1500,65.5800,64.4000,65.1800,2480761,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-01-19,64.3000,66.2500,64.3000,65.5200,3264294,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-01-22,65.7200,66.8800,64.6400,66.1000,3618049,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-01-23,66.5000,66.6000,65.6100,65.7100,2362589,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-01-24,65.7800,68.2000,64.3100,67.1700,5400711,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-01-25,67.0900,67.6300,65.8500,65.9200,3204314,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-01-26,66.3800,67.4000,65.7500,65.7500,3214399,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-01-29,65.0000,65.1800,62.6000,63.1600,5403307,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-01-30,63.1900,63.4500,62.6900,63.1600,1631987,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-01-31,62.9900,63.4000,60.3500,60.5600,4005879,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-02-01,60.5700,61.3900,59.2000,59.5600,3425651,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-02-02,59.3000,60.8500,58.1800,60.0100,2288014,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-02-05,58.9500,60.1600,58.3000,59.0300,2100724,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-02-06,57.0000,57.8200,53.9000,54.0000,5177469,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-02-07,55.5700,56.1800,53.3300,55.3900,4329825,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-02-08,55.4400,57.5000,55.4400,56.5600,2978930,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-02-09,55.2000,56.5000,54.0100,55.4300,3274219,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-02-12,56.0000,58.1500,56.0000,57.6000,2913984,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-02-13,57.6700,58.6000,57.2000,57.3500,2510228,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-02-14,57.3400,57.7500,56.4700,56.8700,2149308,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-02-22,57.9600,60.2000,57.3600,59.3800,3130098,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-02-23,59.8500,59.9100,58.7100,59.4700,2992083,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-02-26,59.8300,61.6600,59.1100,60.8100,4298056,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-02-27,60.9000,62.2300,60.6000,60.8200,3730211,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-02-28,60.0000,61.6500,59.6000,60.5000,2770121,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-03-01,60.3000,66.5500,60.2100,66.5500,15041449,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-03-02,67.4000,67.8700,65.7100,67.0800,11684525,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-03-05,67.0700,69.2800,66.6500,69.0000,10799764,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
2018-03-06,68.4000,68.8400,66.8500,67.5300,7396158,sz.000938 | 紫光股份 | baostock | adjustflag=3 raw
