time,open,high,low,close,volume,note
2018-01-02,11.5100,11.7300,11.2300,11.6800,112745823,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-01-03,11.5800,11.7300,11.4700,11.5200,93126893,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-01-04,11.5500,12.0900,11.5200,12.0200,165217773,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-01-05,11.9600,11.9600,11.6300,11.6400,100690718,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-01-08,11.5500,11.7000,11.1000,11.2800,116563164,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-01-09,11.2700,11.4600,11.0900,11.3200,65795108,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-01-10,11.2300,11.3700,10.7400,10.8000,105938228,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-01-11,10.6700,10.9100,10.5000,10.7400,70075239,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-01-12,10.7700,10.9800,10.5600,10.6300,62936613,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-01-15,10.5800,10.6900,10.0500,10.1800,82136753,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-01-16,10.1400,10.3300,9.9800,10.1400,58334666,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-01-17,10.1600,10.7800,10.0800,10.6000,104594350,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-01-18,10.5100,10.6300,10.4200,10.5200,48105649,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-01-19,10.5000,10.6000,10.1600,10.1800,56890250,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-01-22,10.1300,10.4500,9.9000,10.3100,61147568,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-01-23,10.3100,10.7300,10.2600,10.5700,73366543,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-01-24,10.5500,10.8500,10.3100,10.8200,89077162,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-01-25,10.7000,10.8300,10.4700,10.4800,59125552,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-01-26,10.4600,10.5800,10.3300,10.4600,42020387,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-01-29,10.4200,10.4700,10.0000,10.0500,69387070,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-01-30,10.0100,10.2200,10.0100,10.0700,28376899,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-01-31,10.0200,10.0300,9.2100,9.4800,70914450,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-02-01,9.4200,9.5500,8.8000,8.8800,57113161,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-02-12,7.9900,8.1800,7.9900,8.0000,112183250,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-02-13,8.0100,8.1700,7.8800,7.9000,60296808,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-02-14,7.8500,7.9000,7.5600,7.5800,45408718,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-02-22,7.6600,7.8700,7.5400,7.8700,49789659,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-02-23,7.8300,7.8900,7.7200,7.8500,39899587,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-02-26,7.9300,8.6400,7.9300,8.6400,79286194,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-02-27,8.9600,9.2700,8.8400,8.9100,137626006,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-02-28,8.8300,9.1800,8.7000,9.1000,90067604,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-01,8.9800,9.3100,8.8700,9.1900,84527596,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-02,9.0500,9.2200,8.8300,8.8700,72876120,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-05,8.8300,9.0500,8.8100,9.0200,56734567,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-06,9.1600,9.4400,9.0300,9.1800,109004220,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-07,9.1100,9.2000,8.9200,9.0600,64680466,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-08,9.0000,9.3500,9.0000,9.2400,84266400,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-09,9.2000,9.4400,9.1900,9.3800,105532457,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-12,9.5000,10.1500,9.4300,9.8300,122927661,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-13,10.1200,10.6100,9.8600,10.3400,184710229,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-14,10.2500,10.2500,9.9000,9.9200,107279593,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-15,10.1500,10.3800,10.0200,10.2200,117362771,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-16,10.2000,10.2500,9.9800,10.0900,66011250,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-19,9.9500,10.2300,9.8500,9.8800,72578637,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-20,9.6000,9.6900,9.3000,9.6400,92634501,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-21,9.6800,9.8200,9.3800,9.4600,69877308,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-22,9.4100,9.7000,9.3100,9.5800,59584463,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-23,9.0500,9.3300,8.6200,8.6500,97933305,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-26,8.5400,9.5000,8.4700,9.5000,108194279,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-27,9.5900,10.0200,9.4000,9.9300,134980915,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-28,9.7300,9.9200,9.6200,9.7600,81466605,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-29,9.8900,10.1700,9.7500,9.9000,86823490,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-03-30,9.9900,10.4500,9.9300,10.3600,120818482,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-04-02,10.4500,10.6300,10.1800,10.2100,134265260,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-04-03,10.0000,11.2300,9.9200,10.8900,184480300,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-04-04,11.1000,11.4800,10.9000,11.0200,194573287,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-04-09,11.1500,11.3800,10.8200,11.1600,120883062,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-04-10,11.0500,11.1100,10.5100,10.7100,110673753,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-04-11,10.7400,10.9200,10.5400,10.5600,69319820,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-04-12,10.5000,10.6700,10.4600,10.5000,55289440,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-04-13,10.5800,10.8500,10.4800,10.7300,79963693,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-04-16,10.7300,11.0700,10.6600,10.8300,93542077,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-04-17,11.0000,11.1200,10.0900,10.1900,117429885,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-04-18,10.3600,11.2100,10.2100,11.0600,178453634,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-04-19,11.1800,11.9600,11.0600,11.3700,257493683,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-05-08,11.5600,11.8500,11.0900,11.2100,180668649,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-05-09,11.3000,11.5800,11.1300,11.2700,86439544,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-05-10,11.3600,11.4300,10.8300,11.0400,92580902,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-05-11,11.0400,11.2300,10.9600,11.0000,51356861,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-05-14,11.0200,11.1800,10.6500,10.7400,68676579,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-05-15,10.6400,10.9400,10.6200,10.9400,50641297,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-05-16,10.9000,10.9300,10.5300,10.5500,63444827,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-05-17,10.5400,10.7000,10.4600,10.5000,36171615,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-05-18,10.5000,10.5800,10.0000,10.1900,71801528,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-05-21,10.2600,10.7300,10.2000,10.6900,73246137,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-05-22,10.6000,10.7300,10.5100,10.6500,45471401,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-05-23,10.6000,11.1100,10.5300,10.9200,100170172,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-05-24,10.9400,11.0600,10.6600,10.7900,61412498,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-05-25,10.7400,10.7900,10.2400,10.2500,67205411,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-05-28,10.2900,10.5700,10.0600,10.1000,45536002,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-05-29,10.1000,10.2400,9.8000,9.8000,57080603,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-05-30,9.5500,9.8800,9.2100,9.3600,53698200,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-05-31,9.4800,9.5600,9.1700,9.4300,48536828,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-06-01,9.3100,9.4800,9.1400,9.1900,35566541,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-06-04,8.3000,8.6400,8.2700,8.2700,109315136,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-06-05,8.0300,8.2800,7.7300,8.2700,94469522,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-06-06,8.2200,8.3600,8.1300,8.2800,49671605,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-06-07,8.3300,8.4400,8.2400,8.2800,39355929,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-06-08,8.1200,8.3800,8.0300,8.1500,36772326,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-06-11,8.1700,8.2300,7.9600,8.0600,30023145,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-06-12,8.1500,8.2400,7.9100,8.1400,35347505,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-06-13,8.1100,8.3600,8.0300,8.0500,43691010,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-06-14,8.0400,8.1600,8.0000,8.0100,27318544,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-06-15,8.0000,8.0900,7.8400,7.8900,35359228,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-06-19,7.7500,7.9500,7.1000,7.1000,67068437,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-06-20,7.0900,7.4100,7.0600,7.2600,55261843,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-06-21,7.3300,7.3700,6.8500,6.8800,52899936,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-06-22,6.9700,7.3300,6.8200,7.2000,51120470,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-06-25,7.3600,7.8700,7.3400,7.5200,70377977,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-06-26,7.4100,7.9100,7.3500,7.7800,62961827,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-06-27,7.8300,7.8500,7.5800,7.5900,40537227,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-06-28,7.6400,7.8700,7.5800,7.6500,35610322,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-06-29,7.6500,7.9200,7.3500,7.8300,68821346,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-02,7.8400,8.1200,7.7100,7.9000,65900772,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-03,7.8700,8.0800,7.7200,8.0400,60204288,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-04,8.0000,8.2900,7.9500,8.0600,59597291,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-05,7.9900,8.2000,7.7700,7.8000,53222332,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-06,7.8500,8.1700,7.6700,7.9000,58132571,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-09,7.9300,8.1100,7.8700,8.0700,41350650,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-10,8.0500,8.1300,7.8800,8.0100,38090648,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-11,7.8000,7.9500,7.6800,7.8600,45533257,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-12,7.8700,8.2500,7.8600,8.1900,60790736,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-13,8.1600,8.3100,8.1300,8.1700,37250562,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-16,8.3500,8.8700,8.2600,8.5700,80457890,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-17,8.5900,8.7000,8.4600,8.6800,47356034,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-18,8.6600,8.8300,8.4600,8.4900,47870843,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-19,8.4700,8.5700,8.2400,8.3200,37829107,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-20,8.2900,8.7700,8.2000,8.6800,59462459,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-23,8.6500,8.8700,8.5900,8.6900,48032156,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-24,8.7100,8.9200,8.6500,8.8800,54655528,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-25,8.8600,9.0300,8.7000,8.7600,49714730,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-26,8.7500,8.8200,8.5400,8.6100,32696124,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-27,8.6300,8.7800,8.5700,8.5800,25122996,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-30,8.6300,8.7200,8.3900,8.4300,31024621,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-07-31,8.5000,8.5700,8.3500,8.4300,22815176,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-08-01,8.4500,8.7500,8.4500,8.4800,40186154,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-08-02,8.3500,8.3900,7.8100,8.0000,52264133,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-08-03,8.0100,8.0900,7.7700,7.7700,26962902,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-08-06,7.7100,7.7400,7.1000,7.2400,56115388,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-08-07,7.3100,7.6400,7.2000,7.5800,38658140,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-08-08,7.5000,7.6000,7.2500,7.3000,33022445,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-08-09,7.3200,7.8800,7.3000,7.7200,58024707,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-08-10,7.7100,7.9600,7.7100,7.8400,33068052,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-08-13,7.7200,8.1800,7.7200,8.1000,47392383,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-08-14,8.0300,8.0500,7.8900,7.9000,28815741,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-08-15,8.0300,8.1100,7.7000,7.7900,38130988,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-08-16,7.6600,7.8000,7.4100,7.6200,32766756,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-08-17,7.7600,7.8400,7.3500,7.3800,32570667,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
2018-08-20,7.3100,7.5100,7.1800,7.4900,33995944,sz.002129 | TCL中环 | baostock | adjustflag=3 raw
