time,open,high,low,close,volume,note
2018-01-02,60.0000,60.8400,58.9000,60.5700,33190393,sz.002230 | 科大讯飞 | baostock | adjustflag=3 raw
2018-01-03,60.6100,62.6000,60.1700,62.0000,42916975,sz.002230 | 科大讯飞 | baostock | adjustflag=3 raw
2018-01-04,62.3100,63.5800,61.6100,62.9400,40147181,sz.002230 | 科大讯飞 | baostock | adjustflag=3 raw
2018-01-05,63.0600,63.5600,61.8000,61.9500,29807177,sz.002230 | 科大讯飞 | baostock | adjustflag=3 raw
2018-01-08,62.0200,62.2000,60.2100,61.2600,29229586,sz.002230 | 科大讯飞 | baostock | adjustflag=3 raw
2018-01-09,61.2000,61.9800,60.6800,61.5300,24051903,sz.002230 | 科大讯飞 | baostock | adjustflag=3 raw
2018-01-10,61.7800,61.7800,59.6700,60.3700,28283717,sz.002230 | 科大讯飞 | baostock | adjustflag=3 raw
2018-01-11,60.5000,66.4100,59.6900,66.4100,91027518,sz.002230 | 科大讯飞 | baostock | adjustflag=3 raw
2018-01-12,66.9000,67.4000,64.7000,64.8200,60775978,sz.002230 | 科大讯飞 | baostock | adjustflag=3 raw
2018-01-15,65.1000,66.2500,63.8700,65.0100,51980645,sz.002230 | 科大讯飞 | baostock | adjustflag=3 raw
2018-01-16,65.3800,66.4600,64.9700,66.1300,48367757,sz.002230 | 科大讯飞 | baostock | adjustflag=3 raw
2018-01-17,65.7000,65.7500,60.0800,61.5500,66549074,sz.002230 | 科大讯飞 | baostock | adjustflag=3 raw
2018-01-18,61.9400,62.4100,60.8800,61.3700,25971882,sz.002230 | 科大讯飞 | baostock | adjustflag=3 raw
2018-01-19,61.8000,62.3900,60.9100,61.6600,22364059,sz.002230 | 科大讯飞 | baostock | adjustflag=3 raw
2018-01-22,61.7200,62.8700,59.0100,61.9300,32090065,sz.002230 | 科大讯飞 | baostock | adjustflag=3 raw
2018-01-23,61.9300,62.7600,61.4000,61.5200,22212270,sz.002230 | 科大讯飞 | baostock | adjustflag=3 raw
2018-01-24,61.4000,62.6900,60.1800,62.5500,40195675,sz.002230 | 科大讯飞 | baostock | adjustflag=3 raw
2018-01-25,62.7000,62.7000,60.8000,60.9500,35765711,sz.002230 | 科大讯飞 | baostock | adjustflag=3 raw
2018-01-26,60.0100,61.4900,59.8100,60.2100,26283943,sz.002230 | 科大讯飞 | baostock | adjustflag=3 raw
2018-01-29,60.6200,61.3100,59.2000,60.0900,27418232,sz.002230 | 科大讯飞 | baostock | adjustflag=3 raw
2018-01-30,59.8100,60.8000,59.5100,60.1000,17613317,sz.002230 | 科大讯飞 | baostock | adjustflag=3 raw
