time,open,high,low,close,volume,note
2018-01-02,23.2500,23.4900,22.7100,23.1800,36427315,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-01-03,23.3000,24.8900,23.2700,24.2900,49801479,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-01-04,24.3500,24.7300,23.9000,24.4400,32452528,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-01-05,24.4700,24.5000,23.8000,24.0000,26415196,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-01-08,23.9400,23.9500,22.8900,23.5600,38242674,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-01-09,23.5200,24.1000,23.1500,23.9900,24095310,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-01-10,23.9500,23.9500,23.5200,23.8000,19497853,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-01-11,23.5900,24.4500,23.2300,24.3900,31150178,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-01-12,24.2000,24.6000,24.0300,24.2000,21289612,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-01-15,24.0000,24.0900,23.1300,23.4200,28036491,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-01-16,23.4100,23.9600,23.1000,23.4000,24900896,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-01-17,23.4300,23.5200,22.3200,22.9700,31445940,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-01-18,22.9600,23.8000,22.8100,23.2900,19809665,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-01-19,23.0700,25.2000,23.0700,25.1500,48268945,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-01-22,24.9500,26.7100,24.7000,26.1800,55053977,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-01-23,26.1700,26.7800,25.8600,26.5900,35602418,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-01-24,26.5000,26.5400,25.9000,26.3000,28359918,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-01-25,26.4000,26.5200,25.3200,25.7400,31260781,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-01-26,25.9000,26.4500,25.5200,26.4000,25919982,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-01-29,26.6000,26.8800,24.2100,25.2000,47610560,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-01-30,24.9000,26.5900,24.7500,26.5900,44614871,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-01-31,26.5000,27.2500,25.9500,26.2700,28421048,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-02-01,26.1500,26.9700,25.6500,26.2100,31541204,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-02-02,26.2100,27.6900,25.3000,27.5300,33630424,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-02-05,27.0000,28.2000,26.8100,27.0700,25231090,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-02-06,26.0000,26.7700,25.0700,26.4900,43038285,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-02-07,26.8300,27.0000,24.2000,24.3300,34299274,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-02-08,23.8000,25.7700,23.6100,25.3000,33701950,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-02-09,24.0500,24.9500,23.6000,24.4200,27695865,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-02-12,24.6000,26.1000,24.6000,26.0800,38215966,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-02-13,26.3000,26.5800,25.8600,26.1800,27731995,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-02-14,26.2800,26.3900,25.9200,26.1200,12094641,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-02-22,26.4800,27.1300,26.0300,26.9000,38486704,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-02-23,26.6500,26.8800,26.1800,26.5100,26897651,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-02-26,26.5200,29.1600,26.5200,29.1500,111040183,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-02-27,29.1600,29.4000,28.7700,29.4000,51010479,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-02-28,29.1300,29.8000,28.6600,28.9000,47401349,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-03-01,28.6100,30.4500,28.5700,30.3700,59206903,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-03-02,30.0000,30.2700,28.3100,28.3400,62480065,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-03-05,28.3700,28.8900,27.9000,28.6300,34557663,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-03-06,28.6400,29.3400,28.5300,28.7500,29274757,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-03-07,28.6000,28.6500,27.9400,28.2000,23994629,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-03-08,28.1600,28.4400,27.7200,28.4000,24316370,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-03-09,28.5000,29.7100,28.5000,29.3000,39770268,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-03-12,29.6800,30.5500,29.4500,29.9000,34707586,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
2018-03-13,29.8000,29.8000,28.7900,28.9500,29838352,sz.002236 | 大华股份 | baostock | adjustflag=3 raw
